,회사명,거래소코드,회계년도,노동장비율(개별),노동장비율(연결),기계장비율(개별),기계장비율(연결),자본집약도(개별),자본집약도(연결),노동소득분배율(개별),노동소득분배율(연결),설비투자효율(개별),설비투자효율(연결),총자본투자효율(개별),총자본투자효율(연결),기계투자효율(개별),기계투자효율(연결),부가가치율(개별),부가가치율(연결)
0,(주)CMG제약,58820,11-Dec,71317.77037,71726.36296,29216.42963,29216.42963,204063.2519,202260.7259,0.000847781,0.00089819,38.11059921,35.85819316,0.133192181,0.127161502,0.930285801,0.880318988,0.206698467,0.195596434
1,(주)CMG제약,58820,12-Dec,69135.38806,69458.8209,32002.74627,32002.74627,425288.0896,426179.3657,-0.05312801,0.017498459,-0.950330856,2.893478601,-0.00154487,0.004715799,-0.020529955,0.062800114,-0.00541605,0.016567429
2,(주)CMG제약,58820,13-Dec,66012.04412,66012.04412,33789.61765,33789.61765,411482.5,411121.7868,0.000715057,0.000712842,77.43774031,77.91470318,0.124229427,0.125104263,1.512838524,1.522156562,0.342093894,0.342851289
3,(주)CMG제약,58820,14-Dec,113899.6463,113899.6463,48479.93902,48479.93902,354433.5244,354075.1585,0.000792614,0.000793029,37.82234061,37.80253285,0.121544688,0.121603988,0.888604917,0.88813955,0.31051594,0.310353321
4,(주)CMG제약,58820,15-Dec,114246.5897,114246.5897,53386.76923,53386.76923,362769.0513,362389.8782,0.001440535,0.001441012,24.22111236,24.21308878,0.076279371,0.076333888,0.51832683,0.518155127,0.159633789,0.159580908
5,(주)CMG제약,58820,16-Dec,105508.0625,105508.0625,53273.70625,53273.70625,693624.1688,693624.1688,0.000635327,0.000635327,62.31075943,62.31075943,0.094781696,0.094781696,1.234058593,1.234058593,0.319045066,0.319045066
6,(주)CMG제약,58820,17-Dec,80771.91,80771.91,45146.695,45146.695,547840.765,547840.765,0.000640918,0.000640918,84.86867526,84.86867526,0.125127691,0.125127691,1.518384679,1.518384679,0.33007863,0.33007863
7,(주)CMG제약,58820,18-Dec,71425.40541,71425.40541,43924.82883,43924.82883,515224.6847,515224.6847,0.000673265,0.000673265,106.251151,106.251151,0.147295573,0.147295573,1.727731612,1.727731612,0.337866713,0.337866713
8,(주)CMG제약,58820,19-Dec,68915.0332,68915.03734,44414.46473,44414.46473,797689.4855,797689.4855,0.000725972,0.000725972,114.5992934,114.5992865,0.09900612,0.09900612,1.778162622,1.778162622,0.324673824,0.324673824
9,(주)DB하이텍,990,11-Dec,284661.7908,284943.2867,596524.6658,596524.8995,461222.2162,467099.2867,0.00060678,0.000625342,29.68469132,29.7816315,0.183210979,0.181676063,0.141655457,0.142258537,0.405964817,0.394478743
10,(주)DB하이텍,990,12-Dec,287428.5503,287622.8498,631966.1458,631966.1458,498727.9705,502497.8433,0.000553837,0.000559255,36.51275623,37.06979249,0.210431522,0.21218239,0.166065994,0.168713458,0.414111541,0.415810509
11,(주)DB하이텍,990,13-Dec,279956.1387,280084.6713,682609.7106,682609.7106,489960.1503,494113.8338,0.000639056,0.000671501,33.10655995,31.92886686,0.189166092,0.180986355,0.135778682,0.131008775,0.402081994,0.387956847
12,(주)DB하이텍,990,14-Dec,274977.7379,275045.1631,738062.031,738062.031,501230.5233,492684.6603,0.000609946,0.000685897,37.78057631,34.07353642,0.207266256,0.19021825,0.140758052,0.126977964,0.365801997,0.329990305
13,(주)DB하이텍,990,15-Dec,243651.0519,243664.3413,773788.4232,773788.4232,501833.2605,491339.1776,0.000358626,0.000359265,78.35933063,79.07529365,0.380451732,0.392149257,0.246738421,0.249006431,0.573977254,0.579253231
14,(주)DB하이텍,990,16-Dec,242855.8085,242862.2052,796551.0503,796551.0503,491632.084,482065.7411,0.00040877,0.000406877,67.68114689,68.60237183,0.334330492,0.34561517,0.206349105,0.209163283,0.435186889,0.441121945
15,(주)DB하이텍,990,17-Dec,264540.3052,264545.7912,868264.9485,868264.9485,503904.667,512345.732,0.000448047,0.000402009,57.04064248,64.18081675,0.299452455,0.331392727,0.173789682,0.195548202,0.43066205,0.484581065
16,(주)DB하이텍,990,18-Dec,254491.3151,254494.8803,876446.0358,876446.287,537440.6583,545541.6061,0.000416615,0.000429245,63.62302344,62.12280594,0.301270599,0.289802572,0.184740489,0.180386822,0.47296254,0.461816652
17,(주)DB하이텍,990,19-Dec,280667.379,280672.9661,920709.8247,920709.9545,550480.425,550222.2385,0.000364384,0.000382139,71.06241934,68.27100029,0.362318115,0.348256083,0.216625287,0.208120093,0.488855092,0.469661614
18,(주)ES큐브,50120,11-Dec,5937.864979,18201.83122,3.037974684,3525.919831,190858.3713,234080.3038,0.001232353,0.001201977,565.7483902,279.198736,0.176012062,0.217101917,11057.81944,14.41305677,0.190924195,0.225630963
19,(주)ES큐브,50120,12-Dec,5915.04661,13481.34746,2.084745763,2937.576271,189305.8559,196108.7288,0.000853428,0.000861082,832.2161738,565.4938179,0.260034083,0.388744483,23612.45935,25.95207048,0.262966111,0.321446691
20,(주)ES큐브,50120,13-Dec,9148.11,21774.98,1.86,4288.55,475096.54,471375.73,-0.001394353,0.010527897,-625.5434183,65.87330964,-0.120450046,0.030429865,-30766.34409,3.344696926,-0.12488304,0.024478747
