,회사명,거래소코드,회계년도,부실징후기업,한계기업
3,(주)CMG제약,58820,2003/12,1.0,1.0
27,(주)DB하이텍,990,2007/12,1.0,1.0
45,(주)ES큐브,50120,2006/12,1.0,1.0
63,(주)HJ중공업,97230,2011/12,1.0,1.0
83,(주)MH에탄올,23150,2011/12,1.0,1.0
92,(주)SH에너지화학,2360,2000/06,1.0,1.0
166,(주)STX,11810,2002/12,1.0,1.0
197,(주)TCC스틸,2710,2013/12,1.0,1.0
226,(주)강스템바이오텍,217730,2015/12,1.0,1.0
256,(주)강원에너지,114190,2005/11,1.0,1.0
274,(주)갤럭시아에스엠,11420,2003/12,1.0,1.0
355,(주)경방,50,2001/12,1.0,1.0
400,(주)경인양행,12610,2006/12,1.0,1.0
437,(주)골드앤에스,35290,2001/12,1.0,1.0
458,(주)골드퍼시픽,38530,2002/12,1.0,1.0
493,(주)골프존뉴딘홀딩스,121440,2019/12,1.0,1.0
506,(주)광림,14200,2009/12,1.0,1.0
517,(주)광명전기,17040,2000/12,1.0,1.0
538,(주)광무,29480,2002/12,1.0,1.0
584,(주)구영테크,53270,2008/12,1.0,1.0
604,(주)국동,5320,2008/12,1.0,1.0
616,(주)국보,1140,2000/12,1.0,1.0
672,(주)국순당,43650,2016/12,1.0,1.0
685,(주)국영지앤엠,6050,2009/12,1.0,1.0
699,(주)그래디언트,35080,2001/12,1.0,1.0
733,(주)그린플러스,186230,2008/12,1.0,1.0
783,(주)금양,1570,2001/12,1.0,1.0
846,(주)기가레인,49080,2009/12,1.0,1.0
857,(주)기산텔레콤,35460,2002/12,1.0,1.0
887,(주)까뮤이앤씨,13700,2012/12,1.0,1.0
901,(주)나노,187790,2016/12,1.0,1.0
907,(주)나노브릭,286750,2017/12,1.0,1.0
930,(주)나노엔텍,39860,2002/12,1.0,1.0
975,(주)나무가,190510,2017/12,1.0,1.0
998,(주)나이벡,138610,2012/12,1.0,1.0
1043,(주)남선알미늄,8350,2001/12,1.0,1.0
1070,(주)남성,4270,2008/12,1.0,1.0
1086,(주)내츄럴엔도텍,168330,2016/12,1.0,1.0
1097,(주)네오리진,94860,2014/12,1.0,1.0
1191,(주)네오펙트,290660,2019/12,1.0,1.0
1207,(주)네이처셀,7390,2002/12,1.0,1.0
1239,(주)네패스,33640,2014/12,1.0,1.0
1300,(주)넥스트엔터테인먼트월드,160550,2018/12,1.0,1.0
1304,(주)넥스틴,348210,2016/12,1.0,1.0
1311,(주)넥슨게임즈,225570,2018/12,1.0,1.0
1315,(주)넵튠,217270,2017/12,1.0,1.0
1346,(주)노루홀딩스,320,2003/12,1.0,1.0
1388,(주)노블엠앤비,106520,2016/12,1.0,1.0
1397,(주)녹십자,6280,2001/12,1.0,1.0
1426,(주)녹십자엠에스,142280,2017/12,1.0,1.0
1461,(주)녹원씨엔아이,65560,2008/12,1.0,1.0
1521,(주)누리플랜,69140,2013/12,1.0,1.0
1539,(주)누리플렉스,40160,2011/12,1.0,1.0
1557,(주)뉴로스,126870,2015/12,1.0,1.0
1569,(주)뉴보텍,60260,2007/12,1.0,1.0
1584,(주)뉴인텍,12340,2002/12,1.0,1.0
1627,(주)뉴프렉스,85670,2009/12,1.0,1.0
1661,(주)다날,64260,2011/12,1.0,1.0
1675,(주)다산네트웍스,39560,2004/12,1.0,1.0
1690,(주)다우기술,23590,2000/12,1.0,1.0
1761,(주)다이나믹디자인,145210,2018/12,1.0,1.0
1800,(주)대구백화점,6370,2017/03,1.0,1.0
1811,(주)대덕,8060,2008/12,1.0,1.0
1830,(주)대동,490,2007/12,1.0,1.0
1862,(주)대동스틸,48470,2019/12,1.0,1.0
1904,(주)대명소노시즌,7720,2001/12,1.0,1.0
1952,(주)대성엘텍,25440,2009/12,1.0,1.0
1980,(주)대성파인텍,104040,2019/12,1.0,1.0
