,회사명,거래소코드,회계년도,차입금비율(IFRS),차입금비율(IFRS연결),당좌자산구성비율(IFRS),당좌자산구성비율(IFRS연결),유동자산구성비율(IFRS),유동자산구성비율(IFRS연결),매출채권 대 매입채무비율(IFRS),매출채권 대 매입채무비율(IFRS연결),단기차입금 대 총차입금비율(IFRS),단기차입금 대 총차입금비율(IFRS연결),유동부채비율(IFRS),유동부채비율(IFRS연결),타인자본구성비율(IFRS),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS),재고자산 대 유동자산비율(IFRS연결),재고자산 대 순운전자본비율(IFRS),재고자산 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS),순운전자본비율(IFRS연결),차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,자기자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율
0,(주)CMG제약,58820,11-Dec,25.22,13.74,45.45,46.14,55.41,56.18,602.31,602.31,89.64,80.71,41.66,42.33,33.6,33.95,66.4,66.05,17.97,17.88,35.88,35.59,27.75,28.23,13.74,46.14,56.18,602.31,80.71,42.33,33.95,66.05,17.88,35.59,28.23
1,(주)CMG제약,58820,12-Dec,61.69,55.28,77.42,77.32,82.6,82.49,323.41,323.41,10.94,0.57,21.09,21.5,44.55,44.68,55.45,55.32,6.28,6.27,7.31,7.33,70.91,70.6,55.28,77.32,82.49,323.41,0.57,21.5,44.68,55.32,6.27,7.33,70.6
2,(주)CMG제약,58820,13-Dec,2.89,2.89,60.11,60.08,68.37,68.34,282.72,282.72,0,0,11.21,11.23,12.35,12.37,87.65,87.63,12.07,12.09,14.1,14.12,58.54,58.5,2.89,60.08,68.34,282.72,0,11.23,12.37,87.63,12.09,14.12,58.5
3,(주)CMG제약,58820,14-Dec,3.13,3.15,40.34,40.28,48.79,48.74,285.31,285.31,0,0,17.76,17.79,15.59,15.61,84.41,84.39,17.32,17.36,25.01,25.09,33.8,33.72,3.15,40.28,48.74,285.31,0,17.79,15.61,84.39,17.36,25.09,33.72
4,(주)CMG제약,58820,15-Dec,0,0.01,36.89,36.82,46.53,46.47,254.69,254.69,0,0,18.87,18.91,17.17,17.2,82.83,82.8,20.72,20.77,31.2,31.32,30.9,30.82,0.01,36.82,46.47,254.69,0,18.91,17.2,82.8,20.77,31.32,30.82
5,(주)CMG제약,58820,16-Dec,0,0,65.22,65.22,70.98,70.98,219.41,219.41,0,0,9.04,9.04,8.9,8.9,91.1,91.1,8.12,8.12,9.18,9.18,62.75,62.75,0,65.22,70.98,219.41,0,9.04,8.9,91.1,8.12,9.18,62.75
6,(주)CMG제약,58820,17-Dec,0,0,66.92,66.92,74.13,74.13,215.55,215.55,0,0,11.11,11.11,10.61,10.61,89.39,89.39,9.73,9.73,11.24,11.24,64.2,64.2,0,66.92,74.13,215.55,0,11.11,10.61,89.39,9.73,11.24,64.2
7,(주)CMG제약,58820,18-Dec,0,0,63.65,63.65,71.14,71.14,414.65,414.65,0,0,8.17,8.17,9.09,9.09,90.91,90.91,10.54,10.54,11.76,11.76,63.71,63.71,0,63.65,71.14,414.65,0,8.17,9.09,90.91,10.54,11.76,63.71
8,(주)CMG제약,58820,19-Dec,0.16,0.16,73.62,73.62,78.33,78.33,468.79,468.79,45.27,45.27,5.17,5.17,6.29,6.29,93.71,93.71,6.01,6.01,6.41,6.41,73.49,73.49,0.16,73.62,78.33,468.79,45.27,5.17,6.29,93.71,6.01,6.41,73.49
9,(주)DB하이텍,990,11-Dec,242.51,229.64,15.95,16.9,22.47,23.33,303.34,336.28,0,0,273.15,257.97,75.36,74.31,24.64,25.69,28.99,27.57,0,0,-44.83,-42.95,229.64,16.9,23.33,336.28,0,257.97,74.31,25.69,27.57,0,-42.95
10,(주)DB하이텍,990,12-Dec,248.28,234.33,19.5,19.86,26.39,26.7,315.6,384.99,68.49,68.49,205.19,190.94,76.11,74.87,23.89,25.13,26.13,25.64,0,0,-22.63,-21.27,234.33,19.86,26.7,384.99,68.49,190.94,74.87,25.13,25.64,0,-21.27
11,(주)DB하이텍,990,13-Dec,336.53,324.25,14.29,14.23,21.18,21.07,200.88,199.26,58.3,58.3,241.63,232.89,81.2,80.65,18.8,19.35,32.56,32.46,0,0,-24.24,-23.99,324.25,14.23,21.07,199.26,58.3,232.89,80.65,19.35,32.46,0,-23.99
12,(주)DB하이텍,990,14-Dec,483.77,545.5,17.68,18.11,24.58,25.14,226.88,225.55,40.52,40.52,276.37,311.87,86.42,87.74,13.58,12.26,28.09,27.94,0,0,-12.96,-13.08,545.5,18.11,25.14,225.55,40.52,311.87,87.74,12.26,27.94,0,-13.08
