총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결)
0.967499946,0.974314673,3.737262711,3.737262711,1.901090763,1.901090763,1.77788532,1.77298794,11.95351036,11.95351036,0.967499946,0.974314673,2.01401952,2.012498285,inf,1.250895996
0.651604063,0.655129899,4.088496957,4.088496957,1.450546106,1.450546106,1.718624683,1.709722112,7.829456789,7.829456789,0.651604063,0.655129899,0.938432941,0.934531982,inf,0.520585751
0.503954129,0.506332174,3.302613848,3.302613848,1.602567244,1.6088759,2.025203354,2.028794524,6.174373972,6.198679972,0.503954129,0.506332174,1.258357451,1.258124264,inf,0.478255982
0.463793009,0.464338804,3.004262879,3.004262879,1.478088959,1.478088959,1.535320766,1.535320766,5.27207698,5.27207698,0.463793009,0.464338804,2.848797374,2.847460945,inf,0.684178772
0.563726624,0.564492769,3.324964702,3.324964702,1.657734074,1.657734023,1.475431838,1.475431838,5.655170438,5.655170438,0.563726624,0.564492769,2.879964276,2.878080889,inf,0.991043722
0.445597368,0.445795644,3.31889105,3.31889105,2.17810485,2.178104778,1.898730551,1.898730551,6.260349712,6.260349712,0.445597368,0.445795644,3.365727656,3.364582858,inf,0.627734722
0.417334769,0.417334769,3.28676762,3.28676762,2.662157482,2.662157482,2.510588204,2.510588204,6.54562715,6.54562715,0.417334769,0.417334769,3.864428806,3.864428806,inf,0.519196372
0.493891974,0.493891974,3.292429008,3.292429008,2.785783253,2.785783253,2.981357986,2.981357986,8.932330116,8.932330116,0.493891974,0.493891974,4.528599025,4.528599025,inf,0.613351458
0.412632184,0.412632184,3.370884966,3.370884966,2.88020221,2.88020221,2.83283893,2.83283893,13.80793388,13.80793388,0.412632184,0.412632184,5.214864567,5.214864567,inf,0.505467114
1.598256584,1.564179499,5.650977274,5.87160066,6.445379951,6.029911115,0.675697729,0.697762311,19.91126629,20.51494622,1.598256584,1.564179499,0.568719465,0.5892767,inf,1.869335008
2.062299281,1.972724045,6.228019322,6.31818236,7.995586582,7.957952922,0.809220457,0.818098705,25.12310447,28.86301983,2.062299281,1.972724045,0.660984276,0.67217174,inf,2.006510038
