,회사명,거래소코드,회계년도,부실징후기업,한계기업
2,(주)CMG제약,58820,2002/12,1.0,1
3,(주)CMG제약,58820,2003/12,1.0,1
4,(주)CMG제약,58820,2004/12,1.0,1
5,(주)CMG제약,58820,2005/12,1.0,1
6,(주)CMG제약,58820,2006/12,1.0,1
8,(주)CMG제약,58820,2008/12,1.0,1
10,(주)CMG제약,58820,2010/12,1.0,1
26,(주)DB하이텍,990,2006/12,1.0,1
27,(주)DB하이텍,990,2007/12,1.0,1
28,(주)DB하이텍,990,2008/12,1.0,1
29,(주)DB하이텍,990,2009/12,1.0,1
30,(주)DB하이텍,990,2010/12,1.0,1
31,(주)DB하이텍,990,2011/12,1.0,1
32,(주)DB하이텍,990,2012/12,1.0,1
33,(주)DB하이텍,990,2013/12,1.0,1
34,(주)DB하이텍,990,2014/12,1.0,1
44,(주)ES큐브,50120,2005/12,1.0,1
45,(주)ES큐브,50120,2006/12,1.0,1
46,(주)ES큐브,50120,2007/12,1.0,1
47,(주)ES큐브,50120,2008/12,1.0,1
62,(주)HJ중공업,97230,2010/12,1.0,1
63,(주)HJ중공업,97230,2011/12,1.0,1
64,(주)HJ중공업,97230,2012/12,1.0,1
65,(주)HJ중공업,97230,2013/12,1.0,1
66,(주)HJ중공업,97230,2014/12,1.0,1
67,(주)HJ중공업,97230,2015/12,1.0,1
68,(주)HJ중공업,97230,2016/12,1.0,1
69,(주)HJ중공업,97230,2017/12,1.0,1
70,(주)HJ중공업,97230,2018/12,1.0,1
71,(주)HJ중공업,97230,2019/12,1.0,1
90,(주)MH에탄올,23150,2018/12,1.0,1
92,(주)SH에너지화학,2360,2000/06,1.0,1
165,(주)STX,11810,2001/12,1.0,1
167,(주)STX,11810,2003/12,1.0,1
176,(주)STX,11810,2012/12,1.0,1
177,(주)STX,11810,2013/12,1.0,1
178,(주)STX,11810,2014/12,1.0,1
179,(주)STX,11810,2015/12,1.0,1
180,(주)STX,11810,2016/12,1.0,1
196,(주)TCC스틸,2710,2012/12,1.0,1
198,(주)TCC스틸,2710,2014/12,1.0,1
225,(주)강스템바이오텍,217730,2014/12,1.0,1
226,(주)강스템바이오텍,217730,2015/12,1.0,1
227,(주)강스템바이오텍,217730,2016/12,1.0,1
228,(주)강스템바이오텍,217730,2017/12,1.0,1
229,(주)강스템바이오텍,217730,2018/12,1.0,1
230,(주)강스템바이오텍,217730,2019/12,1.0,1
267,(주)강원에너지,114190,2016/12,1.0,1
268,(주)강원에너지,114190,2017/12,1.0,1
269,(주)강원에너지,114190,2018/12,1.0,1
270,(주)강원에너지,114190,2019/12,1.0,1
273,(주)갤럭시아에스엠,11420,2002/12,1.0,1
274,(주)갤럭시아에스엠,11420,2003/12,1.0,1
275,(주)갤럭시아에스엠,11420,2004/12,1.0,1
276,(주)갤럭시아에스엠,11420,2005/12,1.0,1
