회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율
(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75
(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31
(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16
(주)DB하이텍,990,14-Dec,0.67,0.67,0.67
(주)DB하이텍,990,15-Dec,2.49,2.5,2.5
(주)DB하이텍,990,16-Dec,4.39,4.41,4.41
(주)DB하이텍,990,17-Dec,6.01,6.05,6.05
(주)DB하이텍,990,18-Dec,6.76,6.77,6.77
(주)DB하이텍,990,19-Dec,13.43,13.44,13.44
(주)HJ중공업,97230,11-Dec,0.34,0.55,0.55
(주)HJ중공업,97230,12-Dec,0.17,0.27,0.27
(주)HJ중공업,97230,13-Dec,-0.72,-0.4,-0.4
(주)HJ중공업,97230,14-Dec,-0.78,-0.88,-0.88
(주)HJ중공업,97230,15-Dec,-0.75,-0.5,-0.5
(주)HJ중공업,97230,16-Dec,0.4,-0.58,-0.58
(주)HJ중공업,97230,17-Dec,0.89,-1.08,-1.08
(주)HJ중공업,97230,18-Dec,-0.66,0.62,0.62
(주)HJ중공업,97230,19-Dec,0.64,0.69,0.69
(주)ST,11810,11-Dec,0.67,1.66,1.66
(주)ST,11810,12-Dec,0.19,-3.12,-3.12
(주)ST,11810,13-Dec,-0.8,-10.71,-10.71
(주)ST,11810,14-Dec,0.53,0.76,0.76
(주)ST,11810,15-Dec,-0.42,-0.84,-0.84
(주)ST,11810,16-Dec,-2.95,-0.91,-0.91
(주)ST,11810,17-Dec,1.56,2.02,2.02
(주)ST,11810,18-Dec,-0.58,-1.12,-1.12
(주)ST,11810,19-Dec,-1.05,0.11,0.11
(주)TCC스틸,2710,11-Dec,1.8,1.41,1.41
(주)TCC스틸,2710,12-Dec,1.44,0.57,0.57
(주)TCC스틸,2710,13-Dec,1.01,-0.59,-0.59
(주)TCC스틸,2710,14-Dec,1.31,0.02,0.02
(주)TCC스틸,2710,15-Dec,2.11,2.17,2.17
(주)TCC스틸,2710,16-Dec,2.36,2.53,2.53
(주)TCC스틸,2710,17-Dec,1.41,1.55,1.55
(주)TCC스틸,2710,18-Dec,3.46,3.3,3.3
(주)TCC스틸,2710,19-Dec,2.34,2.27,2.27
(주)강스템바이오텍,217730,15-Dec,-5.41,77777777.77,-5.41
(주)강스템바이오텍,217730,16-Dec,-18.89,77777777.77,-18.89
(주)강스템바이오텍,217730,17-Dec,-7.93,-8.15,-8.15
(주)강스템바이오텍,217730,18-Dec,-11.95,-12.31,-12.31
(주)강스템바이오텍,217730,19-Dec,-23.34,-21.5,-21.5
(주)강원에너지,114190,11-Nov,393.9,77777777.77,393.9
(주)강원에너지,114190,12-Dec,58.37,77777777.77,58.37
