회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율
(주)CMG제약,58820,11-Dec,3.94,3.53,3.53
(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75
(주)ST,11810,11-Dec,0.67,1.66,1.66
(주)TCC스틸,2710,11-Dec,1.8,1.41,1.41
(주)강스템바이오텍,217730,15-Dec,-5.41,77777777.77,-5.41
(주)강원에너지,114190,11-Nov,393.9,77777777.77,393.9
(주)갤럭시아에스엠,11420,11-Dec,6.14,6.31,6.31
(주)골드앤에스,35290,11-Dec,1.25,1.13,1.13
(주)골드퍼시픽,38530,11-Dec,14.16,77777777.77,14.16
(주)광림,14200,11-Dec,4.55,77777777.77,4.55
(주)광무,29480,11-Dec,-2.59,-3.01,-3.01
(주)국보,1140,11-Dec,0.81,0.75,0.75
(주)국순당,43650,11-Dec,77777777.77,167.22,167.22
(주)국영지앤엠,6050,11-Dec,-170.81,77777777.77,-170.81
(주)기가레인,49080,13-Dec,5.66,5.72,5.72
(주)기산텔레콤,35460,11-Dec,-5.27,-3.73,-3.73
(주)까뮤이앤씨,13700,11-Dec,-14.28,77777777.77,-14.28
(주)나노,187790,14-Dec,77777777.77,77777777.77,11111111.11
(주)나노엔텍,39860,11-Dec,-8.71,-12.31,-12.31
(주)나이벡,138610,11-Dec,-3.91,77777777.77,-3.91
(주)내츄럴엔도텍,168330,13-Dec,675.61,77777777.77,675.61
(주)네오리진,94860,11-Dec,1.82,1.61,1.61
(주)네이처셀,7390,11-Dec,-1.42,77777777.77,-1.42
(주)네패스,33640,11-Dec,7.47,3.47,3.47
(주)넥스트엔터테인먼트월드,160550,14-Dec,12.47,13.68,13.68
(주)넥슨게임즈,225570,15-Dec,12.43,77777777.77,12.43
(주)넵튠,217270,15-Dec,-3.35,77777777.77,-3.35
(주)노블엠앤비,106520,12-Dec,13.46,11.2,11.2
(주)녹십자엠에스,142280,14-Dec,9.68,77777777.77,9.68
(주)녹원씨엔아이,65560,11-Dec,2.19,2.99,2.99
(주)누리플랜,69140,11-Dec,6.36,5.57,5.57
(주)뉴로스,126870,12-Dec,5.75,5.1,5.1
(주)뉴프렉스,85670,11-Dec,1.92,0.81,0.81
(주)다날,64260,11-Dec,4.56,-0.33,-0.33
(주)다산네트웍스,39560,11-Dec,0.5,-1.06,-1.06
(주)다이나믹디자인,145210,15-Dec,5.86,2.92,2.92
(주)대구백화점,6370,11-Mar,77777777.77,77777777.77,11111111.11
(주)대동,490,11-Dec,1.8,2.44,2.44
(주)대명소노시즌,7720,11-Dec,-23.88,-10.93,-10.93
(주)대성엘텍,25440,11-Dec,-0.73,-1.38,-1.38
(주)대유플러스,300,11-Dec,0.56,0.65,0.65
(주)대창,12800,11-Dec,1.22,1.4,1.4
(주)대창솔루션,96350,11-Dec,2.11,77777777.77,2.11
(주)대한항공,3490,11-Dec,0.79,0.81,0.81
(주)대호에이엘,69460,11-Dec,2.75,2.82,2.82
(주)대호특수강,21040,11-Dec,0.54,77777777.77,0.54
(주)더 미동,161570,13-Dec,455.03,449.88,449.88
(주)더블유아이,73570,11-Dec,0.12,0.05,0.05
(주)덴티스,261200,17-Dec,-2.33,77777777.77,-2.33
(주)동방선기,99410,11-Dec,0.75,2,2.0
(주)동양,1520,11-Dec,0.18,-0.13,-0.13
(주)동운아나텍,94170,15-Dec,41.32,77777777.77,41.32
(주)듀오백,73190,11-Dec,77777777.77,10.84,10.84
(주)드래곤플라이,30350,11-Dec,77777777.77,77777777.77,11111111.11
(주)드림시큐리티,203650,14-Dec,-1.48,77777777.77,-1.48
(주)드림어스컴퍼니,60570,11-Dec,-30.72,-30.53,-30.53
(주)디아이,3160,11-Dec,-0.78,-2.08,-2.08
(주)디에스앤엘,141020,13-Dec,-20.48,-20.8,-20.8
(주)디엔에이링크,127120,11-Dec,3.27,77777777.77,3.27
(주)디엠에스,68790,11-Dec,1.54,0.83,0.83
(주)디이엔티,79810,11-Dec,-7.69,77777777.77,-7.69
(주)디지아이,43360,11-Dec,-4.28,77777777.77,-4.28
(주)레고켐바이오사이언스,141080,13-Dec,-119.36,77777777.77,-119.36
(주)레드로버,60300,11-Dec,10.36,77777777.77,10.36
(주)레이크머티리얼즈,281740,17-Dec,-4.74,77777777.77,-4.74
(주)루멘스,38060,11-Dec,4.36,5.56,5.56
(주)루트로닉,85370,11-Dec,2.79,-2.06,-2.06
(주)룽투코리아,60240,11-Dec,-13.45,-18.61,-18.61
(주)리더스코스메틱,16100,11-Dec,6.86,77777777.77,6.86
