회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
(주)CMG제약,58820,11-Dec,3.53,-7.75,0.0,0.0,0.0
(주)CMG제약,58820,12-Dec,-7.75,0.7,1.0,0.0,0.0
(주)CMG제약,58820,13-Dec,0.7,3.6,1.0,0.0,0.0
(주)CMG제약,58820,14-Dec,3.6,-32.22,0.0,0.0,0.0
(주)CMG제약,58820,15-Dec,-32.22,303.0,1.0,0.0,0.0
(주)CMG제약,58820,16-Dec,303.0,303.0,0.0,0.0,0.0
(주)CMG제약,58820,17-Dec,303.0,303.0,0.0,0.0,0.0
(주)CMG제약,58820,18-Dec,303.0,303.0,0.0,0.0,0.0
(주)CMG제약,58820,19-Dec,303.0,,0.0,0.0,0.0
(주)DB하이텍,990,11-Dec,-0.75,-0.31,1.0,0.0,0.0
(주)DB하이텍,990,12-Dec,-0.31,-0.16,1.0,0.0,0.0
(주)DB하이텍,990,13-Dec,-0.16,0.67,1.0,0.0,0.0
(주)DB하이텍,990,14-Dec,0.67,2.5,1.0,0.0,0.0
(주)DB하이텍,990,15-Dec,2.5,4.41,0.0,0.0,0.0
(주)DB하이텍,990,16-Dec,4.41,6.05,0.0,0.0,0.0
(주)DB하이텍,990,17-Dec,6.05,6.77,0.0,0.0,0.0
(주)DB하이텍,990,18-Dec,6.77,13.44,0.0,0.0,0.0
(주)DB하이텍,990,19-Dec,13.44,,0.0,0.0,0.0
(주)ES큐브,50120,11-Dec,-245.99,1.72,1.0,0.0,0.0
(주)ES큐브,50120,12-Dec,1.72,-37.44,0.0,1.0,0.0
(주)ES큐브,50120,13-Dec,-37.44,22.2,1.0,0.0,0.0
(주)ES큐브,50120,14-Dec,22.2,-11.86,0.0,0.0,0.0
(주)ES큐브,50120,15-Dec,-11.86,8.98,1.0,0.0,0.0
(주)ES큐브,50120,16-Dec,8.98,2.86,0.0,0.0,0.0
(주)ES큐브,50120,17-Dec,2.86,-0.82,0.0,0.0,0.0
(주)ES큐브,50120,18-Dec,-0.82,-0.68,1.0,0.0,0.0
(주)ES큐브,50120,19-Dec,-0.68,,1.0,0.0,0.0
(주)HJ중공업,97230,11-Dec,0.55,0.27,1.0,0.0,0.0
(주)HJ중공업,97230,12-Dec,0.27,-0.4,1.0,0.0,0.0
(주)HJ중공업,97230,13-Dec,-0.4,-0.88,1.0,0.0,0.0
(주)HJ중공업,97230,14-Dec,-0.88,-0.5,1.0,0.0,0.0
(주)HJ중공업,97230,15-Dec,-0.5,-0.58,1.0,0.0,0.0
(주)HJ중공업,97230,16-Dec,-0.58,-1.08,1.0,0.0,0.0
(주)HJ중공업,97230,17-Dec,-1.08,0.62,1.0,0.0,0.0
(주)HJ중공업,97230,18-Dec,0.62,0.69,1.0,0.0,0.0
(주)HJ중공업,97230,19-Dec,0.69,,1.0,0.0,0.0
(주)MH에탄올,23150,11-Dec,0.12,1.08,1.0,0.0,0.0
(주)MH에탄올,23150,12-Dec,1.08,0.87,0.0,1.0,0.0
(주)MH에탄올,23150,13-Dec,0.87,5.62,1.0,0.0,0.0
(주)MH에탄올,23150,14-Dec,5.62,12.69,0.0,0.0,0.0
(주)MH에탄올,23150,15-Dec,12.69,29.41,0.0,0.0,0.0
(주)MH에탄올,23150,16-Dec,29.41,3.46,0.0,0.0,0.0
(주)MH에탄올,23150,17-Dec,3.46,0.1,0.0,0.0,0.0
(주)MH에탄올,23150,18-Dec,0.1,0.73,1.0,0.0,0.0
(주)MH에탄올,23150,19-Dec,0.73,,1.0,0.0,0.0
(주)SH에너지화학,2360,11-Dec,2.82,1.72,0.0,0.0,0.0
(주)SH에너지화학,2360,12-Dec,1.72,5.3,0.0,0.0,0.0
(주)SH에너지화학,2360,13-Dec,5.3,26.68,0.0,0.0,0.0
(주)SH에너지화학,2360,14-Dec,26.68,84.87,0.0,0.0,0.0
(주)SH에너지화학,2360,15-Dec,84.87,210.93,0.0,0.0,0.0
(주)SH에너지화학,2360,16-Dec,210.93,162.17,0.0,0.0,0.0
(주)SH에너지화학,2360,17-Dec,162.17,22.72,0.0,0.0,0.0
(주)SH에너지화학,2360,18-Dec,22.72,-24.12,0.0,0.0,0.0
(주)SH에너지화학,2360,19-Dec,-24.12,,1.0,0.0,0.0
(주)SNT에너지,100840,11-Dec,-9.21,77.44,1.0,0.0,0.0
(주)SNT에너지,100840,12-Dec,77.44,50.81,0.0,1.0,0.0
(주)SNT에너지,100840,13-Dec,50.81,41.09,0.0,0.0,1.0
(주)SNT에너지,100840,14-Dec,41.09,359.1,0.0,0.0,0.0
(주)SNT에너지,100840,15-Dec,359.1,1771.27,0.0,0.0,0.0
(주)SNT에너지,100840,16-Dec,1771.27,1771.27,0.0,0.0,0.0
(주)SNT에너지,100840,17-Dec,1771.27,-9.21,0.0,0.0,0.0
(주)SNT에너지,100840,18-Dec,-9.21,1771.27,1.0,0.0,0.0
(주)SNT에너지,100840,19-Dec,1771.27,,0.0,0.0,0.0
