회사명,거래소코드,회계년도
(주)케이이씨,92220,201112
(주)케이이씨,92220,201212
(주)케이이씨,92220,201312
(주)케이이씨,92220,201412
(주)케이이씨,92220,201512
(주)케이이씨,92220,201612
(주)케이이씨,92220,201712
(주)케이이씨,92220,201812
(주)케이이씨,92220,201912
(주)루멘스,38060,201112
(주)루멘스,38060,201212
(주)루멘스,38060,201312
(주)루멘스,38060,201412
(주)루멘스,38060,201512
(주)루멘스,38060,201612
(주)루멘스,38060,201712
(주)루멘스,38060,201812
(주)루멘스,38060,201912
(주)바른전자,64520,201112
(주)바른전자,64520,201212
(주)바른전자,64520,201312
(주)바른전자,64520,201412
(주)바른전자,64520,201512
(주)바른전자,64520,201612
(주)바른전자,64520,201712
(주)바른전자,64520,201812
(주)바른전자,64520,201912
(주)비보존헬스케어,82800,201112
(주)비보존헬스케어,82800,201212
(주)비보존헬스케어,82800,201312
(주)비보존헬스케어,82800,201412
(주)비보존헬스케어,82800,201512
(주)비보존헬스케어,82800,201612
(주)비보존헬스케어,82800,201712
(주)비보존헬스케어,82800,201812
(주)비보존헬스케어,82800,201912
(주)신성이엔지,11930,201112
(주)신성이엔지,11930,201212
(주)신성이엔지,11930,201312
(주)신성이엔지,11930,201412
(주)신성이엔지,11930,201512
(주)신성이엔지,11930,201612
(주)신성이엔지,11930,201712
(주)신성이엔지,11930,201812
(주)신성이엔지,11930,201912
(주)알에프세미,96610,201112
(주)알에프세미,96610,201212
(주)알에프세미,96610,201312
(주)알에프세미,96610,201412
(주)알에프세미,96610,201512
(주)알에프세미,96610,201612
(주)알에프세미,96610,201712
(주)알에프세미,96610,201812
(주)알에프세미,96610,201912
(주)에스엘바이오닉스,214310,201512
(주)에스엘바이오닉스,214310,201612
(주)에스엘바이오닉스,214310,201712
(주)에스엘바이오닉스,214310,201812
(주)에스엘바이오닉스,214310,201912
(주)윈팩,97800,201312
(주)윈팩,97800,201412
(주)윈팩,97800,201512
(주)윈팩,97800,201612
(주)윈팩,97800,201712
(주)윈팩,97800,201812
(주)윈팩,97800,201912
(주)클라우드에어,36170,201112
(주)클라우드에어,36170,201212
(주)클라우드에어,36170,201312
(주)클라우드에어,36170,201412
(주)클라우드에어,36170,201512
(주)클라우드에어,36170,201612
(주)클라우드에어,36170,201712
(주)클라우드에어,36170,201812
(주)클라우드에어,36170,201912
광전자(주),17900,201112
광전자(주),17900,201212
광전자(주),17900,201312
광전자(주),17900,201412
광전자(주),17900,201512
광전자(주),17900,201612
광전자(주),17900,201712
광전자(주),17900,201812
광전자(주),17900,201912
서울반도체(주),46890,201112
서울반도체(주),46890,201212
서울반도체(주),46890,201312
서울반도체(주),46890,201412
서울반도체(주),46890,201512
서울반도체(주),46890,201612
서울반도체(주),46890,201712
서울반도체(주),46890,201812
서울반도체(주),46890,201912
시그네틱스(주),33170,201112
시그네틱스(주),33170,201212
시그네틱스(주),33170,201312
시그네틱스(주),33170,201412
시그네틱스(주),33170,201512
시그네틱스(주),33170,201612
시그네틱스(주),33170,201712
시그네틱스(주),33170,201812
시그네틱스(주),33170,201912
에스케이하이닉스(주),660,201112
에스케이하이닉스(주),660,201212
에스케이하이닉스(주),660,201312
에스케이하이닉스(주),660,201412
에스케이하이닉스(주),660,201512
에스케이하이닉스(주),660,201612
에스케이하이닉스(주),660,201712
에스케이하이닉스(주),660,201812
에스케이하이닉스(주),660,201912
엘비세미콘(주),61970,201112
엘비세미콘(주),61970,201212
엘비세미콘(주),61970,201312
엘비세미콘(주),61970,201412
엘비세미콘(주),61970,201512
엘비세미콘(주),61970,201612
엘비세미콘(주),61970,201712
엘비세미콘(주),61970,201812
엘비세미콘(주),61970,201912
우리이앤엘(주),153490,201312
우리이앤엘(주),153490,201412
우리이앤엘(주),153490,201512
우리이앤엘(주),153490,201612
우리이앤엘(주),153490,201712
우리이앤엘(주),153490,201812
우리이앤엘(주),153490,201912
(주)동일기연,32960,201112
(주)동일기연,32960,201212
(주)동일기연,32960,201312
(주)동일기연,32960,201412
(주)동일기연,32960,201512
(주)동일기연,32960,201612
