,회사명,거래소코드,회계년도,경상개발비율
0,(주)CMG제약,58820,11-Dec,0
1,(주)CMG제약,58820,12-Dec,0
2,(주)CMG제약,58820,13-Dec,0
3,(주)CMG제약,58820,14-Dec,0
4,(주)CMG제약,58820,15-Dec,0
5,(주)CMG제약,58820,16-Dec,0
6,(주)CMG제약,58820,17-Dec,0
7,(주)CMG제약,58820,18-Dec,0
8,(주)CMG제약,58820,19-Dec,0
9,(주)DB하이텍,990,11-Dec,0
10,(주)DB하이텍,990,12-Dec,0
11,(주)DB하이텍,990,13-Dec,0
12,(주)DB하이텍,990,14-Dec,0
13,(주)DB하이텍,990,15-Dec,0
14,(주)DB하이텍,990,16-Dec,0
15,(주)DB하이텍,990,17-Dec,0
16,(주)DB하이텍,990,18-Dec,0
17,(주)DB하이텍,990,19-Dec,0
18,(주)ES큐브,50120,11-Dec,0
19,(주)ES큐브,50120,12-Dec,0
20,(주)ES큐브,50120,13-Dec,0
21,(주)ES큐브,50120,14-Dec,0.023633115
22,(주)ES큐브,50120,15-Dec,0
23,(주)ES큐브,50120,16-Dec,0
24,(주)ES큐브,50120,17-Dec,0
25,(주)ES큐브,50120,18-Dec,0
26,(주)ES큐브,50120,19-Dec,0
27,(주)HJ중공업,97230,11-Dec,0.052096336
28,(주)HJ중공업,97230,12-Dec,0.076318647
29,(주)HJ중공업,97230,13-Dec,0.07846752
30,(주)HJ중공업,97230,14-Dec,0.007554685
31,(주)HJ중공업,97230,15-Dec,0.00953831
32,(주)HJ중공업,97230,16-Dec,0.004031959
33,(주)HJ중공업,97230,17-Dec,0.004992437
34,(주)HJ중공업,97230,18-Dec,0.003434128
35,(주)HJ중공업,97230,19-Dec,0.003426466
36,(주)MH에탄올,23150,11-Dec,0
37,(주)MH에탄올,23150,12-Dec,0
38,(주)MH에탄올,23150,13-Dec,0
39,(주)MH에탄올,23150,14-Dec,0
40,(주)MH에탄올,23150,15-Dec,0
41,(주)MH에탄올,23150,16-Dec,0
42,(주)MH에탄올,23150,17-Dec,0
43,(주)MH에탄올,23150,18-Dec,0
44,(주)MH에탄올,23150,19-Dec,0
45,(주)SH에너지화학,2360,11-Dec,0
46,(주)SH에너지화학,2360,12-Dec,0
47,(주)SH에너지화학,2360,13-Dec,0
48,(주)SH에너지화학,2360,14-Dec,0
49,(주)SH에너지화학,2360,15-Dec,0
50,(주)SH에너지화학,2360,16-Dec,0
51,(주)SH에너지화학,2360,17-Dec,0
52,(주)SH에너지화학,2360,18-Dec,0
53,(주)SH에너지화학,2360,19-Dec,0
54,(주)SIMPAC,9160,11-Dec,0
55,(주)SIMPAC,9160,12-Dec,0
56,(주)SIMPAC,9160,13-Dec,0
57,(주)SIMPAC,9160,14-Dec,0
58,(주)SIMPAC,9160,15-Dec,0
59,(주)SIMPAC,9160,16-Dec,0
60,(주)SIMPAC,9160,17-Dec,0
61,(주)SIMPAC,9160,18-Dec,0
62,(주)SIMPAC,9160,19-Dec,0
63,(주)SNT에너지,100840,11-Dec,0
64,(주)SNT에너지,100840,12-Dec,0
65,(주)SNT에너지,100840,13-Dec,0
66,(주)SNT에너지,100840,14-Dec,0
67,(주)SNT에너지,100840,15-Dec,0
68,(주)SNT에너지,100840,16-Dec,0
69,(주)SNT에너지,100840,17-Dec,0
70,(주)SNT에너지,100840,18-Dec,0
71,(주)SNT에너지,100840,19-Dec,0
72,(주)SNT홀딩스,36530,11-Dec,0
