,Unnamed: 0,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결,순이익증가율
0,0,(주)CMG제약,58820,Dec-11,-1264488.0,-1508282.0,,,
1,1,(주)CMG제약,58820,Dec-12,-6892739.0,-6660149.0,,,
2,2,(주)CMG제약,58820,Dec-13,335258.0,296181.0,,,
3,3,(주)CMG제약,58820,Dec-14,171502.0,158039.0,-48.84,-46.64,-46.64
4,4,(주)CMG제약,58820,Dec-15,-3648668.0,-3650091.0,-2227.48,-2409.61,-2409.61
5,5,(주)CMG제약,58820,Dec-16,1693463.0,1727895.0,,,
6,6,(주)CMG제약,58820,Dec-17,2834901.0,2834901.0,67.4,64.07,64.07
7,7,(주)CMG제약,58820,Dec-18,6065026.0,6065026.0,113.94,113.94,113.94
8,8,(주)CMG제약,58820,Dec-19,3051177.0,3051177.0,-49.69,-49.69,-49.69
9,9,(주)DB하이텍,990,Dec-11,-93084414.0,-97946584.0,-3150.77,-3310.12,-3310.12
10,10,(주)DB하이텍,990,Dec-12,-32121504.0,-31341318.0,,,
11,11,(주)DB하이텍,990,Dec-13,-73243309.0,-83046768.0,,,
12,12,(주)DB하이텍,990,Dec-14,-58319918.0,-77008844.0,,,
13,13,(주)DB하이텍,990,Dec-15,127469869.0,126733352.0,,,
14,14,(주)DB하이텍,990,Dec-16,88002359.0,88344018.0,-30.96,-30.29,-30.29
15,15,(주)DB하이텍,990,Dec-17,74401732.0,110175089.0,-15.45,24.71,24.71
16,16,(주)DB하이텍,990,Dec-18,95087399.0,86828768.0,27.8,-21.19,-21.19
17,17,(주)DB하이텍,990,Dec-19,121159865.0,104637012.0,27.42,20.51,20.51
18,18,(주)ES큐브,50120,Dec-11,-2933429.0,-4796438.0,-102.42,-104.58,-104.58
19,19,(주)ES큐브,50120,Dec-12,516857.0,-359216.0,,,
20,20,(주)ES큐브,50120,Dec-13,-14749080.0,-16455910.0,-2953.61,,
21,21,(주)ES큐브,50120,Dec-14,-2412385.0,-615409.0,,,
22,22,(주)ES큐브,50120,Dec-15,3610344.0,-2307159.0,,,
23,23,(주)ES큐브,50120,Dec-16,17469014.0,21541047.0,383.86,,
24,24,(주)ES큐브,50120,Dec-17,1218923.0,1737925.0,-93.02,-91.93,-91.93
25,25,(주)ES큐브,50120,Dec-18,-3836071.0,-6121462.0,-414.71,-452.23,-452.23
26,26,(주)ES큐브,50120,Dec-19,-12738710.0,-13767748.0,,,
27,27,(주)HJ중공업,97230,Dec-11,-116272000.0,-96920000.0,,,
28,28,(주)HJ중공업,97230,Dec-12,13082000.0,-53214000.0,,,
29,29,(주)HJ중공업,97230,Dec-13,-212716000.0,-190193000.0,-1726.02,,
30,30,(주)HJ중공업,97230,Dec-14,-225739000.0,-299811000.0,,,
31,31,(주)HJ중공업,97230,Dec-15,-260118000.0,-260925000.0,,,
32,32,(주)HJ중공업,97230,Dec-16,-334429000.0,-334446000.0,,,
33,33,(주)HJ중공업,97230,Dec-17,-299028000.0,-277978000.0,,,
34,34,(주)HJ중공업,97230,Dec-18,-963474000.0,-1283647000.0,,,
35,35,(주)HJ중공업,97230,Dec-19,-73654000.0,306169000.0,,,
36,36,(주)MH에탄올,23150,Dec-11,3351943.0,-4357312.0,,-101.42,-101.42
37,37,(주)MH에탄올,23150,Dec-12,2571700.0,287369.0,-23.28,,
38,38,(주)MH에탄올,23150,Dec-13,-11627211.0,7028234.0,-552.12,2345.72,2345.72
39,39,(주)MH에탄올,23150,Dec-14,4618332.0,-203193.0,,-102.89,-102.89
40,40,(주)MH에탄올,23150,Dec-15,7744832.0,7778593.0,67.7,,
41,41,(주)MH에탄올,23150,Dec-16,8134873.0,8144684.0,5.04,4.71,4.71
42,42,(주)MH에탄올,23150,Dec-17,5903108.0,4308068.0,-27.43,-47.11,-47.11
43,43,(주)MH에탄올,23150,Dec-18,6553371.0,-12033428.0,11.02,-379.32,-379.32
44,44,(주)MH에탄올,23150,Dec-19,-5004935.0,-7552043.0,-176.37,,
45,45,(주)SH에너지화학,2360,Dec-11,3164441.0,1800972.0,,,
46,46,(주)SH에너지화학,2360,Dec-12,1079738.0,210854.0,-65.88,-88.29,-88.29
47,47,(주)SH에너지화학,2360,Dec-13,4841817.0,4606872.0,348.43,2084.86,2084.86
48,48,(주)SH에너지화학,2360,Dec-14,15569914.0,16733050.0,221.57,263.22,263.22
49,49,(주)SH에너지화학,2360,Dec-15,12639344.0,12590617.0,-18.82,-24.76,-24.76
50,50,(주)SH에너지화학,2360,Dec-16,17574101.0,18028878.0,39.04,43.19,43.19
51,51,(주)SH에너지화학,2360,Dec-17,8905104.0,9879057.0,-49.33,-45.2,-45.2
52,52,(주)SH에너지화학,2360,Dec-18,2766802.0,2033570.0,-68.93,-79.42,-79.42
53,53,(주)SH에너지화학,2360,Dec-19,-3151629.0,-3090151.0,-213.91,-251.96,-251.96
54,54,(주)SIMPAC,9160,Dec-11,21196377.0,24976613.0,,,
55,55,(주)SIMPAC,9160,Dec-12,22517068.0,19285856.0,6.23,-22.78,-22.78
56,56,(주)SIMPAC,9160,Dec-13,19196136.0,20043596.0,-14.75,3.93,3.93
57,57,(주)SIMPAC,9160,Dec-14,10218575.0,14312319.0,-46.77,-28.59,-28.59
58,58,(주)SIMPAC,9160,Dec-15,19448583.0,16449973.0,90.33,14.94,14.94
59,59,(주)SIMPAC,9160,Dec-16,16444650.0,16183843.0,-15.45,-1.62,-1.62
60,60,(주)SIMPAC,9160,Dec-17,7133940.0,12895699.0,-56.62,-20.32,-20.32
61,61,(주)SIMPAC,9160,Dec-18,62381304.0,69198558.0,774.43,436.6,436.6
62,62,(주)SIMPAC,9160,Dec-19,11507259.0,9487516.0,-81.55,-86.29,-86.29
63,63,(주)SNT에너지,100840,Dec-11,-4155767.0,,-136.11,17.11,17.11
64,64,(주)SNT에너지,100840,Dec-12,9087721.0,,,0.0,
65,65,(주)SNT에너지,100840,Dec-13,16189688.0,,78.15,0.0,78.15
66,66,(주)SNT에너지,100840,Dec-14,11264253.0,,-30.42,0.0,-30.42
67,67,(주)SNT에너지,100840,Dec-15,27029932.0,,139.96,0.0,139.96
68,68,(주)SNT에너지,100840,Dec-16,1659742.0,,-93.86,0.0,-93.86
69,69,(주)SNT에너지,100840,Dec-17,4581777.0,,176.05,0.0,176.05
70,70,(주)SNT에너지,100840,Dec-18,1825479.0,,-60.16,0.0,-60.16
71,71,(주)SNT에너지,100840,Dec-19,14578960.0,15452273.0,698.64,39.07,39.07
72,72,(주)SNT홀딩스,36530,Dec-11,5766277.0,87196578.0,-60.45,464.3,464.3
73,73,(주)SNT홀딩스,36530,Dec-12,9011145.0,63253909.0,56.27,-27.46,-27.46
74,74,(주)SNT홀딩스,36530,Dec-13,8018313.0,53763061.0,-11.02,-15.0,-15.0
75,75,(주)SNT홀딩스,36530,Dec-14,6891599.0,66985248.0,-14.05,24.59,24.59
76,76,(주)SNT홀딩스,36530,Dec-15,27765789.0,116419931.0,302.89,73.8,73.8
77,77,(주)SNT홀딩스,36530,Dec-16,6923176.0,10146568.0,-75.07,-91.28,-91.28
78,78,(주)SNT홀딩스,36530,Dec-17,4172419.0,25863066.0,-39.73,154.89,154.89
79,79,(주)SNT홀딩스,36530,Dec-18,6218079.0,73732317.0,49.03,185.09,185.09
80,80,(주)SNT홀딩스,36530,Dec-19,9244252.0,124509305.0,48.67,68.87,68.87
81,81,(주)STX,11810,Dec-11,84657000.0,222363000.0,815.78,78.59,78.59
82,82,(주)STX,11810,Dec-12,-23863000.0,-490928000.0,-128.19,-320.78,-320.78
83,83,(주)STX,11810,Dec-13,-1646014000.0,-1595630000.0,,,
84,84,(주)STX,11810,Dec-14,334488000.0,380584000.0,,,
85,85,(주)STX,11810,Dec-15,-53449000.0,-48982000.0,-115.98,-112.87,-112.87
86,86,(주)STX,11810,Dec-16,-456150000.0,-457446000.0,,,
87,87,(주)STX,11810,Dec-17,336179000.0,334386000.0,,,
88,88,(주)STX,11810,Dec-18,5024000.0,9107000.0,-98.51,-97.28,-97.28
89,89,(주)STX,11810,Dec-19,-37142000.0,-33218000.0,-839.29,-464.75,-464.75
90,90,(주)TCC스틸,2710,Dec-11,6828699.0,4557868.0,,,
91,91,(주)TCC스틸,2710,Dec-12,4206491.0,124581.0,-38.4,-97.27,-97.27
92,92,(주)TCC스틸,2710,Dec-13,391783.0,-19955830.0,-90.69,-16118.36,-16118.36
93,93,(주)TCC스틸,2710,Dec-14,1022624.0,-15813610.0,161.02,,
94,94,(주)TCC스틸,2710,Dec-15,-140083396.0,-110218983.0,-13798.43,,
95,95,(주)TCC스틸,2710,Dec-16,15468493.0,16948843.0,,,
96,96,(주)TCC스틸,2710,Dec-17,-2328706.0,1503708.0,-115.05,-91.13,-91.13
97,97,(주)TCC스틸,2710,Dec-18,7565000.0,9755131.0,,548.74,548.74
98,98,(주)TCC스틸,2710,Dec-19,1996130.0,5037267.0,-73.61,-48.36,-48.36
99,99,(주)가비아,79940,Dec-11,3262397.0,7014899.0,63.44,39.26,39.26
100,100,(주)가비아,79940,Dec-12,5737877.0,9419144.0,75.88,34.27,34.27
101,101,(주)가비아,79940,Dec-13,3786937.0,9505713.0,-34.0,0.92,0.92
102,102,(주)가비아,79940,Dec-14,3076978.0,6752737.0,-18.75,-28.96,-28.96
103,103,(주)가비아,79940,Dec-15,4288423.0,8530281.0,39.37,26.32,26.32
104,104,(주)가비아,79940,Dec-16,3544032.0,10177685.0,-17.36,19.31,19.31
105,105,(주)가비아,79940,Dec-17,2493743.0,9669613.0,-29.64,-4.99,-4.99
106,106,(주)가비아,79940,Dec-18,2762732.0,15340647.0,10.79,58.65,58.65
