,순이익증가율,순이익증가률개별,순이익증가률연결,순이익증가율1
0,1254789.63,11111111.11,11111111.11,1254789.63
1,1254789.63,11111111.11,11111111.11,1254789.63
2,1254789.63,11111111.11,11111111.11,1254789.63
3,-46.64,-48.84,-46.64,-46.64
4,-2409.61,-2227.48,-2409.61,-2409.61
5,1254789.63,11111111.11,11111111.11,1254789.63
6,64.07,67.4,64.07,64.07
7,113.94,113.94,113.94,113.94
8,-49.69,-49.69,-49.69,-49.69
9,-3310.12,-3150.77,-3310.12,-3310.12
10,1254789.63,11111111.11,11111111.11,1254789.63
11,1254789.63,11111111.11,11111111.11,1254789.63
12,1254789.63,11111111.11,11111111.11,1254789.63
13,1254789.63,11111111.11,11111111.11,1254789.63
14,-30.29,-30.96,-30.29,-30.29
15,24.71,-15.45,24.71,24.71
16,-21.19,27.8,-21.19,-21.19
17,20.51,27.42,20.51,20.51
18,-104.58,-102.42,-104.58,-104.58
19,1254789.63,11111111.11,11111111.11,1254789.63
20,-2953.61,-2953.61,11111111.11,-2953.61
21,1254789.63,11111111.11,11111111.11,1254789.63
22,1254789.63,11111111.11,11111111.11,1254789.63
23,383.86,383.86,11111111.11,383.86
24,-91.93,-93.02,-91.93,-91.93
25,-452.23,-414.71,-452.23,-452.23
26,1254789.63,11111111.11,11111111.11,1254789.63
27,1254789.63,11111111.11,11111111.11,1254789.63
28,1254789.63,11111111.11,11111111.11,1254789.63
29,-1726.02,-1726.02,11111111.11,-1726.02
30,1254789.63,11111111.11,11111111.11,1254789.63
31,1254789.63,11111111.11,11111111.11,1254789.63
32,1254789.63,11111111.11,11111111.11,1254789.63
33,1254789.63,11111111.11,11111111.11,1254789.63
34,1254789.63,11111111.11,11111111.11,1254789.63
35,1254789.63,11111111.11,11111111.11,1254789.63
36,-101.42,11111111.11,-101.42,-101.42
37,-23.28,-23.28,11111111.11,-23.28
38,2345.72,-552.12,2345.72,2345.72
39,-102.89,11111111.11,-102.89,-102.89
40,67.7,67.7,11111111.11,67.7
41,4.71,5.04,4.71,4.71
42,-47.11,-27.43,-47.11,-47.11
43,-379.32,11.02,-379.32,-379.32
44,-176.37,-176.37,11111111.11,-176.37
45,1254789.63,11111111.11,11111111.11,1254789.63
46,-88.29,-65.88,-88.29,-88.29
47,2084.86,348.43,2084.86,2084.86
48,263.22,221.57,263.22,263.22
49,-24.76,-18.82,-24.76,-24.76
50,43.19,39.04,43.19,43.19
51,-45.2,-49.33,-45.2,-45.2
52,-79.42,-68.93,-79.42,-79.42
53,-251.96,-213.91,-251.96,-251.96
54,1254789.63,11111111.11,11111111.11,1254789.63
55,-22.78,6.23,-22.78,-22.78
56,3.93,-14.75,3.93,3.93
57,-28.59,-46.77,-28.59,-28.59
58,14.94,90.33,14.94,14.94
59,-1.62,-15.45,-1.62,-1.62
60,-20.32,-56.62,-20.32,-20.32
61,436.6,774.43,436.6,436.6
62,-86.29,-81.55,-86.29,-86.29
63,17.11,-136.11,17.11,17.11
64,0.0,11111111.11,0.0,0.0
65,0.0,78.15,0.0,0.0
66,0.0,-30.42,0.0,0.0
67,0.0,139.96,0.0,0.0
68,0.0,-93.86,0.0,0.0
69,0.0,176.05,0.0,0.0
70,0.0,-60.16,0.0,0.0
71,39.07,698.64,39.07,39.07
72,464.3,-60.45,464.3,464.3
73,-27.46,56.27,-27.46,-27.46
74,-15.0,-11.02,-15.0,-15.0
75,24.59,-14.05,24.59,24.59
76,73.8,302.89,73.8,73.8
77,-91.28,-75.07,-91.28,-91.28
78,154.89,-39.73,154.89,154.89
79,185.09,49.03,185.09,185.09
80,68.87,48.67,68.87,68.87
81,78.59,815.78,78.59,78.59
82,-320.78,-128.19,-320.78,-320.78
83,1254789.63,11111111.11,11111111.11,1254789.63
84,1254789.63,11111111.11,11111111.11,1254789.63
85,-112.87,-115.98,-112.87,-112.87
86,1254789.63,11111111.11,11111111.11,1254789.63
87,1254789.63,11111111.11,11111111.11,1254789.63
88,-97.28,-98.51,-97.28,-97.28
89,-464.75,-839.29,-464.75,-464.75
90,1254789.63,11111111.11,11111111.11,1254789.63
91,-97.27,-38.4,-97.27,-97.27
92,-16118.36,-90.69,-16118.36,-16118.36
93,161.02,161.02,11111111.11,161.02
94,-13798.43,-13798.43,11111111.11,-13798.43
95,1254789.63,11111111.11,11111111.11,1254789.63
96,-91.13,-115.05,-91.13,-91.13
97,548.74,11111111.11,548.74,548.74
98,-48.36,-73.61,-48.36,-48.36
99,39.26,63.44,39.26,39.26
100,34.27,75.88,34.27,34.27
101,0.92,-34.0,0.92,0.92
102,-28.96,-18.75,-28.96,-28.96
103,26.32,39.37,26.32,26.32
104,19.31,-17.36,19.31,19.31
105,-4.99,-29.64,-4.99,-4.99
106,58.65,10.79,58.65,58.65
107,37.56,68.48,37.56,37.56
108,-47.35,-223.62,-47.35,-47.35
109,0.0,11111111.11,0.0,0.0
110,-203.79,11111111.11,-203.79,-203.79
111,1254789.63,11111111.11,11111111.11,1254789.63
112,1254789.63,11111111.11,11111111.11,1254789.63
113,1254789.63,11111111.11,11111111.11,1254789.63
114,-19.66,-24.63,-19.66,-19.66
115,-2.82,-1.14,-2.82,-2.82
116,20.75,24.11,20.75,20.75
117,22.9,18.32,22.9,22.9
118,2.92,5.7,2.92,2.92
119,-3.74,-3.93,-3.74,-3.74
120,-32.07,-31.98,-32.07,-32.07
121,12.59,12.88,12.59,12.59
122,-96.68,-98.29,-96.68,-96.68
123,0.0,55.95,0.0,0.0
124,0.0,-56.3,0.0,0.0
125,0.0,-71.36,0.0,0.0
126,-99.08,-21.14,-99.08,-99.08
127,-1198.12,-186.03,-1198.12,-1198.12
128,1254789.63,11111111.11,11111111.11,1254789.63
129,1254789.63,11111111.11,11111111.11,1254789.63
130,-2186.0,-1792.05,-2186.0,-2186.0
131,1254789.63,11111111.11,11111111.11,1254789.63
132,-86.63,-92.54,-86.63,-86.63
133,-546.44,-734.62,-546.44,-546.44
134,1254789.63,11111111.11,11111111.11,1254789.63
135,1254789.63,11111111.11,11111111.11,1254789.63
136,-183.84,-160.66,-183.84,-183.84
137,1254789.63,11111111.11,11111111.11,1254789.63
138,1254789.63,11111111.11,11111111.11,1254789.63
139,1254789.63,11111111.11,11111111.11,1254789.63
140,1254789.63,11111111.11,11111111.11,1254789.63
141,1922.97,108.93,1922.97,1922.97
142,35.3,108.68,35.3,35.3
143,-49.11,-32.58,-49.11,-49.11
144,-1.67,-30.01,-1.67,-1.67
145,-8.8,-11.06,-8.8,-8.8
146,58.34,99.95,58.34,58.34
147,-51.6,-16.69,-51.6,-51.6
148,-17.71,-26.54,-17.71,-17.71
149,135.81,33.75,135.81,135.81
150,-3.14,-2.44,-3.14,-3.14
151,21.37,0.4,21.37,21.37
152,-15.72,-1.83,-15.72,-15.72
153,78.59,112.73,78.59,78.59
154,123.67,48.21,123.67,123.67
155,-27.89,-43.11,-27.89,-27.89
156,-8.4,40.06,-8.4,-8.4
157,12.54,-10.27,12.54,12.54
158,-36.1,-13.65,-36.1,-36.1
159,91.95,92.21,91.95,91.95
160,-27.88,-28.33,-27.88,-27.88
161,23.09,105.51,23.09,23.09
162,41.39,13.71,41.39,41.39
163,16.24,-18.74,16.24,16.24
164,52.34,-3.06,52.34,52.34
165,-127.99,-113.59,-127.99,-127.99
166,1254789.63,11111111.11,11111111.11,1254789.63
167,171.43,-55.68,171.43,171.43
168,-42.56,-78.27,-42.56,-42.56
169,-70.31,-158.26,-70.31,-70.31
170,-112.77,11111111.11,-112.77,-112.77
171,1254789.63,11111111.11,11111111.11,1254789.63
172,1254789.63,11111111.11,11111111.11,1254789.63
173,-21.17,-5.75,-21.17,-21.17
174,45.29,51.76,45.29,45.29
175,76.58,43.38,76.58,76.58
176,-14.11,-17.1,-14.11,-14.11
177,-20.25,13.7,-20.25,-20.25
178,116.06,-23.89,116.06,116.06
179,-74.53,17.48,-74.53,-74.53
180,0.0,-51.34,0.0,0.0
181,0.0,41.38,0.0,0.0
182,0.0,-26.98,0.0,0.0
183,0.0,-59.7,0.0,0.0
184,-74.02,-47.24,-74.02,-74.02
185,-27.47,60.49,-27.47,-27.47
186,387.97,175.44,387.97,387.97
187,-0.66,-26.26,-0.66,-0.66
188,-63.83,-98.82,-63.83,-63.83
189,86.26,3370.59,86.26,86.26
190,-30.1,-85.74,-30.1,-30.1
191,188.79,1296.59,188.79,188.79
192,18.63,-35.34,18.63,18.63
193,-32.14,131.59,-32.14,-32.14
194,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
196,0.0,-90.97,0.0,0.0
197,0.0,362.85,0.0,0.0
198,0.0,-26.89,0.0,0.0
199,40.71,388.17,40.71,40.71
200,-2.64,-10.52,-2.64,-2.64
201,-8.47,-0.13,-8.47,-8.47
202,58.69,53.72,58.69,58.69
203,6.42,2.18,6.42,6.42
204,26.32,20.59,26.32,26.32
205,-10.06,3.01,-10.06,-10.06
206,58.26,46.78,58.26,58.26
207,-30.13,-18.21,-30.13,-30.13
208,-96.61,-96.83,-96.61,-96.61
209,-745.27,-648.21,-745.27,-745.27
210,1254789.63,11111111.11,11111111.11,1254789.63
211,1254789.63,11111111.11,11111111.11,1254789.63
212,1254789.63,11111111.11,11111111.11,1254789.63
213,1254789.63,11111111.11,11111111.11,1254789.63
214,-2143.17,-2176.89,-2143.17,-2143.17
215,1254789.63,11111111.11,11111111.11,1254789.63
216,1254789.63,11111111.11,11111111.11,1254789.63
217,1254789.63,11111111.11,11111111.11,1254789.63
