,Unnamed: 0,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,한계기업
11,11,(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,1.0
27,27,(주)HJ중공업,97230,11-Dec,0.34,0.55,0.55,1.0
36,36,(주)MH에탄올,23150,11-Dec,1.5,0.12,0.12,1.0
84,84,(주)ST,11810,14-Dec,0.53,0.76,0.76,1.0
93,93,(주)TCC스틸,2710,14-Dec,1.31,0.02,0.02,1.0
110,110,(주)강스템바이오텍,217730,17-Dec,-7.93,-8.15,-8.15,1.0
129,129,(주)강원에너지,114190,18-Dec,0.35,0.2,0.2,1.0
138,138,(주)갤럭시아에스엠,11420,18-Dec,-102.12,-157.86,-157.86,1.0
211,211,(주)골드앤에스,35290,14-Dec,-1.73,-1.41,-1.41,1.0
221,221,(주)골드퍼시픽,38530,15-Dec,-13.68,-9.59,-9.59,1.0
245,245,(주)광림,14200,16-Dec,0.16,0.16,0.16,1.0
249,249,(주)광명전기,17040,11-Dec,1.57,0.38,0.38,1.0
260,260,(주)광무,29480,13-Dec,-4.26,-8.2,-8.2,1.0
295,295,(주)국보,1140,12-Dec,0.51,0.64,0.64,1.0
318,318,(주)국순당,43650,17-Dec,77777777.77,-12.28,-12.28,1.0
321,321,(주)국영지앤엠,6050,11-Dec,-170.81,77777777.77,-170.81,1.0
392,392,(주)기산텔레콤,35460,11-Dec,-5.27,-3.73,-3.73,1.0
403,403,(주)까뮤이앤씨,13700,13-Dec,-0.14,77777777.77,-0.14,1.0
414,414,(주)나노,187790,17-Dec,1.5,0.96,0.96,1.0
429,429,(주)나노엔텍,39860,13-Dec,1.02,-0.44,-0.44,1.0
450,450,(주)나이벡,138610,13-Dec,-5.06,77777777.77,-5.06,1.0
489,489,(주)남성,4270,13-Dec,0.96,0.39,0.39,1.0
500,500,(주)내츄럴엔도텍,168330,17-Dec,-1.94,-1.96,-1.96,1.0
507,507,(주)네오리진,94860,15-Dec,-19.24,77777777.77,-19.24,1.0
569,569,(주)네이처셀,7390,12-Dec,-0.67,77777777.77,-0.67,1.0
581,581,(주)네패스,33640,15-Dec,4.96,0.42,0.42,1.0
618,618,(주)넥스트엔터테인먼트월드,160550,19-Dec,-1.09,-3.05,-3.05,1.0
622,622,(주)넥슨게임즈,225570,18-Dec,-236.72,77777777.77,-236.72,1.0
624,624,(주)넵튠,217270,15-Dec,-3.35,77777777.77,-3.35,1.0
657,657,(주)노블엠앤비,106520,17-Dec,-4.65,-4.91,-4.91,1.0
674,674,(주)녹십자엠에스,142280,18-Dec,-5.39,-6.18,-6.18,1.0
689,689,(주)녹원씨엔아이,65560,14-Dec,-5,-6.5,-6.5,1.0
716,716,(주)누리플랜,69140,14-Dec,-7.07,77777777.77,-7.07,1.0
722,722,(주)누리플렉스,40160,11-Dec,0.2,0.79,0.79,1.0
739,739,(주)뉴로스,126870,19-Dec,-3.23,-2.37,-2.37,1.0
740,740,(주)뉴보텍,60260,11-Dec,-4.5,77777777.77,-4.5,1.0
751,751,(주)뉴인텍,12340,13-Dec,-1.26,-1.14,-1.14,1.0
784,784,(주)다날,64260,13-Dec,21.19,0.79,0.79,1.0
