회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치
CMG제약,58820,Dec-11,3.53,1.98,-5.9,17.64,-2.02,56.4,41.83,-8.5,-8.28,2.37,3.61,-5.58,0.66,3.74,2.29,1.77,11.95,0.97,2.01,1.25,4.61,200.97,165.03,15.1,51.41,7.32,-46.08,-24.07,-213.61,66.05,46.14,56.18,602.31,42.33,33.95,17.88,35.59,28.23,71726.36,29216.43,202.26,35.85819316,12.72,19.56,25719.78
CMG제약,58820,Dec-12,-7.75,109.15,-4.12,207.08,75.17,-8.43,28.34,-40.97,-26.84,-9.96,-25.87,-15.78,0.39,4.09,1.75,1.71,7.83,0.66,0.93,0.52,0.81,693.49,649.98,68.81,80.77,0.18,-8.1,-12.71,-2066.51,55.32,77.32,82.49,323.41,21.5,44.68,6.27,7.33,70.6,69458.82,32002.75,426.18,0,0.47,1.66,2009.78
CMG제약,58820,Dec-13,0.7,-2.09,16.09,-18.89,55.1,25.51,38.7,1.45,0.74,1.4,3.88,0.52,0.36,3.3,2.02,2.03,6.2,0.51,1.26,0.48,1.25,694.71,610.74,394.63,14.11,0,-39.85,-13.51,0,87.63,60.08,68.34,282.72,11.23,12.37,12.09,14.12,58.5,66012.04,33789.62,411.12,77.91470318,12.51,34.29,51433.09
CMG제약,58820,Dec-14,3.6,3.86,74.3,-25.93,0.01,11.52,37.07,0.69,0.32,0.78,1.94,0.28,0.4,3,1.85,1.54,5.27,0.46,2.85,0.68,2.32,324.58,268.23,101.24,18.5,0.01,-17.73,-7.06,-29481.93,84.39,40.28,48.74,285.31,17.79,15.61,17.36,25.09,33.72,113899.65,48479.94,354.08,37.80253285,12.16,31.04,43056.95
CMG제약,58820,Dec-15,-32.22,-2.64,-5.37,-7.17,-4.48,18.85,36.26,-13.5,-7.62,-4.49,-9.51,-6.37,0.47,3.32,2.09,1.48,5.66,0.56,2.88,0.99,3.1,296.85,235.21,29,20.78,0.01,16.12,5.8,24988.83,82.8,36.82,46.47,254.69,18.91,17.2,20.77,31.32,30.82,114246.59,53386.77,362.39,0,7.63,15.96,27662.63
CMG제약,58820,Dec-16,303,96.31,-5.14,199.84,116.01,21.92,40.36,5.24,2.34,2.07,5.25,2.06,0.39,3.32,2.62,1.9,6.26,0.45,3.36,0.63,0.95,862.15,792.17,23.52,9.76,0,29.03,8.69,0,91.1,65.22,70.98,219.41,9.04,8.9,8.12,9.18,62.75,105508.06,53273.71,693.62,62.31075943,9.48,31.9,65742.88
CMG제약,58820,Dec-17,303,-1.27,-4.28,3.12,-3.13,25.98,43.43,6.83,2.85,1.41,3.75,2.57,0.38,3.29,2.94,2.51,6.55,0.42,3.86,0.52,1.18,746.28,673.66,34.9,11.87,0,22.67,6.34,0,89.39,66.92,74.13,215.55,11.11,10.61,9.73,11.24,64.2,80771.91,45146.7,547.84,84.86867526,12.51,33.01,68550.05
CMG제약,58820,Dec-18,303,4.39,6.71,0.18,6.16,20.05,45.6,12.16,6.01,2.29,5.15,5.42,0.45,3.29,3,2.98,8.93,0.49,4.53,0.61,1.37,957.86,856.94,158.5,10,0,13.63,2.84,0,90.91,63.65,71.14,414.65,8.17,9.09,10.54,11.76,63.71,71425.41,43924.83,515.22,106.251151,14.73,33.79,75890.32
CMG제약,58820,Dec-19,303,68.07,39.67,85.06,73.26,17.56,49.34,5.2,2.15,1.7,4.44,1.99,0.38,3.37,3.02,2.83,13.81,0.41,5.21,0.51,0.83,1618.07,1520.84,199.65,6.71,0,15.35,3.16,0,93.71,73.62,78.33,468.79,5.17,6.29,6.01,6.41,73.49,68915.04,44414.46,797.69,114.5992865,9.9,32.47,78976.14
DB하이텍,990,Dec-11,-0.75,-13.19,-7.89,-10.08,-22.6,-10.94,16.62,-17.74,-27.74,-3.34,-7.81,-7.59,0.43,5.87,5.9,0.7,20.51,1.56,0.59,1.87,-2.14,35.2,25.5,5.04,289.22,57.65,5.87,9.47,7.57,25.69,16.9,23.33,336.28,257.97,74.31,27.57,-14.97,-42.95,284943.29,596524.9,467.1,29.7816315,18.17,39.45,84860.76
