,매출액증가율,2,3
0,56.4,11111111.11,11111111.11
1,-8.43,-8.43,-8.43
2,25.51,25.02,25.51
3,11.52,11.96,11.52
4,18.85,18.85,18.85
5,21.92,21.92,21.92
6,25.98,25.98,25.98
7,20.05,20.05,20.05
8,17.56,17.56,17.56
9,-10.94,811.45,841.98
10,6.98,9.28,6.98
11,-16.42,-15.44,-16.42
12,14.98,14.98,14.98
13,17.42,17.42,17.42
14,15.98,15.98,15.98
15,-12.08,-12.08,-12.08
16,-1.54,-1.54,-1.54
17,20.64,20.64,20.64
18,-93.39,-94.84,-93.39
19,4.85,5.94,4.85
20,4.69,3.72,4.69
21,-24.13,-18.84,-24.13
22,-5.19,-0.81,-5.19
23,-18.65,-5.61,-18.65
24,4.25,6.57,4.25
25,-5.55,-15.62,-5.55
26,29.45,-8.88,29.45
27,-8.72,8018.6,6515.46
28,-11.83,-14.48,-11.83
29,-0.78,-2.7,-0.78
30,-0.36,-6.66,-0.36
31,23.61,13.47,23.61
32,-9.7,-5.52,-9.7
33,-12.83,-9.91,-12.83
34,-30.76,0.78,-30.76
35,-4.07,-8.08,-4.07
36,-18.64,-97.32,-97.25
37,33.46,5.28,33.46
38,4.07,1.78,4.07
39,-21.25,5.8,-21.25
40,2.86,2.86,2.86
41,-2.96,-2.96,-2.96
42,6.3,-1.28,6.3
43,40.05,-2.75,40.05
44,11.1,0.1,11.1
45,14.99,267.62,114.16
46,11.97,11.09,11.97
47,19.57,19.74,19.57
48,-0.43,-1.22,-0.43
49,-6.27,-5.77,-6.27
50,0.9,0.23,0.9
51,-13.87,-13.86,-13.87
52,-2.4,-2.12,-2.4
53,-23.28,-23.56,-23.28
54,18.47,54.79,52.9
55,4.64,4.67,4.64
56,-8.7,-8.63,-8.7
57,27.9,11.23,27.9
58,2.42,-6.3,2.42
59,-0.91,1.26,-0.91
60,-13.64,-5.88,-13.64
61,32.74,32.35,32.74
62,40.48,45.79,40.48
63,-8.7,-50.17,-97.42
64,18.12,18.12,11111111.11
65,-12.98,-12.98,11111111.11
66,20.92,20.92,11111111.11
67,7.15,7.15,11111111.11
68,-2.31,-2.31,11111111.11
69,-27.55,-27.55,11111111.11
70,-24.21,-24.21,11111111.11
71,45.38,45.38,11111111.11
72,10.91,-98.89,679.95
73,0.29,286.13,0.29
74,-5.54,1.24,-5.54
75,-1.52,-12.74,-1.52
76,3.89,10.04,3.89
77,-4.65,15.85,-4.65
78,-1.92,-24.45,-1.92
79,-7.08,-1.7,-7.08
80,7.91,51.07,7.91
81,47.5,37785.12,294.66
82,3.22,-1.36,3.22
83,-60.24,-53.97,-60.24
84,-33.27,-31.86,-33.27
85,-0.23,5.48,-0.23
86,5.48,7.59,5.48
87,4.87,8.87,4.87
88,-16.68,-16.65,-16.68
89,-2.12,-6.92,-2.12
90,11.61,-63.09,-65.03
91,-2.54,-3.58,-2.54
92,-0.1,-4.79,-0.1
93,3.63,-4.33,3.63
94,-4.47,-12.77,-4.47
95,-10.36,-9.38,-10.36
96,-11.94,5.21,-11.94
97,5.57,5.26,5.57
98,5.81,-3.41,5.81
