회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출채권 및 기타유동채권(*)(IFRS),매출액(수익)(*)(IFRS연결),매출채권 및 기타유동채권(*)(IFRS연결),장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기차입금(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기차입금(IFRS연결),자산(*)(IFRS),자산(*)(IFRS연결),차입금개별,차입금연결
(주)CMG제약,58820,Dec-10,11350419,5949004,11350419,5949004,2000000,1537477,46200,2000000,0,46200,26775627,26775627,3583677,2046200
(주)CMG제약,58820,Dec-11,17751704,9527407,17751704,9533102,0,2134049,2000000,0,0,2000000,27548539,27305198,4134049,2000000
(주)CMG제약,58820,Dec-12,16255389,9089645,16255389,9084190,0,2132612,0,0,100000,0,56988604,57108035,2132612,100000
(주)CMG제약,58820,Dec-13,20322140,11109760,20402140,11089670,0,0,0,0,0,0,55961620,55912563,0,0
(주)CMG제약,58820,Dec-14,22752584,13533700,22752584,13503998,0,0,0,0,5451,0,58127098,58068326,0,5451
(주)CMG제약,58820,Dec-15,27041894,12405117,27041894,12375263,0,0,0,0,6273,0,56591972,56532821,0,6273
(주)CMG제약,58820,Dec-16,32969825,12748287,32969825,12748287,0,0,0,0,0,0,110979867,110979867,0,0
(주)CMG제약,58820,Dec-17,41535588,15507312,41535588,15507312,0,0,0,0,0,0,109568153,109568153,0,0
(주)CMG제약,58820,Dec-18,49864782,17706490,49864782,17706490,0,0,0,0,0,0,114379880,114379880,0,0
(주)CMG제약,58820,Dec-19,58622681,21160960,58622681,21160960,0,0,0,0,0,0,192243166,192243166,0,0
(주)CMG제약,58820,Dec-20,64459891,19288734,,,0,0,0,,,,195355583,,0,0
(주)DB하이텍,990,Dec-10,593441908,96071548,620043034,105156980,760366029,5000152,0,760366029,5000152,0,1363686317,1381251114,765366181,765366181
(주)DB하이텍,990,Dec-11,534317238,73840975,552216245,82098705,0,5398045,685879000,0,5398046,685879000,1183957429,1199043869,691277045,691277046
(주)DB하이텍,990,Dec-12,583901597,84883852,590786488,79065967,214817416,5141640,447982000,214817416,5141640,447982000,1149069244,1157755031,667941056,667941056
(주)DB하이텍,990,Dec-13,493752028,92299026,493752028,92404499,276846544,6452198,378887000,276846544,6452198,378887000,1049494642,1058391832,662185742,662185742
(주)DB하이텍,990,Dec-14,567718224,115794373,567718224,115993237,391619824,7547468,259262000,391619824,7547468,259262000,1001959816,984876636,658429292,658429292
(주)DB하이텍,990,Dec-15,666594987,131059866,666594987,131429122,399748737,5218929,120707000,399748737,5218930,120707000,1005673854,984643712,525674666,525674667
(주)DB하이텍,990,Dec-16,773140180,144613839,773140180,144613838,282487037,15253525,124561870,282487037,15253525,124561870,1006370876,986788572,422302432,422302432
(주)DB하이텍,990,Dec-17,679737744,118807072,679737744,118554910,315595985,11286143,28689829,315595985,11286143,28689829,977575054,993950720,355571957,355571957
(주)DB하이텍,990,Dec-18,669279136,163315407,669279136,163236443,277380073,15890934,11717019,277380073,15890934,11717019,1050696487,1066533840,304988026,304988026
