회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(비교)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),당기순이익(손실)(비교)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,-1264488,-1264488,-1508282,-1508282
(주)CMG제약,058820,2012/12,-6892739,-6892739,-6660149,-6660149
(주)CMG제약,058820,2013/12,335258,335258,296181,296181
(주)CMG제약,058820,2014/12,171502,171502,158039,158039
(주)CMG제약,058820,2015/12,-3648668,-3648668,-3650091,-3650091
(주)CMG제약,058820,2016/12,1693463,788765,1727895,823197
(주)CMG제약,058820,2017/12,2834901,2834901,2834901,2834901
(주)CMG제약,058820,2018/12,6065026,6065026,6065026,6065026
(주)CMG제약,058820,2019/12,3051177,3051177,3051177,
(주)DB하이텍,000990,2011/12,-93084414,-93084414,-97946584,-97946584
(주)DB하이텍,000990,2012/12,-32121504,-32104639,-31341318,-31324452
(주)DB하이텍,000990,2013/12,-73243309,-73243309,-83046768,-83046768
(주)DB하이텍,000990,2014/12,-58319918,-58319918,-77008844,-77008844
(주)DB하이텍,000990,2015/12,127469869,127469869,126733352,126733352
(주)DB하이텍,000990,2016/12,88002359,88002359,88344018,88344018
(주)DB하이텍,000990,2017/12,74401732,74401732,110175089,110175089
(주)DB하이텍,000990,2018/12,95087399,95087399,86828768,86828768
(주)DB하이텍,000990,2019/12,121159865,121159865,104637012,104637012
(주)ES큐브,050120,2011/12,-2933429,-2933429,-4796438,-4796438
(주)ES큐브,050120,2012/12,516857,516857,-359216,-359216
(주)ES큐브,050120,2013/12,-14749080,-14749080,-16455910,-16455910
(주)ES큐브,050120,2014/12,-2412385,-2412385,-615409,-615409
(주)ES큐브,050120,2015/12,3610344,3610344,-2307159,-2307159
(주)ES큐브,050120,2016/12,17469014,17469014,21541047,21541047
(주)ES큐브,050120,2017/12,1218923,1218923,1737925,1737925
(주)ES큐브,050120,2018/12,-3836071,-3836071,-6121462,-6121462
(주)ES큐브,050120,2019/12,-12738710,-12738710,-13767748,-13767748
(주)HJ중공업,097230,2011/12,-116272000,-116272000,-96920000,-96920000
(주)HJ중공업,097230,2012/12,13082000,13082000,-53214000,-53214000
(주)HJ중공업,097230,2013/12,-212716000,-212716000,-190193000,-190193000
(주)HJ중공업,097230,2014/12,-225739000,-302120000,-299811000,-299811000
(주)HJ중공업,097230,2015/12,-260118000,-391450000,-260925000,-392257000
(주)HJ중공업,097230,2016/12,-334429000,-313377000,-334446000,-313395000
(주)HJ중공업,097230,2017/12,-299028000,-299028000,-277978000,-277978000
(주)HJ중공업,097230,2018/12,-963474000,-963474000,-1283647000,-1283647000
(주)HJ중공업,097230,2019/12,-73654000,-73654000,306169000,306169000
(주)MH에탄올,023150,2011/12,3351943,3351943,-4357312,-4357312
(주)MH에탄올,023150,2012/12,2571700,2571700,287369,287369
(주)MH에탄올,023150,2013/12,-11627211,-11627211,7028234,7028234
(주)MH에탄올,023150,2014/12,4618332,4618332,-203193,-203193
(주)MH에탄올,023150,2015/12,7744832,7744832,7778593,7778593
(주)MH에탄올,023150,2016/12,8134873,8134873,8144684,8144684
(주)MH에탄올,023150,2017/12,5903108,5903108,4308068,4308068
(주)MH에탄올,023150,2018/12,6553371,6553371,-12033428,-12033428
(주)MH에탄올,023150,2019/12,-5004935,-5004935,-7552043,-7552043
(주)SH에너지화학,002360,2011/12,3164441,3164441,1800972,1800972
(주)SH에너지화학,002360,2012/12,1079738,1079738,210854,210854
(주)SH에너지화학,002360,2013/12,4841817,4841817,4606872,4606872
(주)SH에너지화학,002360,2014/12,15569914,15569914,16733050,16733050
(주)SH에너지화학,002360,2015/12,12639344,12639344,12590617,12590617
(주)SH에너지화학,002360,2016/12,17574101,17574101,18028878,18028878
(주)SH에너지화학,002360,2017/12,8905104,8905104,9879057,9879057
(주)SH에너지화학,002360,2018/12,2766802,2766802,2033570,2033570
(주)SH에너지화학,002360,2019/12,-3151629,-3151629,-3090151,-3090151
(주)SIMPAC,009160,2011/12,21196377,21196377,24976613,24976613
(주)SIMPAC,009160,2012/12,22517068,22517068,19285856,
(주)SIMPAC,009160,2013/12,19196136,19196136,20043596,20043596
(주)SIMPAC,009160,2014/12,10218575,10218575,14312319,14312319
(주)SIMPAC,009160,2015/12,19448583,19448583,16449973,16449973
(주)SIMPAC,009160,2016/12,16444650,16444650,16183843,16183843
(주)SIMPAC,009160,2017/12,7133940,7133940,12895699,12895699
(주)SIMPAC,009160,2018/12,62381304,62381304,69198558,69198558
(주)SIMPAC,009160,2019/12,11507259,11507259,9487516,9487516
(주)SNT에너지,100840,2011/12,-4155767,-4155767,,
(주)SNT에너지,100840,2012/12,9087721,9087721,,
(주)SNT에너지,100840,2013/12,16189688,16189688,,
(주)SNT에너지,100840,2014/12,11264253,11264253,,
(주)SNT에너지,100840,2015/12,27029932,27029932,,
(주)SNT에너지,100840,2016/12,1659742,1659742,,
(주)SNT에너지,100840,2017/12,4581777,4581777,,
(주)SNT에너지,100840,2018/12,1825479,1917555,,1825479
(주)SNT에너지,100840,2019/12,14578960,14578960,15452273,15452273
(주)SNT홀딩스,036530,2011/12,5766277,5766277,87196578,87196578
(주)SNT홀딩스,036530,2012/12,9011145,9011145,63253909,63253909
(주)SNT홀딩스,036530,2013/12,8018313,8018313,53763061,53763061
(주)SNT홀딩스,036530,2014/12,6891599,6891599,66985248,66985248
(주)SNT홀딩스,036530,2015/12,27765789,27765789,116419931,116419931
(주)SNT홀딩스,036530,2016/12,6923176,6923176,10146568,10146568
(주)SNT홀딩스,036530,2017/12,4172419,4172419,25863066,25863066
(주)SNT홀딩스,036530,2018/12,6218079,6218079,73732317,73732317
(주)SNT홀딩스,036530,2019/12,9244252,9244252,124509305,124509305
(주)STX,011810,2011/12,84657000,84657000,222363000,222363000
(주)STX,011810,2012/12,-23863000,-23863000,-490928000,-490928000
(주)STX,011810,2013/12,-1646014000,-1646014000,-1595630000,-1595630000
(주)STX,011810,2014/12,334488000,386662000,380584000,380584000
(주)STX,011810,2015/12,-53449000,-53449000,-48982000,-48982000
(주)STX,011810,2016/12,-456150000,-456150000,-457446000,-457446000
(주)STX,011810,2017/12,336179000,336179000,334386000,334386000
(주)STX,011810,2018/12,5024000,5024000,9107000,9107000
(주)STX,011810,2019/12,-37142000,-37142000,-33218000,-33218000
(주)TCC스틸,002710,2011/12,6828699,6828699,4557868,4557868
(주)TCC스틸,002710,2012/12,4206491,4206491,124581,124581
(주)TCC스틸,002710,2013/12,391783,391783,-19955830,-19955830
(주)TCC스틸,002710,2014/12,1022624,1022624,-15813610,-15813610
(주)TCC스틸,002710,2015/12,-140083396,-140083396,-110218983,-110218983
(주)TCC스틸,002710,2016/12,15468493,12994711,16948843,14475061
(주)TCC스틸,002710,2017/12,-2328706,-2328706,1503708,1503708
(주)TCC스틸,002710,2018/12,7565000,7565000,9755131,9755131
(주)TCC스틸,002710,2019/12,1996130,1996130,5037267,5037267
(주)가비아,079940,2011/12,3262397,3262397,7014899,7014899
(주)가비아,079940,2012/12,5737877,5737877,9419144,9419144
(주)가비아,079940,2013/12,3786937,3786937,9505713,9505713
(주)가비아,079940,2014/12,3076978,3076978,6752737,6752737
(주)가비아,079940,2015/12,4288423,4288423,8530281,8530281
(주)가비아,079940,2016/12,3544032,3544032,10177685,10177685
(주)가비아,079940,2017/12,2493743,2493743,9669613,9669613
(주)가비아,079940,2018/12,2762732,2762732,15340647,15340647
(주)가비아,079940,2019/12,4654769,4654769,21102390,21102390
(주)강스템바이오텍,217730,2015/12,-5754141,-5754141,,
(주)강스템바이오텍,217730,2016/12,-8300375,-8300375,,-8300375
(주)강스템바이오텍,217730,2017/12,-10855842,-14938092,-11531949,-15614199
(주)강스템바이오텍,217730,2018/12,-13500909,-13500909,-14294032,-14294032
(주)강스템바이오텍,217730,2019/12,-25001590,-25001590,-26394472,-26394472
(주)강원랜드,035250,2011/12,393401121,393401121,381175313,381175313
(주)강원랜드,035250,2012/12,296503993,296503993,306228988,306228988
(주)강원랜드,035250,2013/12,293129468,293129468,297596347,297596347
(주)강원랜드,035250,2014/12,363815729,363815729,359348568,359348568
(주)강원랜드,035250,2015/12,430459518,430459518,441629101,441629101
(주)강원랜드,035250,2016/12,454998593,454998593,454533659,454533659
(주)강원랜드,035250,2017/12,437096330,437096330,437540507,437540507
(주)강원랜드,035250,2018/12,297320114,297320114,297236881,297236881
(주)강원랜드,035250,2019/12,335609508,335609508,334653892,334653892
(주)강원에너지,114190,2011/11,5754715,5754715,,
(주)강원에너지,114190,2012/12,8974549,8974549,,
(주)강원에너지,114190,2013/12,3922208,3922208,,
(주)강원에너지,114190,2014/12,1123194,1123194,,1123194
(주)강원에너지,114190,2015/12,885783,885783,102482,102482
