회사명,거래소코드,회계년도,당좌자산회전률(IFRS),당좌자산회전률(IFRS연결),순운전자본회전률(IFRS),순운전자본회전률(IFRS연결),당좌자산회전률,순운전자본회전률
(주)CMG제약,58820,2011/12,1.56,1.55,0.86,0.86,1.55,0.86
(주)CMG제약,58820,2012/12,0.57,0.57,0.42,0.42,0.57,0.42
(주)CMG제약,58820,2013/12,0.52,0.52,0.42,0.42,0.52,0.42
(주)CMG제약,58820,2014/12,0.8,0.8,0.56,0.56,0.8,0.56
(주)CMG제약,58820,2015/12,1.22,1.22,0.75,0.75,1.22,0.75
(주)CMG제약,58820,2016/12,0.71,0.71,0.54,0.54,0.71,0.54
(주)CMG제약,58820,2017/12,0.57,0.57,0.46,0.46,0.57,0.46
(주)CMG제약,58820,2018/12,0.68,0.68,0.55,0.55,0.68,0.55
(주)CMG제약,58820,2019/12,0.55,0.55,0.47,0.47,0.55,0.47
(주)DB하이텍,990,2011/12,2.62,2.54,0.71,0.72,2.54,0.72
(주)DB하이텍,990,2012/12,2.83,2.73,0.61,0.61,2.73,0.61
(주)DB하이텍,990,2013/12,2.64,2.6,0.63,0.63,2.6,0.63
(주)DB하이텍,990,2014/12,3.47,3.45,0.86,0.86,3.45,0.86
(주)DB하이텍,990,2015/12,3.12,3.08,1.11,1.11,3.08,1.11
(주)DB하이텍,990,2016/12,2.87,2.83,1.28,1.26,2.83,1.26
(주)DB하이텍,990,2017/12,2.42,2.38,1.21,1.19,2.38,1.19
(주)DB하이텍,990,2018/12,2.19,2.16,1.3,1.29,2.16,1.29
(주)DB하이텍,990,2019/12,2.28,2.26,1.37,1.36,2.26,1.36
(주)ES큐브,50120,2011/12,1.9,1.86,1.53,1.09,1.86,1.09
(주)ES큐브,50120,2012/12,2.63,3.13,2.08,2.03,3.13,2.03
(주)ES큐브,50120,2013/12,1.94,2.35,1.69,1.69,2.35,1.69
(주)ES큐브,50120,2014/12,1.4,1.23,1.24,0.94,1.23,0.94
(주)ES큐브,50120,2015/12,1.7,1.13,1.51,0.85,1.13,0.85
(주)ES큐브,50120,2016/12,1.07,0.88,0.96,0.68,0.88,0.68
(주)ES큐브,50120,2017/12,0.85,0.83,0.77,0.66,0.83,0.66
(주)ES큐브,50120,2018/12,0.86,0.86,0.54,0.49,0.86,0.49
(주)ES큐브,50120,2019/12,1.09,0.23,0.39,0.13,0.23,0.13
(주)HJ중공업,97230,2011/12,0.98,1.29,0.48,0.52,1.29,0.52
(주)HJ중공업,97230,2012/12,0.93,1.25,0.46,0.53,1.25,0.53
(주)HJ중공업,97230,2013/12,1.04,1.19,0.43,0.47,1.19,0.47
(주)HJ중공업,97230,2014/12,1.26,1.21,0.42,0.44,1.21,0.44
(주)HJ중공업,97230,2015/12,1.78,1.76,0.5,0.55,1.76,0.55
(주)HJ중공업,97230,2016/12,1.84,1.73,0.51,0.52,1.73,0.52
(주)HJ중공업,97230,2017/12,1.8,1.7,0.48,0.48,1.7,0.48
(주)HJ중공업,97230,2018/12,2.19,1.42,0.52,0.37,1.42,0.37
(주)HJ중공업,97230,2019/12,1.79,1.52,0.54,0.46,1.52,0.46
(주)MH에탄올,23150,2011/12,1.58,1.22,0.44,0.36,1.22,0.36
(주)MH에탄올,23150,2012/12,2.3,1.83,0.5,0.47,1.83,0.47
(주)MH에탄올,23150,2013/12,2.46,2.07,0.5,0.5,2.07,0.5
(주)MH에탄올,23150,2014/12,2.4,1.87,0.64,0.55,1.87,0.55
(주)MH에탄올,23150,2015/12,2.57,2.48,0.99,0.97,2.48,0.97
(주)MH에탄올,23150,2016/12,3.1,2.96,1.42,1.39,2.96,1.39
(주)MH에탄올,23150,2017/12,3.69,1.11,1.6,0.34,1.11,0.34
(주)MH에탄올,23150,2018/12,3.8,1.42,1.42,0.33,1.42,0.33
(주)MH에탄올,23150,2019/12,4.27,3.39,1.46,0.33,3.39,0.33
(주)SH에너지화학,2360,2011/12,4.87,4.8,2.32,2.27,4.8,2.27
