회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)CMG제약,58820,Dec-11,17751704,17751704
(주)CMG제약,58820,Dec-12,16255389,16255389
(주)CMG제약,58820,Dec-13,20322140,20402140
(주)CMG제약,58820,Dec-14,22752584,22752584
(주)CMG제약,58820,Dec-15,27041894,27041894
(주)CMG제약,58820,Dec-16,32969825,32969825
(주)CMG제약,58820,Dec-17,41535588,41535588
(주)CMG제약,58820,Dec-18,49864782,49864782
(주)CMG제약,58820,Dec-19,58622681,58622681
(주)DB하이텍,990,Dec-11,534317238,552216245
(주)DB하이텍,990,Dec-12,583901597,590786488
(주)DB하이텍,990,Dec-13,493752028,493752028
(주)DB하이텍,990,Dec-14,567718224,567718224
(주)DB하이텍,990,Dec-15,666594987,666594987
(주)DB하이텍,990,Dec-16,773140180,773140180
(주)DB하이텍,990,Dec-17,679737744,679737744
(주)DB하이텍,990,Dec-18,669279136,669279136
(주)DB하이텍,990,Dec-19,807416423,807416423
(주)ES큐브,50120,Dec-11,41700477,53379952
(주)ES큐브,50120,Dec-12,44178050,55971147
(주)ES큐브,50120,Dec-13,45823196,58597361
(주)ES큐브,50120,Dec-14,37188072,44459581
(주)ES큐브,50120,Dec-15,36887119,42152967
(주)ES큐브,50120,Dec-16,34818205,34289385
(주)ES큐브,50120,Dec-17,37104908,35745794
(주)ES큐브,50120,Dec-18,31308873,33763508
(주)ES큐브,50120,Dec-19,28527284,43708239
(주)HJ중공업,97230,Dec-11,2316017000,2891499000
(주)HJ중공업,97230,Dec-12,1980761000,2549319000
(주)HJ중공업,97230,Dec-13,1927307000,2529341000
(주)HJ중공업,97230,Dec-14,1799016000,2520325000
(주)HJ중공업,97230,Dec-15,2041347000,3115473000
(주)HJ중공업,97230,Dec-16,1928591000,2813271000
(주)HJ중공업,97230,Dec-17,1737428000,2452314000
(주)HJ중공업,97230,Dec-18,1750954000,1697869000
(주)HJ중공업,97230,Dec-19,1609530000,1628751000
(주)MH에탄올,23150,Dec-11,43206995,44785159
(주)MH에탄올,23150,Dec-12,45488675,59768175
(주)MH에탄올,23150,Dec-13,46298516,62199887
(주)MH에탄올,23150,Dec-14,48983781,48983781
(주)MH에탄올,23150,Dec-15,50386203,50386203
(주)MH에탄올,23150,Dec-16,48897025,48897025
(주)MH에탄올,23150,Dec-17,48270464,51977132
(주)MH에탄올,23150,Dec-18,46943080,72795863
(주)MH에탄올,23150,Dec-19,46992295,80879342
(주)SH에너지화학,2360,Dec-11,172752632,173209351
(주)SH에너지화학,2360,Dec-12,191907628,193950102
(주)SH에너지화학,2360,Dec-13,229783541,231912218
