회사명,거래소코드,회계년도,매출총이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)CMG제약,058820,2010/12,3132792,11350419,3132792,11350419
(주)CMG제약,058820,2011/12,7425905,17751704,7425905,17751704
(주)CMG제약,058820,2012/12,4606698,16255389,4606698,16255389
(주)CMG제약,058820,2013/12,7815323,20322140,7895323,20402140
(주)CMG제약,058820,2014/12,8434535,22752584,8434535,22752584
(주)CMG제약,058820,2015/12,9804080,27041894,9804080,27041894
(주)CMG제약,058820,2016/12,13306436,32969825,13306436,32969825
(주)CMG제약,058820,2017/12,18038036,41535588,18038036,41535588
(주)CMG제약,058820,2018/12,22739941,49864782,22739941,49864782
(주)CMG제약,058820,2019/12,28922631,58622681,28922631,58622681
(주)DB하이텍,000990,2010/12,-133820652,593441908,-133770371,620043034
(주)DB하이텍,000990,2011/12,91177205,534317238,91775299,552216245
(주)DB하이텍,000990,2012/12,96948164,583901597,96783431,590786488
(주)DB하이텍,000990,2013/12,89251311,493752028,89251311,493752028
(주)DB하이텍,000990,2014/12,136904849,567718224,136904849,567718224
(주)DB하이텍,000990,2015/12,229679471,666594987,229679471,666594987
(주)DB하이텍,000990,2016/12,290010241,773140180,290010241,773140180
(주)DB하이텍,000990,2017/12,253567151,679737744,253567151,679737744
(주)DB하이텍,000990,2018/12,215336382,669279136,215336382,669279136
(주)DB하이텍,000990,2019/12,294123786,807416423,294123786,807416423
(주)ES큐브,050120,2010/12,7600306,34640205,10920473,43887335
(주)ES큐브,050120,2011/12,12595638,41700477,14903181,53379952
(주)ES큐브,050120,2012/12,12526752,44178050,15680606,55971147
(주)ES큐브,050120,2013/12,11799851,45823196,14508692,58597361
(주)ES큐브,050120,2014/12,6614115,37188072,9523040,44459581
(주)ES큐브,050120,2015/12,6151477,36887119,11719961,42152967
(주)ES큐브,050120,2016/12,6349317,34818205,9834937,34289385
(주)ES큐브,050120,2017/12,6607652,37104908,9687855,35745794
(주)ES큐브,050120,2018/12,5615038,31308873,7727451,33763508
(주)ES큐브,050120,2019/12,5818867,28527284,8197448,43708239
(주)HJ중공업,097230,2010/12,297918000,2734440000,325985000,3167774000
