회사명,거래소코드,회계년도,유형자산(*)(IFRS),유형자산(*)(IFRS연결),건설중인자산(IFRS),건설중인자산(IFRS연결),기계장치(IFRS),기계장치(IFRS연결),자산(*)(IFRS),자산(*)(IFRS연결),매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),합계_기말인원,부가가치(IFRS),부가가치(IFRS연결)
(주)CMG제약,58820,Dec-10,10316860,10316860,20000,20000,4008773,4008773,26775627,26775627,11350419,11350419,129,796710,771120
(주)CMG제약,58820,Dec-11,9652599,9707759,24700,24700,3944218,3944218,27548539,27305198,17751704,17751704,135,3669250,3472170
(주)CMG제약,58820,Dec-12,9264142,9307482,0,0,4288368,4288368,56988604,57108035,16255389,16255389,134,-88040,269310
(주)CMG제약,58820,Dec-13,10805092,10805092,1827454,1827454,4595388,4595388,55961620,55912563,20322140,20402140,136,6952080,6994900
(주)CMG제약,58820,Dec-14,18833775,18833775,154233,154233,7950710,7950710,58127098,58068326,22752584,22752584,164,7065040,7061340
(주)CMG제약,58820,Dec-15,17822468,17822468,0,0,8328336,8328336,56591972,56532821,27041894,27041894,156,4316800,4315370
(주)CMG제약,58820,Dec-16,16905814,16905814,24524,24524,8523793,8523793,110979867,110979867,32969825,32969825,160,10518860,10518860
(주)CMG제약,58820,Dec-17,16182518,16182518,28136,28136,9029339,9029339,109568153,109568153,41535588,41535588,200,13710010,13710010
(주)CMG제약,58820,Dec-18,17268535,17268535,1412095,1412095,9751312,9751312,114379880,114379880,49864782,49864782,222,16847650,16847650
(주)CMG제약,58820,Dec-19,24119403,24119403,7510880,7510879,10703886,10703886,192243166,192243166,58622681,58622681,241,19033250,19033250
(주)CMG제약,58820,Dec-20,29740814,,14014539,,11010897,,195355583,,64459891,,237,17019700,0
(주)DB하이텍,990,Dec-10,823347589,823918082,29608000,29608000,1487235589,1487236082,1363686317,1381251114,593441908,620043034,2436,353780470,377761650
(주)DB하이텍,990,Dec-11,758179817,758902417,27453000,27453000,1531278817,1531279417,1183957429,1199043869,534317238,552216245,2567,216914000,217837570
(주)DB하이텍,990,Dec-12,684941380,685389046,22706000,22706000,1456050000,1456050000,1149069244,1157755031,583901597,590786488,2304,241800390,245655230
(주)DB하이텍,990,Dec-13,635765049,636040366,36099000,36099000,1462150000,1462150000,1049494642,1058391832,493752028,493752028,2142,198528800,191554480
(주)DB하이텍,990,Dec-14,591653498,591787281,41973000,41972000,1475386000,1475386000,1001959816,984876636,567718224,567718224,1999,207672460,187341510
(주)DB하이텍,990,Dec-15,533113708,533140340,44837000,44837000,1550672000,1550672000,1005673854,984643712,666594987,666594987,2004,382610360,386127300
(주)DB하이텍,990,Dec-16,547687840,547700934,50562000,50562000,1630540000,1630540000,1006370876,986788572,773140180,773140180,2047,336460470,341049100
(주)DB하이텍,990,Dec-17,555556192,555566835,42348000,42348000,1684434000,1684434000,977575054,993950720,679737744,679737744,1940,292737250,329388040
(주)DB하이텍,990,Dec-18,597563521,597570491,100033000,100033000,1713452000,1713452491,1050696487,1066533840,669279136,669279136,1955,316543960,309084250
(주)DB하이텍,990,Dec-19,616562743,616573800,61122000,61122000,1822084743,1822085000,1089400761,1088889810,807416423,807416423,1979,394709630,379212500
(주)DB하이텍,990,Dec-20,674676417,674684075,104005000,104005000,1895436417,1895436075,1179256936,1178581197,935919766,935919766,2012,482506070,483956340
(주)ES큐브,50120,Dec-10,1595923,3374904,0,0,1063,973824,47829486,49189060,34640205,43887335,197,5782160,11100780
(주)ES큐브,50120,Dec-11,1407274,4313834,0,0,720,835643,45233434,55477032,41700477,53379952,237,7961630,12044170
(주)ES큐브,50120,Dec-12,1395951,3181598,0,0,492,693268,44676182,46281660,44178050,55971147,236,11617330,17991740
(주)ES큐브,50120,Dec-13,914811,2177498,0,0,186,428855,47509654,47137573,45823196,58597361,100,-5722540,1434390
(주)ES큐브,50120,Dec-14,640405,2299195,0,0,0,533831,44914173,56611836,37188072,44459581,27,1481400,5773000
(주)ES큐브,50120,Dec-15,596347,1968118,0,0,0,305943,47123684,55620280,36887119,42152967,39,6263140,2670290
(주)ES큐브,50120,Dec-16,4673186,7063781,0,0,0,167403,104459992,105164626,34818205,34289385,30,20160010,26875030
(주)ES큐브,50120,Dec-17,7506218,11623688,0,0,0,411066,104850192,105892131,37104908,35745794,35,4476070,7493340
(주)ES큐브,50120,Dec-18,10880733,15202081,0,0,0,362241,108481764,112430896,31308873,33763508,30,177010,1165560
(주)ES큐브,50120,Dec-19,10576512,17333381,0,0,0,337131,136065488,463958680,28527284,43708239,30,-6558670,-557970
(주)ES큐브,50120,Dec-20,553920,29329873,0,352179,0,289975,81995388,714889745,30293088,80672425,24,-23593210,3768250
(주)HJ중공업,97230,Dec-10,1448655000,3193218000,2359000,18570000,106868000,486410000,6323071000,7525363000,2734440000,3167774000,3473,461997000,548737000
(주)HJ중공업,97230,Dec-11,1427510000,3144355000,5016000,19784000,98801000,500193000,5857119000,7036680000,2316017000,2891499000,2785,364032000,494018000
(주)HJ중공업,97230,Dec-12,1343556000,2901480000,13655000,55437000,98606000,481476000,5938108000,6585093000,1980761000,2549319000,2634,488043000,543885000
(주)HJ중공업,97230,Dec-13,1329680000,2808246000,22403000,24325000,99298000,493709000,5839633000,6683379000,1927307000,2529341000,2758,213438000,358044000
(주)HJ중공업,97230,Dec-14,1263266000,2703561000,41086000,54901000,98168000,506693000,5469810000,6470284000,1799016000,2520325000,2544,241189000,291365000
(주)HJ중공업,97230,Dec-15,1223488000,2735463000,36388000,43452000,101523000,557825000,4638381000,5914637000,2041347000,3115473000,2632,171017000,292787000
(주)HJ중공업,97230,Dec-16,1036188000,2404052000,45263000,54116000,94949000,582148000,3921561000,5256464000,1928591000,2813271000,2473,77014000,221273000
(주)HJ중공업,97230,Dec-17,653140000,1792322000,1828000,6573000,68795000,506543000,3312303000,4206655000,1737428000,2452314000,2493,62839000,171765000
(주)HJ중공업,97230,Dec-18,636673000,638765000,2227000,2227000,67790000,67790000,2388369000,2733620000,1750954000,1697869000,2271,-664773000,390449000
(주)HJ중공업,97230,Dec-19,613082000,615117000,1800000,1800000,68832000,68832000,2465650000,2470222000,1609530000,1628751000,2016,291962000,333185000
(주)HJ중공업,97230,Dec-20,594119000,596098000,3115000,3115000,68931000,68931000,2189125000,2193855000,1694634000,1695815000,1944,289620000,292475000
(주)MH에탄올,23150,Dec-10,36075258,73133795,49125,266142,9822298,14042960,127603795,134869380,43304589,55048463,53,13747510,13425580
(주)MH에탄올,23150,Dec-11,35172601,75265905,0,58210,9897298,13957369,135927085,134206851,43206995,44785159,51,12156150,8741250
(주)MH에탄올,23150,Dec-12,34423174,71841895,0,0,10017098,13629527,139200817,134385813,45488675,59768175,52,11475930,15364390
(주)MH에탄올,23150,Dec-13,34123721,70410722,69000,69000,10102098,13778632,122520742,129697936,46298516,62199887,51,-10099690,13050090
(주)MH에탄올,23150,Dec-14,36083178,36083190,486096,486096,11481026,11481026,85253876,85534839,48983781,48983781,53,11030530,11295120
(주)MH에탄올,23150,Dec-15,36846498,36846510,268000,268000,12377510,12377510,78691328,78996052,50386203,50386203,47,16452870,16454850
