회사명,거래소코드,회계년도,유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS연결)(천원),건설중인자산(IFRS)(천원),합계_기말인원(명),기계장치(IFRS연결)(천원),기계장치(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),부가가치(IFRS연결)(백만원),부가가치(IFRS)(백만원),매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),부가가치(IFRS연결)(천원),부가가치(IFRS)(천원)
(주)CMG제약,58820,Dec-11,9707759,9652599,24700,24700,135,3944218,3944218,27305198,27548539,3472.17,3669.25,17751704,17751704,3472170,3669250
(주)CMG제약,58820,Dec-12,9307482,9264142,0,0,134,4288368,4288368,57108035,56988604,269.31,-88.04,16255389,16255389,269310,-88040
(주)CMG제약,58820,Dec-13,10805092,10805092,1827454,1827454,136,4595388,4595388,55912563,55961620,6994.9,6952.08,20402140,20322140,6994900,6952080
(주)CMG제약,58820,Dec-14,18833775,18833775,154233,154233,164,7950710,7950710,58068326,58127098,7061.34,7065.04,22752584,22752584,7061340,7065040
(주)CMG제약,58820,Dec-15,17822468,17822468,0,0,156,8328336,8328336,56532821,56591972,4315.37,4316.8,27041894,27041894,4315370,4316800
(주)CMG제약,58820,Dec-16,16905814,16905814,24524,24524,160,8523793,8523793,110979867,110979867,10518.86,10518.86,32969825,32969825,10518860,10518860
(주)CMG제약,58820,Dec-17,16182518,16182518,28136,28136,200,9029339,9029339,109568153,109568153,13710.01,13710.01,41535588,41535588,13710010,13710010
(주)CMG제약,58820,Dec-18,17268535,17268535,1412095,1412095,222,9751312,9751312,114379880,114379880,16847.65,16847.65,49864782,49864782,16847650,16847650
(주)CMG제약,58820,Dec-19,24119403,24119403,7510879,7510880,241,10703886,10703886,192243166,192243166,19033.25,19033.25,58622681,58622681,19033250,19033250
(주)DB하이텍,990,Dec-11,758902417,758179817,27453000,27453000,2567,1531279417,1531278817,1199043869,1183957429,217837.57,216914,552216245,534317238,217837570,216914000
(주)DB하이텍,990,Dec-12,685389046,684941380,22706000,22706000,2304,1456050000,1456050000,1157755031,1149069244,245655.23,241800.39,590786488,583901597,245655230,241800390
(주)DB하이텍,990,Dec-13,636040366,635765049,36099000,36099000,2142,1462150000,1462150000,1058391832,1049494642,191554.48,198528.8,493752028,493752028,191554480,198528800
(주)DB하이텍,990,Dec-14,591787281,591653498,41972000,41973000,1999,1475386000,1475386000,984876636,1001959816,187341.51,207672.46,567718224,567718224,187341510,207672460
(주)DB하이텍,990,Dec-15,533140340,533113708,44837000,44837000,2004,1550672000,1550672000,984643712,1005673854,386127.3,382610.36,666594987,666594987,386127300,382610360
(주)DB하이텍,990,Dec-16,547700934,547687840,50562000,50562000,2047,1630540000,1630540000,986788572,1006370876,341049.1,336460.47,773140180,773140180,341049100,336460470
(주)DB하이텍,990,Dec-17,555566835,555556192,42348000,42348000,1940,1684434000,1684434000,993950720,977575054,329388.04,292737.25,679737744,679737744,329388040,292737250
(주)DB하이텍,990,Dec-18,597570491,597563521,100033000,100033000,1955,1713452491,1713452000,1066533840,1050696487,309084.25,316543.96,669279136,669279136,309084250,316543960
(주)DB하이텍,990,Dec-19,616573800,616562743,61122000,61122000,1979,1822085000,1822084743,1088889810,1089400761,379212.5,394709.63,807416423,807416423,379212500,394709630
(주)ES큐브,50120,Dec-11,4313834,1407274,0,0,237,835643,720,55477032,45233434,12044.17,7961.63,53379952,41700477,12044170,7961630
(주)ES큐브,50120,Dec-12,3181598,1395951,0,0,236,693268,492,46281660,44676182,17991.74,11617.33,55971147,44178050,17991740,11617330
(주)ES큐브,50120,Dec-13,2177498,914811,0,0,100,428855,186,47137573,47509654,1434.39,-5722.54,58597361,45823196,1434390,-5722540
(주)ES큐브,50120,Dec-14,2299195,640405,0,0,27,533831,0,56611836,44914173,5773,1481.4,44459581,37188072,5773000,1481400
(주)ES큐브,50120,Dec-15,1968118,596347,0,0,39,305943,0,55620280,47123684,2670.29,6263.14,42152967,36887119,2670290,6263140
(주)ES큐브,50120,Dec-16,7063781,4673186,0,0,30,167403,0,105164626,104459992,26875.03,20160.01,34289385,34818205,26875030,20160010
(주)ES큐브,50120,Dec-17,11623688,7506218,0,0,35,411066,0,105892131,104850192,7493.34,4476.07,35745794,37104908,7493340,4476070
(주)ES큐브,50120,Dec-18,15202081,10880733,0,0,30,362241,0,112430896,108481764,1165.56,177.01,33763508,31308873,1165560,177010
(주)ES큐브,50120,Dec-19,17333381,10576512,0,0,30,337131,0,463958680,136065488,-557.97,-6558.67,43708239,28527284,-557970,-6558670
(주)HJ중공업,97230,Dec-11,3144355000,1427510000,19784000,5016000,2785,500193000,98801000,7036680000,5857119000,494018,364032,2891499000,2316017000,494018000,364032000
(주)HJ중공업,97230,Dec-12,2901480000,1343556000,55437000,13655000,2634,481476000,98606000,6585093000,5938108000,543885,488043,2549319000,1980761000,543885000,488043000
(주)HJ중공업,97230,Dec-13,2808246000,1329680000,24325000,22403000,2758,493709000,99298000,6683379000,5839633000,358044,213438,2529341000,1927307000,358044000,213438000
(주)HJ중공업,97230,Dec-14,2703561000,1263266000,54901000,41086000,2544,506693000,98168000,6470284000,5469810000,291365,241189,2520325000,1799016000,291365000,241189000
(주)HJ중공업,97230,Dec-15,2735463000,1223488000,43452000,36388000,2632,557825000,101523000,5914637000,4638381000,292787,171017,3115473000,2041347000,292787000,171017000
(주)HJ중공업,97230,Dec-16,2404052000,1036188000,54116000,45263000,2473,582148000,94949000,5256464000,3921561000,221273,77014,2813271000,1928591000,221273000,77014000
(주)HJ중공업,97230,Dec-17,1792322000,653140000,6573000,1828000,2493,506543000,68795000,4206655000,3312303000,171765,62839,2452314000,1737428000,171765000,62839000
(주)HJ중공업,97230,Dec-18,638765000,636673000,2227000,2227000,2271,67790000,67790000,2733620000,2388369000,390449,-664773,1697869000,1750954000,390449000,-664773000
(주)HJ중공업,97230,Dec-19,615117000,613082000,1800000,1800000,2016,68832000,68832000,2470222000,2465650000,333185,291962,1628751000,1609530000,333185000,291962000
(주)MH에탄올,23150,Dec-11,75265905,35172601,58210,0,51,13957369,9897298,134206851,135927085,8741.25,12156.15,44785159,43206995,8741250,12156150
(주)MH에탄올,23150,Dec-12,71841895,34423174,0,0,52,13629527,10017098,134385813,139200817,15364.39,11475.93,59768175,45488675,15364390,11475930
(주)MH에탄올,23150,Dec-13,70410722,34123721,69000,69000,51,13778632,10102098,129697936,122520742,13050.09,-10099.69,62199887,46298516,13050090,-10099690
(주)MH에탄올,23150,Dec-14,36083190,36083178,486096,486096,53,11481026,11481026,85534839,85253876,11295.12,11030.53,48983781,48983781,11295120,11030530
(주)MH에탄올,23150,Dec-15,36846510,36846498,268000,268000,47,12377510,12377510,78996052,78691328,16454.85,16452.87,50386203,50386203,16454850,16452870
(주)MH에탄올,23150,Dec-16,37390804,37390792,402993,402993,43,12494639,12494639,72339673,72025138,17091.29,16882.88,48897025,48897025,17091290,16882880
(주)MH에탄올,23150,Dec-17,389268406,39418503,333000,333000,48,13336059,13336060,500180086,107437079,14202.61,14882.33,51977132,48270464,14202610,14882330
(주)MH에탄올,23150,Dec-18,390589052,40585694,650107,51500,50,13588329,13588330,440177523,109656889,16853.56,16047.25,72795863,46943080,16853560,16047250
(주)MH에탄올,23150,Dec-19,402623574,41121323,1085121,150000,47,14155129,14155129,451474451,101058662,22570.7,5096.55,80879342,46992295,22570700,5096550
(주)SH에너지화학,2360,Dec-11,33220422,33115306,1175202,1175202,109,25479087,25479087,104710740,102383199,14210,14221.3,173209351,172752632,14210000,14221300
(주)SH에너지화학,2360,Dec-12,32784916,32608108,711970,711970,112,27068753,27068753,103690070,102492810,14518.25,13164.14,193950102,191907628,14518250,13164140
(주)SH에너지화학,2360,Dec-13,32065097,31944570,828543,828543,116,27909031,27909031,110488951,109984767,20836.07,18725.38,231912218,229783541,20836070,18725380
(주)SH에너지화학,2360,Dec-14,31132703,31070401,715481,715481,140,28351425,28351425,110741407,109098264,37108.64,33796.55,230912587,226971465,37108640,33796550
(주)SH에너지화학,2360,Dec-15,32660706,32654731,373549,373550,146,30587094,30587094,115520726,114048206,36388.74,34895.57,216441364,213882181,36388740,34895570
(주)SH에너지화학,2360,Dec-16,31796198,31792327,466709,466709,148,30867878,30867877,124488724,122956894,40893.43,39411.54,218397677,214380015,40893430,39411540
(주)SH에너지화학,2360,Dec-17,31096409,30956708,392095,392095,148,31647086,31647086,125312154,123261552,29127.7,27260.32,188114822,184672638,29127700,27260320
(주)SH에너지화학,2360,Dec-18,30043406,29913044,492857,492857,156,31839773,31839773,122434685,120895795,19920.85,19849.37,183598766,180753289,19920850,19849370
(주)SH에너지화학,2360,Dec-19,33194337,33126165,2268097,2268097,158,33882924,33882924,123415832,121126250,13705.14,12959.9,140852575,138161816,13705140,12959900
(주)SIMPAC,9160,Dec-11,72940322,62702218,1103192,1103192,257,18666167,18666167,310879328,296953131,53726.56,47745.41,215365697,213867522,53726560,47745410
(주)SIMPAC,9160,Dec-12,74000157,64182764,0,0,275,22387797,22387797,318665505,307366684,43772.07,45503.45,225353321,223854758,43772070,45503450
(주)SIMPAC,9160,Dec-13,73711642,64271295,0,0,277,24742321,24742321,361985890,349836891,46115.44,44116.55,205751154,204527751,46115440,44116550
(주)SIMPAC,9160,Dec-14,169381419,70604838,2307507,2307507,305,45051844,26089830,381939281,329325876,51704.11,35041.8,263152264,227491803,51704110,35041800
(주)SIMPAC,9160,Dec-15,180973199,75847152,5215137,5215137,296,49564682,29948323,422833445,369348917,59958.15,48511.4,269528038,213152303,59958150,48511400
(주)SIMPAC,9160,Dec-16,178694040,75130388,2600,2600,306,55929435,36313076,417865468,366245273,59093.1,45818.17,267074156,215839356,59093100,45818170
(주)SIMPAC,9160,Dec-17,172659787,70402759,2600,2600,305,55792892,36327651,381158251,343005145,43282.91,33411.91,230634812,203150228,43282910,33411910
(주)SIMPAC,9160,Dec-18,357331367,156312739,301000,301000,500,128448700,109088328,681750819,628334175,114254.96,94742.34,306150809,268863854,114254960,94742340
(주)SIMPAC,9160,Dec-19,263608239,153003014,1303450,1250250,491,126428214,107745959,679145850,608693104,65475.48,50726.3,430085162,391970769,65475480,50726300
(주)SNT에너지,100840,Dec-11,,122586108,,31000,184,,15414466,,276511841,,-5072.93,,195318747,0,-5072930
(주)SNT에너지,100840,Dec-12,,122289502,,0,195,,16128417,,292802033,,-3911.2,,230707564,0,-3911200
(주)SNT에너지,100840,Dec-13,,120367341,,0,209,,14694527,,311675279,,36145.24,,200750984,0,36145240
(주)SNT에너지,100840,Dec-14,,120065551,,75369,218,,15671342,,304511816,,31921.1,,242746888,0,31921100
(주)SNT에너지,100840,Dec-15,,118714558,,0,232,,14376480,,316196096,,53697.45,,260094045,0,53697450
(주)SNT에너지,100840,Dec-16,,118148046,,0,218,,14801750,,348042346,,21049.19,,254089906,0,21049190
(주)SNT에너지,100840,Dec-17,,116825424,,0,195,,15079150,,300266693,,22693.15,,184091945,0,22693150
(주)SNT에너지,100840,Dec-18,,115728393,,237174,190,,15107344,,280991534,,16995.59,,139516396,0,16995590
(주)SNT에너지,100840,Dec-19,123257799,116275557,739889,739889,191,2354165,1438868,333897235,331391237,36695.84,34093.55,213326726,202822913,36695840,34093550
(주)SNT홀딩스,36530,Dec-11,989038851,150611,16444584,0,9,124938376,0,2124828265,388123974,316126.05,-3092.48,1663846065,2257851,316126050,-3092480
(주)SNT홀딩스,36530,Dec-12,984180010,100263,6983785,0,9,128580882,0,2074903906,388964716,289200.16,10002.42,1668749904,8718270,289200160,10002420
(주)SNT홀딩스,36530,Dec-13,986231198,54602,8825589,0,8,132324383,0,2149176237,397336142,287320.84,8821.66,1576368464,8826810,287320840,8821660
(주)SNT홀딩스,36530,Dec-14,933346465,75419,24955195,0,8,118523741,0,2039388864,399244416,280175.76,7483.38,1552374806,7701882,280175760,7483380
(주)SNT홀딩스,36530,Dec-15,928315887,55309,18812799,0,8,421584082,0,2169311305,430584006,383575.56,36674.24,1612746929,8475099,383575560,36674240
(주)SNT홀딩스,36530,Dec-16,908800105,35654,11797205,0,8,398988190,0,2210178425,427001710,230370.32,6611.38,1537700275,9818190,230370320,6611380
(주)SNT홀딩스,36530,Dec-17,880843802,19895,6653359,0,7,407324218,0,2146174938,425435423,220383.89,4405.14,1508152132,7417869,220383890,4405140
(주)SNT홀딩스,36530,Dec-18,869282994,2888,14610465,0,10,404203037,0,2113834573,422804813,283495.5,6864.34,1401307482,7292112,283495500,6864340
(주)SNT홀딩스,36530,Dec-19,871104106,59663,23474134,0,10,410419723,0,2236679025,417172874,320323.23,10601.11,1512114565,11015928,320323230,10601110
(주)STX,11810,Dec-11,818420000,72801000,27862000,0,392,508781000,0,5234175000,3302248000,524043,236828,5967701000,4173397000,524043000,236828000
(주)STX,11810,Dec-12,1044547000,69598000,201250000,0,375,540064000,0,5067029000,3226878000,-139686,92155,6159850000,4116767000,-139686000,92155000
(주)STX,11810,Dec-13,215510000,62152000,0,0,177,143453000,0,1342520000,1086567000,-1245149,-1518511,2449401000,1895063000,-1245149000,-1518511000
(주)STX,11810,Dec-14,108080000,57120000,0,0,124,4402000,0,1255002000,1070433000,505161,390447,1634606000,1291351000,505161000,390447000
(주)STX,11810,Dec-15,101700000,53714000,125000,0,127,4402000,0,1267224000,1057543000,79567,-7212,1630827000,1362127000,79567000,-7212000
(주)STX,11810,Dec-16,73715000,30798000,234000,0,120,33000,0,707709000,627686000,-345167,-408612,1720153000,1465561000,-345167000,-408612000
(주)STX,11810,Dec-17,70760000,29631000,364000,0,119,3684000,0,627542000,520393000,416114,366717,1803878000,1595494000,416114000,366717000
(주)STX,11810,Dec-18,74249000,28464000,16000,0,110,3676000,0,554061000,446758000,83521,28236,1502985000,1329890000,83521000,28236000
(주)STX,11810,Dec-19,90288000,43245000,69000,0,116,3834000,0,560107000,462734000,51064,-15090,1471164000,1237876000,51064000,-15090000
(주)TCC스틸,2710,Dec-11,84444856,75283350,1119494,1119494,315,62501678,51927686,454329510,407743559,50799.6,47387.55,514424043,456928069,50799600,47387550
(주)TCC스틸,2710,Dec-12,143845835,71554979,16963339,743100,319,82266123,54333787,547013976,438642951,49856.28,44247.81,501337475,440568155,49856280,44247810
(주)TCC스틸,2710,Dec-13,156557380,71255687,4938140,0,311,101223221,59805178,543708595,444204925,40058.31,37086.29,500832754,419483813,40058310,37086290
(주)TCC스틸,2710,Dec-14,151621286,68743151,3997004,0,306,106593093,62490884,551000563,461297588,66638.24,38278.43,518995240,401323585,66638240,38278430
(주)TCC스틸,2710,Dec-15,71859909,50635593,0,0,281,77061586,64663749,376394571,330651742,46811.29,-113808.25,495795871,350074629,46811290,-113808250
(주)TCC스틸,2710,Dec-16,64693517,43730610,101346,101346,277,72966967,60524036,282914735,250878191,81464.7,53606.1,444453635,317235565,81464700,53606100
(주)TCC스틸,2710,Dec-17,58943990,45541678,19800,19800,283,78686241,66209010,278692540,248896237,61493.36,30346.26,391370092,333762378,61493360,30346260
(주)TCC스틸,2710,Dec-18,55878504,43204124,306250,306250,277,75812276,63748365,304781579,268135677,75995.51,44068.24,413176279,351301866,75995510,44068240
(주)TCC스틸,2710,Dec-19,59322335,47129444,2512043,2512043,275,81021563,68773022,314210087,270265082,74428.93,42215.18,437173902,339334364,74428930,42215180
(주)가비아,79940,Dec-11,22149161,7163470,0,0,191,1398205,0,64954440,37295822,25788.11,15017.54,52838864,33792831,25788110,15017540
(주)가비아,79940,Dec-12,37833915,23749485,0,0,211,0,0,85244515,51795749,31058.09,17319.4,69058144,38482449,31058090,17319400
(주)가비아,79940,Dec-13,37047584,22732962,0,0,228,0,0,91231294,52151784,32828.8,16859.32,70675565,40507693,32828800,16859320
(주)가비아,79940,Dec-14,37099200,22313113,0,0,247,0,0,98544072,55984243,34179.94,19430.85,80432047,43906243,34179940,19430850
(주)가비아,79940,Dec-15,36916970,22210592,0,0,262,0,0,105081568,57657418,41698.24,22440.14,91648622,48446932,41698240,22440140
(주)가비아,79940,Dec-16,43221838,22429866,0,0,268,0,0,125796754,61160981,45412.89,23132.9,102178978,49430564,45412890,23132900
(주)가비아,79940,Dec-17,45452326,22362004,579154,435654,275,0,0,133382584,64986436,48683,22812.97,116217941,52365659,48683000,22812970
(주)가비아,79940,Dec-18,49107084,24425180,3862712,1738220,280,0,0,151440505,69315988,62241.08,24805.77,128728438,55197652,62241080,24805770
(주)가비아,79940,Dec-19,85359914,39724951,21744142,9795289,277,0,0,199916131,82964911,133089.93,29591.96,148306878,58254105,133089930,29591960
(주)강스템바이오텍,217730,Dec-15,,2980005,,0,62,,0,,24982626,,-2880.72,,1484593,0,-2880720
(주)강스템바이오텍,217730,Dec-16,,4039297,,1068262,79,,0,,47441769,,-5090.69,,842805,0,-5090690
(주)강스템바이오텍,217730,Dec-17,13229478,12480829,7327062,7327062,75,0,0,47198979,44508729,-646.49,-2123.85,9132939,5394323,-646490,-2123850
(주)강스템바이오텍,217730,Dec-18,15140205,14220013,9547126,9547126,89,0,0,73194018,66184838,-3330.3,-5971.99,9165454,1001039,-3330300,-5971990
(주)강스템바이오텍,217730,Dec-19,31219524,22738650,25963956,18450622,102,0,0,113643697,98625925,-13446.01,-16534.36,6004584,282069,-13446010,-16534360
(주)강원랜드,35250,Dec-11,1312308962,1302068954,111936204,110537110,3145,392104627,390705277,2711401782,2730283806,778291.81,783195.28,1265686425,1263651213,778291810,783195280
(주)강원랜드,35250,Dec-12,1357670542,1334113267,34660762,22045367,3184,453309474,451841848,2906655321,2915385756,712817.68,693820.93,1296191223,1292896121,712817680,693820930
(주)강원랜드,35250,Dec-13,1385719165,1327018456,70878212,25757113,3657,476102882,474572756,3102036846,3105430200,837925.02,824512.27,1361286598,1356906162,837925020,824512270
(주)강원랜드,35250,Dec-14,1387584592,1284798892,72921157,41557550,3591,481401114,475738420,3375127289,3380461682,904075.49,899930.11,1496541441,1492291312,904075490,899930110
(주)강원랜드,35250,Dec-15,1353560925,1253601276,63789006,32826352,3620,493032951,487744949,3690791830,3688060027,1021274.04,1001297.65,1633716839,1630976696,1021274040,1001297650
(주)강원랜드,35250,Dec-16,1315715882,1254129261,52323443,52323443,3629,496003933,490715931,3978987574,3975979890,1043222,1037898.56,1696532511,1694575212,1043222000,1037898560
(주)강원랜드,35250,Dec-17,1297980610,1253403658,93200856,93200856,3693,505944287,500656285,4185657487,4182527382,1000137.64,1011578.3,1604470055,1602901764,1000137640,1011578300
(주)강원랜드,35250,Dec-18,1314038393,1299058388,29571131,29571131,5194,197980873,197540429,4231241354,4229630541,833429.97,846353.62,1438059299,1436042435,833429970,846353620
(주)강원랜드,35250,Dec-19,1370568026,1353732478,37071729,36221457,5147,569705642,564417639,4438119306,4436461953,908009,906619.21,1520080449,1517612252,908009000,906619210
