회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,27548539,27305198,9652599,9707759,15264885,15341167,18290915,18034249
(주)CMG제약,058820,2012/12,56988604,57108035,9264142,9307482,47073443,47109213,31602540,31590685
(주)CMG제약,058820,2013/12,55961620,55912563,10805092,10805092,38258866,38209699,49048213,48997281
(주)CMG제약,058820,2014/12,58127098,58068326,18833775,18833775,28359823,28300941,49067039,49002644
(주)CMG제약,058820,2015/12,56591972,56532821,17822468,17822468,26330765,26271614,46872705,46806888
(주)CMG제약,058820,2016/12,110979867,110979867,16905814,16905814,78772201,78772201,101107635,101107635
(주)CMG제약,058820,2017/12,109568153,109568153,16182518,16182518,81227330,81227330,97944019,97944019
(주)CMG제약,058820,2018/12,114379880,114379880,17268535,17268535,81370415,81370415,103981846,103981846
(주)CMG제약,058820,2019/12,192243166,192243166,24119403,24119403,150584066,150584066,180158283,180158283
(주)DB하이텍,000990,2011/12,1183957429,1199043869,758179817,758902417,265976810,279725559,291709498,308061688
(주)DB하이텍,000990,2012/12,1149069244,1157755031,684941380,685389046,303296307,309144147,274553219,290893335
(주)DB하이텍,000990,2013/12,1049494642,1058391832,635765049,636040366,222316934,222960700,197287466,204756748
(주)DB하이텍,000990,2014/12,1001959816,984876636,591653498,591787281,246306720,247582371,136104062,120702734
(주)DB하이텍,000990,2015/12,1005673854,984643712,533113708,533140340,334045125,337757266,277662952,254057491
(주)DB하이텍,000990,2016/12,1006370876,986788572,547687840,547700934,364126852,368924211,364450453,341917315
(주)DB하이텍,000990,2017/12,977575054,993950720,555556192,555566835,348507961,353662841,441546809,455797946
(주)DB하이텍,000990,2018/12,1050696487,1066533840,597563521,597570491,380098326,383378937,542557222,558391531
(주)DB하이텍,000990,2019/12,1089400761,1088889810,616562743,616573800,422531166,426263421,645305205,644650730
(주)ES큐브,050120,2011/12,45233434,55477032,1407274,4313834,18786276,34078195,39144414,39245830
(주)ES큐브,050120,2012/12,44676182,46281660,1395951,3181598,15631243,22707006,39881477,39859681
(주)ES큐브,050120,2013/12,47509654,47137573,914811,2177498,32518902,38357211,43712820,42372440
(주)ES큐브,050120,2014/12,44914173,56611836,640405,2299195,21477612,46214758,41226335,49628091
(주)ES큐브,050120,2015/12,47123684,55620280,596347,1968118,22590313,41180599,44872641,49654460
