회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),재고자산(*)(IFRS),재고자산(*)(IFRS연결)
(주)CMG제약,58820,Dec-10,26775627,26775627,10316860,10316860,13041215,13041215,18405116,18405116,2782759,2782759
(주)CMG제약,58820,Dec-11,27548539,27305198,9652599,9707759,15264885,15341167,18290915,18034249,2743103,2743103
(주)CMG제약,58820,Dec-12,56988604,57108035,9264142,9307482,47073443,47109213,31602540,31590685,2955172,2955172
(주)CMG제약,58820,Dec-13,55961620,55912563,10805092,10805092,38258866,38209699,49048213,48997281,4618718,4618718
(주)CMG제약,58820,Dec-14,58127098,58068326,18833775,18833775,28359823,28300941,49067039,49002644,4913103,4913103
(주)CMG제약,58820,Dec-15,56591972,56532821,17822468,17822468,26330765,26271614,46872705,46806888,5455617,5455617
(주)CMG제약,58820,Dec-16,110979867,110979867,16905814,16905814,78772201,78772201,101107635,101107635,6393756,6393756
(주)CMG제약,58820,Dec-17,109568153,109568153,16182518,16182518,81227330,81227330,97944019,97944019,7904518,7904518
(주)CMG제약,58820,Dec-18,114379880,114379880,17268535,17268535,81370415,81370415,103981846,103981846,8572582,8572582
(주)CMG제약,58820,Dec-19,192243166,192243166,24119403,24119403,150584066,150584066,180158283,180158283,9048933,9048933
(주)CMG제약,58820,Dec-20,195355583,,29740814,,145981120,,181131004,,15046934,
(주)DB하이텍,990,Dec-10,1363686317,1381251114,823347589,823918082,298797846,311090151,376915607,398016157,79723938,79723938
(주)DB하이텍,990,Dec-11,1183957429,1199043869,758179817,758902417,265976810,279725559,291709498,308061688,77112663,77112663
(주)DB하이텍,990,Dec-12,1149069244,1157755031,684941380,685389046,303296307,309144147,274553219,290893335,79262392,79262392
(주)DB하이텍,990,Dec-13,1049494642,1058391832,635765049,636040366,222316934,222960700,197287466,204756748,72377687,72377687
(주)DB하이텍,990,Dec-14,1001959816,984876636,591653498,591787281,246306720,247582371,136104062,120702734,69179569,69179569
(주)DB하이텍,990,Dec-15,1005673854,984643712,533113708,533140340,334045125,337757266,277662952,254057491,83459568,83459568
(주)DB하이텍,990,Dec-16,1006370876,986788572,547687840,547700934,364126852,368924211,364450453,341917315,76344778,76344778
(주)DB하이텍,990,Dec-17,977575054,993950720,555556192,555566835,348507961,353662841,441546809,455797946,75018890,75018890
(주)DB하이텍,990,Dec-18,1050696487,1066533840,597563521,597570491,380098326,383378937,542557222,558391531,42891649,42891649
(주)DB하이텍,990,Dec-19,1089400761,1088889810,616562743,616573800,422531166,426263421,645305205,644650730,51837841,51837841
