회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),영업이익(개별),영업이익(연결),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원)
(주)CMG제약,58820,11-Dec,17751704,10325799,17751704,10325799,-1264488,-1508282,714950,640282,18290915,18034249,27548539,27305198
(주)CMG제약,58820,12-Dec,16255389,11648690,16255389,11648690,-6892739,-6660149,-4045140,-4205504,31602540,31590685,56988604,57108035
(주)CMG제약,58820,13-Dec,20322140,12506817,20402140,12506817,335258,296181,822547,791250,49048213,48997281,55961620,55912563
(주)CMG제약,58820,14-Dec,22752584,14318048,22752584,14318048,171502,158039,446017,442322,49067039,49002644,58127098,58068326
(주)CMG제약,58820,15-Dec,27041894,17237814,27041894,17237814,-3648668,-3650091,-2570878,-2572169,46872705,46806888,56591972,56532821
(주)CMG제약,58820,16-Dec,32969825,19663389,32969825,19663389,1693463,1727895,1730753,1730753,101107635,101107635,110979867,110979867
(주)CMG제약,58820,17-Dec,41535588,23497552,41535588,23497552,2834901,2834901,1558607,1558607,97944019,97944019,109568153,109568153
(주)CMG제약,58820,18-Dec,49864782,27124841,49864782,27124841,6065026,6065026,2567820,2567820,103981846,103981846,114379880,114379880
(주)CMG제약,58820,19-Dec,58622681,29700050,58622681,29700050,3051177,3051177,2603774,2603774,180158283,180158283,192243166,192243166
(주)DB하이텍,990,11-Dec,534317238,443140034,552216245,460440945,-93084414,-97946584,-39983672,-43150444,291709498,308061688,1183957429,1199043869
(주)DB하이텍,990,12-Dec,583901597,486953432,590786488,494003057,-32121504,-31341318,-14429658,-15621631,274553219,290893335,1149069244,1157755031
(주)DB하이텍,990,13-Dec,493752028,404500718,493752028,404500718,-73243309,-83046768,-9392980,-9610612,197287466,204756748,1049494642,1058391832
(주)DB하이텍,990,14-Dec,567718224,430813375,567718224,430813375,-58319918,-77008844,45310506,45560248,136104062,120702734,1001959816,984876636
(주)DB하이텍,990,15-Dec,666594987,436915515,666594987,436915515,127469869,126733352,124372823,124968815,277662952,254057491,1005673854,984643712
(주)DB하이텍,990,16-Dec,773140180,483129939,773140180,483129939,88002359,88344018,171787648,172427930,364450453,341917315,1006370876,986788572
(주)DB하이텍,990,17-Dec,679737744,426170592,679737744,426170592,74401732,110175089,142353689,143195167,441546809,455797946,977575054,993950720
(주)DB하이텍,990,18-Dec,669279136,453942755,669279136,453942755,95087399,86828768,112884303,112993143,542557222,558391531,1050696487,1066533840
(주)DB하이텍,990,19-Dec,807416423,513292637,807416423,513292637,121159865,104637012,181155872,181292188,645305205,644650730,1089400761,1088889810
(주)ES큐브,50120,11-Dec,41700477,29104839,53379952,38476771,-2933429,-4796438,-2080143,-3650245,39144414,39245830,45233434,55477032
(주)ES큐브,50120,12-Dec,44178050,31651298,55971147,40290541,516857,-359216,645839,89337,39881477,39859681,44676182,46281660
(주)ES큐브,50120,13-Dec,45823196,34023346,58597361,44088670,-14749080,-16455910,217137,-1164610,43712820,42372440,47509654,47137573
(주)ES큐브,50120,14-Dec,37188072,30573957,44459581,34936541,-2412385,-615409,325908,171090,41226335,49628091,44914173,56611836
(주)ES큐브,50120,15-Dec,36887119,30735643,42152967,30433006,3610344,-2307159,2370570,-4060427,44872641,49654460,47123684,55620280
(주)ES큐브,50120,16-Dec,34818205,28468888,34289385,24454448,17469014,21541047,2359528,2161042,69832373,71696122,104459992,105164626
(주)ES큐브,50120,17-Dec,37104908,30497256,35745794,26057940,1218923,1737925,2170102,2248520,71398467,72816880,104850192,105892131
(주)ES큐브,50120,18-Dec,31308873,25693835,33763508,26036057,-3836071,-6121462,691469,-1211129,66518631,70748607,108481764,112430896
(주)ES큐브,50120,19-Dec,28527284,22708418,43708239,35510791,-12738710,-13767748,587700,-2617071,53986331,74038512,136065488,463958680
(주)HJ중공업,97230,11-Dec,2316017000,2156842000,2891499000,2664558000,-116272000,-96920000,59453000,107974000,1874877000,1866848000,5857119000,7036680000
(주)HJ중공업,97230,12-Dec,1980761000,1833445000,2549319000,2358260000,13082000,-53214000,28591000,52914000,1863529000,1715516000,5938108000,6585093000
