회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),당기순이익(손실)(IFRS),당기순이익(손실)(IFRS연결),자본(*)(IFRS),자본(*)(IFRS연결),자산(*)(IFRS),자산(*)(IFRS연결),영업이익개별,영업이익연결
(주)CMG제약,58820,Dec-10,11350419,11350419,8217627,8217627,-6945220,-6945220,18405116,18405116,26775627,26775627,-7537070,-7537070
(주)CMG제약,58820,Dec-11,17751704,17751704,10325799,10325799,-1264488,-1508282,18290915,18034249,27548539,27305198,714950,640282
(주)CMG제약,58820,Dec-12,16255389,16255389,11648690,11648690,-6892739,-6660149,31602540,31590685,56988604,57108035,-4045139,-4205503
(주)CMG제약,58820,Dec-13,20322140,20402140,12506817,12506817,335258,296181,49048213,48997281,55961620,55912563,822547,791250
(주)CMG제약,58820,Dec-14,22752584,22752584,14318048,14318048,171502,158039,49067039,49002644,58127098,58068326,446018,442323
(주)CMG제약,58820,Dec-15,27041894,27041894,17237814,17237814,-3648668,-3650091,46872705,46806888,56591972,56532821,-2570878,-2572169
(주)CMG제약,58820,Dec-16,32969825,32969825,19663389,19663389,1693463,1727895,101107635,101107635,110979867,110979867,1730753,1730753
(주)CMG제약,58820,Dec-17,41535588,41535588,23497552,23497552,2834901,2834901,97944019,97944019,109568153,109568153,1558607,1558607
(주)CMG제약,58820,Dec-18,49864782,49864782,27124841,27124841,6065026,6065026,103981846,103981846,114379880,114379880,2567820,2567820
(주)CMG제약,58820,Dec-19,58622681,58622681,29700050,29700050,3051177,3051177,180158283,180158283,192243166,192243166,2603774,2603774
(주)CMG제약,58820,Dec-20,64459891,,33249439,,214996,,181131004,,195355583,,1822365,0
(주)DB하이텍,990,Dec-10,593441908,620043034,727262560,753813405,-204814784,-191152903,376915607,398016157,1363686317,1381251114,-362804082,-378471909
(주)DB하이텍,990,Dec-11,534317238,552216245,443140034,460440945,-93084414,-97946584,291709498,308061688,1183957429,1199043869,-39983673,-43150443
(주)DB하이텍,990,Dec-12,583901597,590786488,486953432,494003057,-32121504,-31341318,274553219,290893335,1149069244,1157755031,-14429657,-15621631
(주)DB하이텍,990,Dec-13,493752028,493752028,404500718,404500718,-73243309,-83046768,197287466,204756748,1049494642,1058391832,-9392981,-9610613
(주)DB하이텍,990,Dec-14,567718224,567718224,430813375,430813375,-58319918,-77008844,136104062,120702734,1001959816,984876636,45310506,45560248
(주)DB하이텍,990,Dec-15,666594987,666594987,436915515,436915515,127469869,126733352,277662952,254057491,1005673854,984643712,124372824,124968816
(주)DB하이텍,990,Dec-16,773140180,773140180,483129939,483129939,88002359,88344018,364450453,341917315,1006370876,986788572,171787648,172427930
(주)DB하이텍,990,Dec-17,679737744,679737744,426170592,426170592,74401732,110175089,441546809,455797946,977575054,993950720,142353690,143195168
(주)DB하이텍,990,Dec-18,669279136,669279136,453942755,453942755,95087399,86828768,542557222,558391531,1050696487,1066533840,112884302,112993142
(주)DB하이텍,990,Dec-19,807416423,807416423,513292637,513292637,121159865,104637012,645305205,644650730,1089400761,1088889810,181155872,181292188
(주)DB하이텍,990,Dec-20,935919766,935919766,577034944,577034944,165657642,166025591,795236817,794584513,1179256936,1178581197,239188804,239335180
(주)ES큐브,50120,Dec-10,34640205,43887335,27039899,32966862,-2165930,-1632071,42087960,42621100,47829486,49189060,577543,-533613
(주)ES큐브,50120,Dec-11,41700477,53379952,29104839,38476771,-2933429,-4796438,39144414,39245830,45233434,55477032,-2080143,-3650245
(주)ES큐브,50120,Dec-12,44178050,55971147,31651298,40290541,516857,-359216,39881477,39859681,44676182,46281660,645839,89337
(주)ES큐브,50120,Dec-13,45823196,58597361,34023346,44088670,-14749080,-16455910,43712820,42372440,47509654,47137573,217136,-1164611
