,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결
0,(주)CMG제약,58820,Dec-11,-1264488,-1508282,,
1,(주)CMG제약,58820,Dec-12,-6892739,-6660149,11111111.11,11111111.11
2,(주)CMG제약,58820,Dec-13,335258,296181,11111111.11,11111111.11
3,(주)CMG제약,58820,Dec-14,171502,158039,-48.84,-46.64
4,(주)CMG제약,58820,Dec-15,-3648668,-3650091,-2227.48,-2409.61
5,(주)CMG제약,58820,Dec-16,1693463,1727895,11111111.11,11111111.11
6,(주)CMG제약,58820,Dec-17,2834901,2834901,67.4,64.07
7,(주)CMG제약,58820,Dec-18,6065026,6065026,113.94,113.94
8,(주)CMG제약,58820,Dec-19,3051177,3051177,-49.69,-49.69
9,(주)DB하이텍,990,Dec-11,-93084414,-97946584,-3150.77,-3310.12
10,(주)DB하이텍,990,Dec-12,-32121504,-31341318,11111111.11,11111111.11
11,(주)DB하이텍,990,Dec-13,-73243309,-83046768,11111111.11,11111111.11
12,(주)DB하이텍,990,Dec-14,-58319918,-77008844,11111111.11,11111111.11
13,(주)DB하이텍,990,Dec-15,127469869,126733352,11111111.11,11111111.11
14,(주)DB하이텍,990,Dec-16,88002359,88344018,-30.96,-30.29
15,(주)DB하이텍,990,Dec-17,74401732,110175089,-15.45,24.71
16,(주)DB하이텍,990,Dec-18,95087399,86828768,27.8,-21.19
17,(주)DB하이텍,990,Dec-19,121159865,104637012,27.42,20.51
18,(주)ES큐브,50120,Dec-11,-2933429,-4796438,-102.42,-104.58
19,(주)ES큐브,50120,Dec-12,516857,-359216,11111111.11,11111111.11
20,(주)ES큐브,50120,Dec-13,-14749080,-16455910,-2953.61,11111111.11
21,(주)ES큐브,50120,Dec-14,-2412385,-615409,11111111.11,11111111.11
22,(주)ES큐브,50120,Dec-15,3610344,-2307159,11111111.11,11111111.11
23,(주)ES큐브,50120,Dec-16,17469014,21541047,383.86,11111111.11
24,(주)ES큐브,50120,Dec-17,1218923,1737925,-93.02,-91.93
25,(주)ES큐브,50120,Dec-18,-3836071,-6121462,-414.71,-452.23
26,(주)ES큐브,50120,Dec-19,-12738710,-13767748,11111111.11,11111111.11
27,(주)HJ중공업,97230,Dec-11,-116272000,-96920000,11111111.11,11111111.11
28,(주)HJ중공업,97230,Dec-12,13082000,-53214000,11111111.11,11111111.11
29,(주)HJ중공업,97230,Dec-13,-212716000,-190193000,-1726.02,11111111.11
30,(주)HJ중공업,97230,Dec-14,-225739000,-299811000,11111111.11,11111111.11
31,(주)HJ중공업,97230,Dec-15,-260118000,-260925000,11111111.11,11111111.11
32,(주)HJ중공업,97230,Dec-16,-334429000,-334446000,11111111.11,11111111.11
33,(주)HJ중공업,97230,Dec-17,-299028000,-277978000,11111111.11,11111111.11
34,(주)HJ중공업,97230,Dec-18,-963474000,-1283647000,11111111.11,11111111.11
35,(주)HJ중공업,97230,Dec-19,-73654000,306169000,11111111.11,11111111.11
36,(주)MH에탄올,23150,Dec-11,3351943,-4357312,11111111.11,-101.42
37,(주)MH에탄올,23150,Dec-12,2571700,287369,-23.28,11111111.11
38,(주)MH에탄올,23150,Dec-13,-11627211,7028234,-552.12,2345.72
39,(주)MH에탄올,23150,Dec-14,4618332,-203193,11111111.11,-102.89
40,(주)MH에탄올,23150,Dec-15,7744832,7778593,67.7,11111111.11
41,(주)MH에탄올,23150,Dec-16,8134873,8144684,5.04,4.71
42,(주)MH에탄올,23150,Dec-17,5903108,4308068,-27.43,-47.11
43,(주)MH에탄올,23150,Dec-18,6553371,-12033428,11.02,-379.32
44,(주)MH에탄올,23150,Dec-19,-5004935,-7552043,-176.37,11111111.11
45,(주)SH에너지화학,2360,Dec-11,3164441,1800972,11111111.11,11111111.11
46,(주)SH에너지화학,2360,Dec-12,1079738,210854,-65.88,-88.29
47,(주)SH에너지화학,2360,Dec-13,4841817,4606872,348.43,2084.86
48,(주)SH에너지화학,2360,Dec-14,15569914,16733050,221.57,263.22
49,(주)SH에너지화학,2360,Dec-15,12639344,12590617,-18.82,-24.76
50,(주)SH에너지화학,2360,Dec-16,17574101,18028878,39.04,43.19
51,(주)SH에너지화학,2360,Dec-17,8905104,9879057,-49.33,-45.2
52,(주)SH에너지화학,2360,Dec-18,2766802,2033570,-68.93,-79.42
53,(주)SH에너지화학,2360,Dec-19,-3151629,-3090151,-213.91,-251.96
54,(주)SIMPAC,9160,Dec-11,21196377,24976613,11111111.11,11111111.11
55,(주)SIMPAC,9160,Dec-12,22517068,19285856,6.23,-22.78
56,(주)SIMPAC,9160,Dec-13,19196136,20043596,-14.75,3.93
57,(주)SIMPAC,9160,Dec-14,10218575,14312319,-46.77,-28.59
58,(주)SIMPAC,9160,Dec-15,19448583,16449973,90.33,14.94
59,(주)SIMPAC,9160,Dec-16,16444650,16183843,-15.45,-1.62
60,(주)SIMPAC,9160,Dec-17,7133940,12895699,-56.62,-20.32
61,(주)SIMPAC,9160,Dec-18,62381304,69198558,774.43,436.6
62,(주)SIMPAC,9160,Dec-19,11507259,9487516,-81.55,-86.29
63,(주)SNT에너지,100840,Dec-11,-4155767,11111111.11,-136.11,17.11
64,(주)SNT에너지,100840,Dec-12,9087721,11111111.11,11111111.11,0
65,(주)SNT에너지,100840,Dec-13,16189688,11111111.11,78.15,0
66,(주)SNT에너지,100840,Dec-14,11264253,11111111.11,-30.42,0
67,(주)SNT에너지,100840,Dec-15,27029932,11111111.11,139.96,0
68,(주)SNT에너지,100840,Dec-16,1659742,11111111.11,-93.86,0
69,(주)SNT에너지,100840,Dec-17,4581777,11111111.11,176.05,0
70,(주)SNT에너지,100840,Dec-18,1825479,11111111.11,-60.16,0
71,(주)SNT에너지,100840,Dec-19,14578960,15452273,698.64,39.07
72,(주)SNT홀딩스,36530,Dec-11,5766277,87196578,-60.45,464.3
73,(주)SNT홀딩스,36530,Dec-12,9011145,63253909,56.27,-27.46
74,(주)SNT홀딩스,36530,Dec-13,8018313,53763061,-11.02,-15
75,(주)SNT홀딩스,36530,Dec-14,6891599,66985248,-14.05,24.59
76,(주)SNT홀딩스,36530,Dec-15,27765789,116419931,302.89,73.8
77,(주)SNT홀딩스,36530,Dec-16,6923176,10146568,-75.07,-91.28
78,(주)SNT홀딩스,36530,Dec-17,4172419,25863066,-39.73,154.89
79,(주)SNT홀딩스,36530,Dec-18,6218079,73732317,49.03,185.09
80,(주)SNT홀딩스,36530,Dec-19,9244252,124509305,48.67,68.87
81,(주)STX,11810,Dec-11,84657000,222363000,815.78,78.59
82,(주)STX,11810,Dec-12,-23863000,-490928000,-128.19,-320.78
83,(주)STX,11810,Dec-13,-1646014000,-1595630000,11111111.11,11111111.11
