,순이익증가율,순이익증가률개별,순이익증가률연결
0,,,
1,1254789.63,11111111.11,11111111.11
2,1254789.63,11111111.11,11111111.11
3,-46.64,-48.84,-46.64
4,-2409.61,-2227.48,-2409.61
5,1254789.63,11111111.11,11111111.11
6,64.07,67.4,64.07
7,113.94,113.94,113.94
8,-49.69,-49.69,-49.69
9,-3310.12,-3150.77,-3310.12
10,1254789.63,11111111.11,11111111.11
11,1254789.63,11111111.11,11111111.11
12,1254789.63,11111111.11,11111111.11
13,1254789.63,11111111.11,11111111.11
14,-30.29,-30.96,-30.29
15,24.71,-15.45,24.71
16,-21.19,27.8,-21.19
17,20.51,27.42,20.51
18,-104.58,-102.42,-104.58
19,1254789.63,11111111.11,11111111.11
20,-2953.61,-2953.61,11111111.11
21,1254789.63,11111111.11,11111111.11
22,1254789.63,11111111.11,11111111.11
23,3206.73,383.86,11111111.11
24,-92.01,-93.02,-91.93
25,-325.15,-414.71,-452.23
26,1254789.63,11111111.11,11111111.11
27,1254789.63,11111111.11,11111111.11
28,1254789.63,11111111.11,11111111.11
29,-1726.02,-1726.02,11111111.11
30,1254789.63,11111111.11,11111111.11
31,1254789.63,11111111.11,11111111.11
32,1254789.63,11111111.11,11111111.11
33,1254789.63,11111111.11,11111111.11
34,1254789.63,11111111.11,11111111.11
35,1254789.63,11111111.11,11111111.11
36,-101.42,11111111.11,-101.42
37,-23.28,-23.28,11111111.11
38,1640.29,-552.12,2345.72
39,-102.89,11111111.11,-102.89
40,67.7,67.7,11111111.11
41,4.71,5.04,4.71
42,-17.16,-27.43,-47.11
43,-108.83,11.02,-379.32
44,-176.37,-176.37,11111111.11
45,1254789.63,11111111.11,11111111.11
46,-81.28,-65.88,-88.29
47,1146.78,348.43,2084.86
48,238.32,221.57,263.22
49,-22.92,-18.82,-24.76
50,42.44,39.04,43.19
51,-46.61,-49.33,-45.2
52,-75.89,-68.93,-79.42
53,-223.7,-213.91,-251.96
54,21.75,11111111.11,11111111.11
55,-22.78,6.23,-22.78
56,3.93,-14.75,3.93
57,-28.56,-46.77,-28.59
58,14.79,90.33,14.94
59,-1.54,-15.45,-1.62
60,-20.32,-56.62,-20.32
61,436.6,774.43,436.6
62,-86.29,-81.55,-86.29
63,17.11,-136.11,17.11
64,0.0,11111111.11,0.0
65,78.15,78.15,0.0
66,-30.42,-30.42,0.0
67,139.96,139.96,0.0
68,-93.86,-93.86,0.0
69,176.05,176.05,0.0
70,-60.16,-60.16,0.0
71,39.07,698.64,39.07
72,13.66,-60.45,464.3
73,-14.76,56.27,-27.46
74,-16.31,-11.02,-15.0
