회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),(대손충당금)(IFRS)(천원),(대손충당금)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS)(천원),회사채(IFRS연결)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)CMG제약,58820,11-Dec,15264885,15341167,7620349,7633673,2743103,2743103,1152489,1152489,9257624,9270949,18290915,18034249,27548539,27305198,11050219,11050219,2127119,2127119,3372462,3385786,0,0,2134049,0,0,0,-2488268,-2560438,17751704,17751704
(주)CMG제약,58820,12-Dec,47073443,47109213,6665126,6793095,2955172,2955172,4673134,4674359,25386064,25517350,31602540,31590685,56988604,57108035,11362566,11362566,2724749,2724749,4386179,4414147,0,0,2132612,100000,0,0,-1453276,-1572581,16255389,16255389
(주)CMG제약,58820,13-Dec,38258866,38209699,5498201,5500075,4618718,4618718,21704962,21705184,6913407,6915281,49048213,48997281,55961620,55912563,13999415,13999415,2939659,2939659,5421230,5423103,0,0,0,0,0,0,-3891420,-3939013,20322140,20402140
(주)CMG제약,58820,14-Dec,28359823,28300941,8713579,8719202,4913103,4913103,8826926,8827046,9060059,9065682,49067039,49002644,58127098,58068326,16787073,16787073,3321706,3321706,7033905,7034077,0,0,0,5451,0,0,730447,724893,22752584,22752584
(주)CMG제약,58820,15-Dec,26330765,26271614,8843328,8849994,5455617,5455617,2566164,2566167,9719267,9725933,46872705,46806888,56591972,56532821,15838056,15838057,3500558,3500558,8667461,8667854,0,0,0,6273,0,0,2411254,2410205,27041894,27041894
(주)CMG제약,58820,16-Dec,78772201,78772201,9136755,9136755,6393756,6393756,2148521,2148521,9872232,9872232,101107635,101107635,110979867,110979867,14435808,14435808,1953903,1953903,8995510,8995511,0,0,0,0,0,0,3321352,3321352,32969825,32969825
(주)CMG제약,58820,17-Dec,81227330,81227330,10884321,10884321,7904518,7904518,3799004,3799004,11624134,11624134,97944019,97944019,109568153,109568153,16768648,16768648,1675122,1675122,10704110,10704110,0,0,0,0,0,0,1948086,1948086,41535588,41535588
(주)CMG제약,58820,18-Dec,81370415,81370415,8495060,8495060,8572582,8572582,13464430,13464430,10398033,10398033,103981846,103981846,114379880,114379880,19030822,19030822,1769899,1769899,8300621,8300621,0,0,0,0,0,0,886779,886779,49864782,49864782
(주)CMG제약,58820,19-Dec,150584066,150584066,9306387,9306387,9048933,9048933,18579821,18579821,12084883,12084883,180158283,180158283,192243166,192243166,21676515,21676515,1385444,1385444,9030427,9030427,0,0,0,0,0,0,2823387,2823387,58622681,58622681
(주)DB하이텍,990,11-Dec,265976810,279725559,796794129,794704783,77112663,77112663,34534009,40025028,892247931,890982181,291709498,308061688,1183957429,1199043869,71061975,79301000,1297000,1297324,62277691,61197483,0,0,5398045,5398046,0,0,61642286,60749180,534317238,552216245
(주)DB하이텍,990,12-Dec,303296307,309144147,563352691,555433290,79262392,79262392,38557398,39917597,874516025,866861695,274553219,290893335,1149069244,1157755031,74994000,69176000,876148,876033,71695379,63775871,214817416,214817416,5141640,5141640,0,0,68047966,73876619,583901597,590786488
