회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),기타(영업)수익(*)(IFRS),기타(영업)수익(*)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결)
(주)CMG제약,058820,2010/12,11350419,11350419,8217627,8217627,37514,37514,9882038,9882038
(주)CMG제약,058820,2011/12,17751704,17751704,10325799,10325799,265374,265374,6727421,6802089
(주)CMG제약,058820,2012/12,16255389,16255389,11648690,11648690,0,0,8651838,8812202
(주)CMG제약,058820,2013/12,20322140,20402140,12506817,12506817,0,0,6992776,7104073
(주)CMG제약,058820,2014/12,22752584,22752584,14318048,14318048,0,0,7988518,7992213
(주)CMG제약,058820,2015/12,27041894,27041894,17237814,17237814,0,0,12374958,12376249
(주)CMG제약,058820,2016/12,32969825,32969825,19663389,19663389,0,0,11575683,11575683
(주)CMG제약,058820,2017/12,41535588,41535588,23497552,23497552,0,0,16479429,16479429
(주)CMG제약,058820,2018/12,49864782,49864782,27124841,27124841,0,0,20172121,20172121
(주)CMG제약,058820,2019/12,58622681,58622681,29700050,29700050,0,0,26318857,26318857
(주)CMG제약,058820,2020/12,64459891,,33249439,,0,,29388087,
(주)DB하이텍,000990,2010/12,593441908,620043034,727262560,753813405,28951647,22010140,147739458,147435732
(주)DB하이텍,000990,2011/12,534317238,552216245,443140034,460440945,20638368,17376103,126664477,127163621
(주)DB하이텍,000990,2012/12,583901597,590786488,486953432,494003057,0,0,111377822,112405062
(주)DB하이텍,000990,2013/12,493752028,493752028,404500718,404500718,0,0,98644291,98861923
(주)DB하이텍,000990,2014/12,567718224,567718224,430813375,430813375,0,0,91594343,91344601
(주)DB하이텍,000990,2015/12,666594987,666594987,436915515,436915515,0,0,105306648,104710656
(주)DB하이텍,000990,2016/12,773140180,773140180,483129939,483129939,0,0,118222593,117582311
(주)DB하이텍,000990,2017/12,679737744,679737744,426170592,426170592,0,0,111213462,110371984
