회사명,거래소코드,회계년도,영업이익(개별),영업이익(연결)
(주)CMG제약,58820,Dec-10,-7537070,-7537070
(주)CMG제약,58820,Dec-11,714950,640282
(주)CMG제약,58820,Dec-12,-4045140,-4205504
(주)CMG제약,58820,Dec-13,822547,791250
(주)CMG제약,58820,Dec-14,446017,442322
(주)CMG제약,58820,Dec-15,-2570878,-2572169
(주)CMG제약,58820,Dec-16,1730753,1730753
(주)CMG제약,58820,Dec-17,1558607,1558607
(주)CMG제약,58820,Dec-18,2567820,2567820
(주)CMG제약,58820,Dec-19,2603774,2603774
(주)DB하이텍,990,Dec-10,-362804082,-378471909
(주)DB하이텍,990,Dec-11,-39983672,-43150444
(주)DB하이텍,990,Dec-12,-14429658,-15621631
(주)DB하이텍,990,Dec-13,-9392980,-9610612
(주)DB하이텍,990,Dec-14,45310506,45560248
(주)DB하이텍,990,Dec-15,124372823,124968815
(주)DB하이텍,990,Dec-16,171787648,172427930
(주)DB하이텍,990,Dec-17,142353689,143195167
(주)DB하이텍,990,Dec-18,112884303,112993143
(주)DB하이텍,990,Dec-19,181155872,181292188
(주)ES큐브,50120,Dec-10,577543,-533613
(주)ES큐브,50120,Dec-11,-2080143,-3650245
(주)ES큐브,50120,Dec-12,645839,89337
(주)ES큐브,50120,Dec-13,217137,-1164610
(주)ES큐브,50120,Dec-14,325908,171090
(주)ES큐브,50120,Dec-15,2370570,-4060427
(주)ES큐브,50120,Dec-16,2359528,2161042
(주)ES큐브,50120,Dec-17,2170102,2248520
(주)ES큐브,50120,Dec-18,691469,-1211129
(주)ES큐브,50120,Dec-19,587700,-2617071
(주)HJ중공업,97230,Dec-10,101888000,119726000
(주)HJ중공업,97230,Dec-11,59453000,107974000
(주)HJ중공업,97230,Dec-12,28591000,52914000
(주)HJ중공업,97230,Dec-13,-109107000,-69574000
(주)HJ중공업,97230,Dec-14,-106249000,-144988000
(주)HJ중공업,97230,Dec-15,-97810000,-79370000
(주)HJ중공업,97230,Dec-16,49319000,-79319000
(주)HJ중공업,97230,Dec-17,86683000,-116693000
(주)HJ중공업,97230,Dec-18,-66005000,61676000
(주)HJ중공업,97230,Dec-19,77055000,83839000
(주)MH에탄올,23150,Dec-10,9209231,3448727
(주)MH에탄올,23150,Dec-11,6908187,603259
(주)MH에탄올,23150,Dec-12,6518758,5451733
(주)MH에탄올,23150,Dec-13,9650240,3009741
(주)MH에탄올,23150,Dec-14,8746818,8744851
(주)MH에탄올,23150,Dec-15,11094172,11092013
(주)MH에탄올,23150,Dec-16,11876872,11874476
(주)MH에탄올,23150,Dec-17,10452914,8116710
(주)MH에탄올,23150,Dec-18,9028515,1228204
(주)MH에탄올,23150,Dec-19,7828586,7829103
(주)SH에너지화학,2360,Dec-10,-7397587,-6800536
(주)SH에너지화학,2360,Dec-11,4987642,4165988
(주)SH에너지화학,2360,Dec-12,2874584,2183184
(주)SH에너지화학,2360,Dec-13,7203175,6424227
(주)SH에너지화학,2360,Dec-14,20274503,21271908
(주)SH에너지화학,2360,Dec-15,22899623,22950176
(주)SH에너지화학,2360,Dec-16,23600206,24101160
(주)SH에너지화학,2360,Dec-17,13189274,14181937
(주)SH에너지화학,2360,Dec-18,2811557,2100670
(주)SH에너지화학,2360,Dec-19,-2363194,-3131129
(주)SIMPAC,9160,Dec-10,21914500,21538800
(주)SIMPAC,9160,Dec-11,27382839,27346333
(주)SIMPAC,9160,Dec-12,25309897,25191277
(주)SIMPAC,9160,Dec-13,23741361,23599350
(주)SIMPAC,9160,Dec-14,18736806,17341900
(주)SIMPAC,9160,Dec-15,23630500,21241031
(주)SIMPAC,9160,Dec-16,21406076,23566192
(주)SIMPAC,9160,Dec-17,13971088,11697915
(주)SIMPAC,9160,Dec-18,7215889,10190572
(주)SIMPAC,9160,Dec-19,8438306,11141319
(주)SNT에너지,100840,Dec-10,4121693,0
(주)SNT에너지,100840,Dec-11,-6597215,0
(주)SNT에너지,100840,Dec-12,15132784,0
(주)SNT에너지,100840,Dec-13,16804410,0
(주)SNT에너지,100840,Dec-14,13777651,0
(주)SNT에너지,100840,Dec-15,33918034,0
(주)SNT에너지,100840,Dec-16,1195145,0
(주)SNT에너지,100840,Dec-17,19201911,0
(주)SNT에너지,100840,Dec-18,-1892191,0
(주)SNT에너지,100840,Dec-19,14679703,17473547
(주)SNT홀딩스,36530,Dec-10,183979,120834523
(주)SNT홀딩스,36530,Dec-11,-4240084,120504644
(주)SNT홀딩스,36530,Dec-12,6695560,85693573
(주)SNT홀딩스,36530,Dec-13,6923357,84798090
(주)SNT홀딩스,36530,Dec-14,5966121,65504975
(주)SNT홀딩스,36530,Dec-15,6719534,161533664
(주)SNT홀딩스,36530,Dec-16,7999927,72283066
(주)SNT홀딩스,36530,Dec-17,5401909,60637139
(주)SNT홀딩스,36530,Dec-18,5392032,72650119
(주)SNT홀딩스,36530,Dec-19,8991504,126277061
(주)STX,11810,Dec-10,72473000,89391000
(주)STX,11810,Dec-11,61711000,234608000
(주)STX,11810,Dec-12,17733000,-410811000
(주)STX,11810,Dec-13,-67233000,-961776000
(주)STX,11810,Dec-14,23414000,35691000
(주)STX,11810,Dec-15,-16336000,-34170000
(주)STX,11810,Dec-16,-105780000,-34169000
(주)STX,11810,Dec-17,30170000,44053000
(주)STX,11810,Dec-18,-6902000,-14778000
(주)STX,11810,Dec-19,-13697000,1748000
(주)TCC스틸,2710,Dec-10,19558370,19638898
(주)TCC스틸,2710,Dec-11,12575855,11421366
(주)TCC스틸,2710,Dec-12,11675644,5933944
(주)TCC스틸,2710,Dec-13,8348275,-7745722
(주)TCC스틸,2710,Dec-14,10868550,344471
(주)TCC스틸,2710,Dec-15,14570434,15855157
(주)TCC스틸,2710,Dec-16,13291419,15351135
(주)TCC스틸,2710,Dec-17,6759804,8106456
(주)TCC스틸,2710,Dec-18,16306122,17080602
(주)TCC스틸,2710,Dec-19,12657106,12856170
(주)가비아,79940,Dec-10,3959527,6692482
(주)가비아,79940,Dec-11,3932157,8180882
(주)가비아,79940,Dec-12,2949228,7619962
(주)가비아,79940,Dec-13,3035052,7033503
(주)가비아,79940,Dec-14,3451259,8382688
(주)가비아,79940,Dec-15,4531993,11349095
(주)가비아,79940,Dec-16,3981746,12549258
(주)가비아,79940,Dec-17,3176328,12712156
(주)가비아,79940,Dec-18,4106091,18188449
(주)가비아,79940,Dec-19,4889113,23736596
(주)강스템바이오텍,217730,Dec-15,-5125200,0
(주)강스템바이오텍,217730,Dec-16,-9117541,0
(주)강스템바이오텍,217730,Dec-17,-11132505,-11737865
(주)강스템바이오텍,217730,Dec-18,-10525345,-11693968
(주)강스템바이오텍,217730,Dec-19,-19411147,-23153709
(주)강원랜드,35250,Dec-10,564053558,555663764
(주)강원랜드,35250,Dec-11,501039826,488541474
(주)강원랜드,35250,Dec-12,416789419,404867665
(주)강원랜드,35250,Dec-13,398563590,388041305
(주)강원랜드,35250,Dec-14,526317689,513172052
(주)강원랜드,35250,Dec-15,603884505,595400403
(주)강원랜드,35250,Dec-16,624885356,618616289
(주)강원랜드,35250,Dec-17,535824585,530897334
(주)강원랜드,35250,Dec-18,434851736,430699990
(주)강원랜드,35250,Dec-19,502725264,501153152
(주)강원에너지,114190,Nov-10,1779388,0
(주)강원에너지,114190,Nov-11,6590007,0
(주)강원에너지,114190,Dec-12,11611165,0
(주)강원에너지,114190,Dec-13,3234230,0
(주)강원에너지,114190,Dec-14,1626296,0
(주)강원에너지,114190,Dec-15,878120,447206
(주)강원에너지,114190,Dec-16,-901973,-1311190
(주)강원에너지,114190,Dec-17,-5421114,-5588512
(주)강원에너지,114190,Dec-18,532248,341329
(주)강원에너지,114190,Dec-19,-17150531,-17175963
(주)갤럭시아에스엠,11420,Dec-10,2164600,612926
(주)갤럭시아에스엠,11420,Dec-11,5151678,5164839
(주)갤럭시아에스엠,11420,Dec-12,1598883,2074371
(주)갤럭시아에스엠,11420,Dec-13,652285,747160
(주)갤럭시아에스엠,11420,Dec-14,-512149,-423280
(주)갤럭시아에스엠,11420,Dec-15,2581511,2101041
(주)갤럭시아에스엠,11420,Dec-16,-3225041,-3713866
(주)갤럭시아에스엠,11420,Dec-17,-3330403,-3545768
(주)갤럭시아에스엠,11420,Dec-18,-6687587,-10337847
(주)갤럭시아에스엠,11420,Dec-19,-776659,-456437
(주)경농,2100,Dec-10,14340338,13761999
(주)경농,2100,Dec-11,8213289,7676753
(주)경농,2100,Dec-12,13993847,12731056
(주)경농,2100,Dec-13,16404459,18783505
(주)경농,2100,Dec-14,14039409,14653846
(주)경농,2100,Dec-15,9122621,12111543
(주)경농,2100,Dec-16,7226128,9168484
(주)경농,2100,Dec-17,9079453,8447803
(주)경농,2100,Dec-18,15180272,14769793
(주)경농,2100,Dec-19,11750268,8690743
(주)경동나비엔,9450,Dec-10,8170507,11122338
(주)경동나비엔,9450,Dec-11,12583280,12421334
(주)경동나비엔,9450,Dec-12,11593427,13925116
(주)경동나비엔,9450,Dec-13,14798702,19784396
(주)경동나비엔,9450,Dec-14,16079662,13464776
(주)경동나비엔,9450,Dec-15,20800513,24222981
(주)경동나비엔,9450,Dec-16,36574175,45831937
(주)경동나비엔,9450,Dec-17,32019763,47757034
(주)경동나비엔,9450,Dec-18,29337538,40802217
(주)경동나비엔,9450,Dec-19,39202886,44824995
(주)경동도시가스,267290,Dec-17,21529500,21664503
(주)경동도시가스,267290,Dec-18,43022492,42657143
(주)경동도시가스,267290,Dec-19,27681163,28055130
(주)경동인베스트,12320,Dec-10,47145359,45265165
(주)경동인베스트,12320,Dec-11,55958306,35856992
(주)경동인베스트,12320,Dec-12,51501973,49896945
(주)경동인베스트,12320,Dec-13,46688406,50540286
(주)경동인베스트,12320,Dec-14,37837347,47933045
(주)경동인베스트,12320,Dec-15,18397933,-13298186
(주)경동인베스트,12320,Dec-16,23543293,28667528
(주)경동인베스트,12320,Dec-17,-2256859,36380462
(주)경동인베스트,12320,Dec-18,-161815,39212613
(주)경동인베스트,12320,Dec-19,-95605,21959506
(주)경방,50,Dec-10,49768260,48084806
(주)경방,50,Dec-11,21404672,22188217
(주)경방,50,Dec-12,8240616,7253942
(주)경방,50,Dec-13,35902114,36031739
(주)경방,50,Dec-14,32095523,30618157
(주)경방,50,Dec-15,38629926,38961511
(주)경방,50,Dec-16,42576774,43436569
(주)경방,50,Dec-17,39411167,42309232
(주)경방,50,Dec-18,38971835,40979751
(주)경방,50,Dec-19,38966423,32020530
(주)경보제약,214390,Dec-15,25632335,0
(주)경보제약,214390,Dec-16,15594226,0
(주)경보제약,214390,Dec-17,24586649,0
(주)경보제약,214390,Dec-18,17266574,0
(주)경보제약,214390,Dec-19,6194073,0
(주)경인양행,12610,Dec-10,700784,10380520
(주)경인양행,12610,Dec-11,1876257,6353143
(주)경인양행,12610,Dec-12,3006834,3641266
(주)경인양행,12610,Dec-13,12078063,11145943
(주)경인양행,12610,Dec-14,10970586,14093166
(주)경인양행,12610,Dec-15,74687,6718134
(주)경인양행,12610,Dec-16,2198153,10577182
(주)경인양행,12610,Dec-17,159204,7364797
(주)경인양행,12610,Dec-18,11975047,19691168
(주)경인양행,12610,Dec-19,14176378,23555056
(주)고려시멘트,198440,Dec-14,0,0
(주)고려시멘트,198440,Dec-15,0,0
(주)고려시멘트,198440,Dec-16,0,0
(주)고려시멘트,198440,Dec-17,3017621,0
(주)고려시멘트,198440,Dec-18,3837563,0
(주)고려시멘트,198440,Dec-19,-459627,0
(주)고영테크놀러지,98460,Dec-10,19485265,20490535
(주)고영테크놀러지,98460,Dec-11,19597520,18820907
(주)고영테크놀러지,98460,Dec-12,20358471,21443286
(주)고영테크놀러지,98460,Dec-13,17778872,16773437
(주)고영테크놀러지,98460,Dec-14,27729257,28155312
(주)고영테크놀러지,98460,Dec-15,26172507,23449593
(주)고영테크놀러지,98460,Dec-16,31039820,33184488
(주)고영테크놀러지,98460,Dec-17,45513084,43748905
(주)고영테크놀러지,98460,Dec-18,46196834,45983317
(주)고영테크놀러지,98460,Dec-19,40057965,33331312
(주)골드앤에스,35290,Dec-10,-8191504,-8206248
(주)골드앤에스,35290,Dec-11,1392408,1295339
(주)골드앤에스,35290,Dec-12,-2363142,-2330876
(주)골드앤에스,35290,Dec-13,-4982102,-6493109
(주)골드앤에스,35290,Dec-14,-2318778,-3079598
(주)골드앤에스,35290,Dec-15,1062022,1143767
(주)골드앤에스,35290,Dec-16,389642,402070
(주)골드앤에스,35290,Dec-17,-3690116,-3694041
(주)골드앤에스,35290,Dec-18,-4559128,-4667031
(주)골드앤에스,35290,Dec-19,-7142116,-7142116
(주)골드퍼시픽,38530,Dec-10,519392,0
(주)골드퍼시픽,38530,Dec-11,1726132,0
(주)골드퍼시픽,38530,Dec-12,726902,0
(주)골드퍼시픽,38530,Dec-13,-5584540,-6137582
(주)골드퍼시픽,38530,Dec-14,-5975388,-5819315
(주)골드퍼시픽,38530,Dec-15,-8197750,-8243124
(주)골드퍼시픽,38530,Dec-16,-8525119,0
(주)골드퍼시픽,38530,Dec-17,937597,0
(주)골드퍼시픽,38530,Dec-18,-506240,-904003
(주)골드퍼시픽,38530,Dec-19,-3421041,0
(주)골프존,215000,Dec-15,47628136,49582444
(주)골프존,215000,Dec-16,43961456,45442468
(주)골프존,215000,Dec-17,33528808,37457576
(주)골프존,215000,Dec-18,29085694,28160266
(주)골프존,215000,Dec-19,36199058,32297495
(주)골프존뉴딘홀딩스,121440,Dec-11,54711940,54442031
(주)골프존뉴딘홀딩스,121440,Dec-12,73882041,69002648
(주)골프존뉴딘홀딩스,121440,Dec-13,84447683,80489157
(주)골프존뉴딘홀딩스,121440,Dec-14,101367117,102393717
(주)골프존뉴딘홀딩스,121440,Dec-15,-13803824,-9349582
(주)골프존뉴딘홀딩스,121440,Dec-16,-5563087,37005985
(주)골프존뉴딘홀딩스,121440,Dec-17,-6824300,18422625
(주)골프존뉴딘홀딩스,121440,Dec-18,-11005550,1114231
(주)골프존뉴딘홀딩스,121440,Dec-19,-17956208,-3625436
(주)광림,14200,Dec-10,3477844,0
(주)광림,14200,Dec-11,5263610,0
(주)광림,14200,Dec-12,1321582,0
(주)광림,14200,Dec-13,3310918,0
(주)광림,14200,Dec-14,1910652,2185491
(주)광림,14200,Dec-15,1326667,0
(주)광림,14200,Dec-16,171774,171774
(주)광림,14200,Dec-17,2304157,-12369550
(주)광림,14200,Dec-18,2202923,-1044494
(주)광림,14200,Dec-19,3819332,-10983157
(주)광명전기,17040,Dec-10,2176137,3414210
(주)광명전기,17040,Dec-11,1483791,496117
(주)광명전기,17040,Dec-12,3566141,4187751
(주)광명전기,17040,Dec-13,8443372,10781482
(주)광명전기,17040,Dec-14,10270079,12461661
(주)광명전기,17040,Dec-15,3839499,9342095
(주)광명전기,17040,Dec-16,3818918,3616733
(주)광명전기,17040,Dec-17,3754871,2197753
(주)광명전기,17040,Dec-18,2970976,3257515
(주)광명전기,17040,Dec-19,7313079,7985837
(주)광무,29480,Dec-10,3016953,3131490
(주)광무,29480,Dec-11,-11400527,-13535609
