,회사명,회계년도,유형자산증가율,0,1
0,(주)CMG제약,2011,-5.9,11111111.11,11111111.11
1,(주)CMG제약,2012,-4.12,-4.02,-4.12
2,(주)CMG제약,2013,16.09,16.63,16.09
3,(주)CMG제약,2014,74.3,74.3,74.3
4,(주)CMG제약,2015,-5.37,-5.37,-5.37
5,(주)CMG제약,2016,-5.14,-5.14,-5.14
6,(주)CMG제약,2017,-4.28,-4.28,-4.28
7,(주)CMG제약,2018,6.71,6.71,6.71
8,(주)CMG제약,2019,39.67,39.67,39.67
9,(주)DB하이텍,2011,-7.89,3046.44,11111111.11
10,(주)DB하이텍,2012,-9.69,-9.66,-9.69
11,(주)DB하이텍,2013,-7.2,-7.18,-7.2
12,(주)DB하이텍,2014,-6.96,-6.94,-6.96
13,(주)DB하이텍,2015,-9.91,-9.89,-9.91
14,(주)DB하이텍,2016,2.73,2.73,2.73
15,(주)DB하이텍,2017,1.44,1.44,1.44
16,(주)DB하이텍,2018,7.56,7.56,7.56
17,(주)DB하이텍,2019,3.18,3.18,3.18
18,(주)ES큐브,2011,-99.3,-99.3,11111111.11
19,(주)ES큐브,2012,-26.25,-0.8,-26.25
20,(주)ES큐브,2013,-31.56,-34.47,-31.56
21,(주)ES큐브,2014,5.59,-30.0,5.59
22,(주)ES큐브,2015,-14.4,-6.88,-14.4
23,(주)ES큐브,2016,258.91,683.64,258.91
24,(주)ES큐브,2017,64.55,60.62,64.55
25,(주)ES큐브,2018,30.79,44.96,30.79
26,(주)ES큐브,2019,14.02,-2.8,14.02
27,(주)HJ중공업,2011,-1.53,18040.46,11111111.11
28,(주)HJ중공업,2012,-7.72,-5.88,-7.72
29,(주)HJ중공업,2013,-3.21,-1.03,-3.21
30,(주)HJ중공업,2014,-3.73,-4.99,-3.73
31,(주)HJ중공업,2015,1.18,-3.15,1.18
32,(주)HJ중공업,2016,-12.12,-15.31,-12.12
33,(주)HJ중공업,2017,-25.45,-36.97,-25.45
34,(주)HJ중공업,2018,-64.36,-2.52,-64.36
35,(주)HJ중공업,2019,-3.7,-3.71,-3.7
36,(주)MH에탄올,2011,2.92,-87.76,11111111.11
37,(주)MH에탄올,2012,-4.55,-2.13,-4.55
38,(주)MH에탄올,2013,-1.99,-0.87,-1.99
39,(주)MH에탄올,2014,-48.75,5.74,-48.75
40,(주)MH에탄올,2015,2.12,2.12,2.12
41,(주)MH에탄올,2016,1.48,1.48,1.48
42,(주)MH에탄올,2017,941.08,5.42,941.08
43,(주)MH에탄올,2018,0.34,2.96,0.34
44,(주)MH에탄올,2019,3.08,1.32,3.08
45,(주)SH에너지화학,2011,1.39,-91.75,11111111.11
46,(주)SH에너지화학,2012,-1.31,-1.53,-1.31
47,(주)SH에너지화학,2013,-2.2,-2.03,-2.2
48,(주)SH에너지화학,2014,-2.91,-2.74,-2.91
49,(주)SH에너지화학,2015,4.91,5.1,4.91
50,(주)SH에너지화학,2016,-2.65,-2.64,-2.65
51,(주)SH에너지화학,2017,-2.2,-2.63,-2.2
52,(주)SH에너지화학,2018,-3.39,-3.37,-3.39
53,(주)SH에너지화학,2019,10.49,10.74,10.49
54,(주)SIMPAC,2011,20.16,119.74,11111111.11
55,(주)SIMPAC,2012,1.45,2.36,1.45
56,(주)SIMPAC,2013,-0.39,0.14,-0.39
57,(주)SIMPAC,2014,129.79,9.85,129.79
58,(주)SIMPAC,2015,6.84,7.42,6.84
59,(주)SIMPAC,2016,-1.26,-0.95,-1.26
60,(주)SIMPAC,2017,-3.38,-6.29,-3.38
61,(주)SIMPAC,2018,106.96,122.03,106.96
62,(주)SIMPAC,2019,-26.23,-2.12,-26.23
63,(주)SNT에너지,2011,-93.94,-93.94,11111111.11
64,(주)SNT에너지,2012,-0.24,-0.24,11111111.11
65,(주)SNT에너지,2013,-1.57,-1.57,11111111.11
66,(주)SNT에너지,2014,-0.25,-0.25,11111111.11
67,(주)SNT에너지,2015,-1.13,-1.13,11111111.11
68,(주)SNT에너지,2016,-0.48,-0.48,11111111.11
69,(주)SNT에너지,2017,-1.12,-1.12,11111111.11
70,(주)SNT에너지,2018,-0.94,-0.94,11111111.11
71,(주)SNT에너지,2019,0.47,0.47,11111111.11
72,(주)SNT홀딩스,2011,1.6,702.41,11111111.11
73,(주)SNT홀딩스,2012,-0.49,-33.43,-0.49
74,(주)SNT홀딩스,2013,0.21,-45.54,0.21
75,(주)SNT홀딩스,2014,-5.36,38.12,-5.36
76,(주)SNT홀딩스,2015,-0.54,-26.66,-0.54
77,(주)SNT홀딩스,2016,-2.1,-35.54,-2.1
78,(주)SNT홀딩스,2017,-3.08,-44.2,-3.08
79,(주)SNT홀딩스,2018,-1.31,-85.48,-1.31
80,(주)SNT홀딩스,2019,0.21,1965.89,0.21
81,(주)STX,2011,-43.6,-6.05,11111111.11
82,(주)STX,2012,27.63,-4.4,27.63
83,(주)STX,2013,-79.37,-10.7,-79.37
84,(주)STX,2014,-49.85,-8.1,-49.85
85,(주)STX,2015,-5.9,-5.96,-5.9
86,(주)STX,2016,-27.52,-42.66,-27.52
87,(주)STX,2017,-4.01,-3.79,-4.01
88,(주)STX,2018,4.93,-3.94,4.93
89,(주)STX,2019,21.6,51.93,21.6
90,(주)TCC스틸,2011,4.88,-6.47,11111111.11
91,(주)TCC스틸,2012,70.34,-4.95,70.34
92,(주)TCC스틸,2013,8.84,-0.42,8.84
93,(주)TCC스틸,2014,-3.15,-3.53,-3.15
94,(주)TCC스틸,2015,-52.61,-26.34,-52.61
95,(주)TCC스틸,2016,-9.97,-13.64,-9.97
96,(주)TCC스틸,2017,-8.89,4.14,-8.89
97,(주)TCC스틸,2018,-5.2,-5.13,-5.2
98,(주)TCC스틸,2019,6.16,9.09,6.16
99,(주)가비아,2011,11.47,-62.66,11111111.11
100,(주)가비아,2012,70.81,231.54,70.81
101,(주)가비아,2013,-2.08,-4.28,-2.08
102,(주)가비아,2014,0.14,-1.85,0.14
103,(주)가비아,2015,-0.49,-0.46,-0.49
104,(주)가비아,2016,17.08,0.99,17.08
105,(주)가비아,2017,5.16,-0.3,5.16
106,(주)가비아,2018,8.04,9.23,8.04
107,(주)가비아,2019,73.82,62.64,73.82
108,(주)강스템바이오텍,2015,-81.28,-81.28,11111111.11
109,(주)강스템바이오텍,2016,35.55,35.55,11111111.11
110,(주)강스템바이오텍,2017,208.99,208.99,11111111.11
111,(주)강스템바이오텍,2018,14.44,13.93,14.44
112,(주)강스템바이오텍,2019,106.2,59.91,106.2
113,(주)강원랜드,2011,6.06,4103.49,11111111.11
114,(주)강원랜드,2012,3.46,2.46,3.46
115,(주)강원랜드,2013,2.07,-0.53,2.07
116,(주)강원랜드,2014,0.13,-3.18,0.13
117,(주)강원랜드,2015,-2.45,-2.43,-2.45
118,(주)강원랜드,2016,-2.8,0.04,-2.8
119,(주)강원랜드,2017,-1.35,-0.06,-1.35
120,(주)강원랜드,2018,1.24,3.64,1.24
121,(주)강원랜드,2019,4.3,4.21,4.3
122,(주)강원에너지,2011,23.55,-98.83,11111111.11
123,(주)강원에너지,2012,12.89,12.89,11111111.11
124,(주)강원에너지,2013,8.4,8.4,11111111.11
125,(주)강원에너지,2014,108.97,108.97,11111111.11
126,(주)강원에너지,2015,-2.92,-2.92,11111111.11
127,(주)강원에너지,2016,15.13,-2.28,15.13
128,(주)강원에너지,2017,4.06,-2.61,4.06
129,(주)강원에너지,2018,-4.03,-4.22,-4.03
130,(주)강원에너지,2019,-29.68,2.67,-29.68
131,(주)갤럭시아에스엠,2011,-92.82,-92.82,11111111.11
132,(주)갤럭시아에스엠,2012,354.01,-7.45,354.01
133,(주)갤럭시아에스엠,2013,-8.69,5.67,-8.69
134,(주)갤럭시아에스엠,2014,-1.22,-34.09,-1.22
135,(주)갤럭시아에스엠,2015,-4.9,152.09,-4.9
136,(주)갤럭시아에스엠,2016,-10.91,9.21,-10.91
137,(주)갤럭시아에스엠,2017,-85.93,-25.55,-85.93
138,(주)갤럭시아에스엠,2018,-30.89,-27.82,-30.89
139,(주)갤럭시아에스엠,2019,103.49,103.49,103.49
140,(주)경농,2011,9576.29,9576.29,11111111.11
141,(주)경농,2012,87.94,9.17,87.94
142,(주)경농,2013,8.71,7.05,8.71
143,(주)경농,2014,17.21,10.27,17.21
144,(주)경농,2015,2.9,0.2,2.9
145,(주)경농,2016,9.13,0.2,9.13
146,(주)경농,2017,5.31,0.15,5.31
147,(주)경농,2018,1.7,11.04,1.7
148,(주)경농,2019,-2.24,-5.44,-2.24
149,(주)경동나비엔,2011,8.79,-25.93,11111111.11
150,(주)경동나비엔,2012,16.2,20.35,16.2
151,(주)경동나비엔,2013,53.62,72.9,53.62
152,(주)경동나비엔,2014,3.55,-10.51,3.55
153,(주)경동나비엔,2015,2.16,0.82,2.16
154,(주)경동나비엔,2016,4.42,3.15,4.42
155,(주)경동나비엔,2017,8.95,3.85,8.95
156,(주)경동나비엔,2018,12.18,9.64,12.18
157,(주)경동나비엔,2019,11.97,5.2,11.97
158,(주)경동도시가스,2017,13.65,13.65,11111111.11
159,(주)경동도시가스,2018,1.23,1.27,1.23
160,(주)경동도시가스,2019,1.64,1.65,1.64
161,(주)경동인베스트,2011,8.69,-7.32,11111111.11
162,(주)경동인베스트,2012,-0.03,5.37,-0.03
163,(주)경동인베스트,2013,6.8,4.96,6.8
164,(주)경동인베스트,2014,35.24,2.02,35.24
165,(주)경동인베스트,2015,9.7,5.96,9.7
166,(주)경동인베스트,2016,2.47,1.05,2.47
167,(주)경동인베스트,2017,-63.85,-96.99,-63.85
168,(주)경동인베스트,2018,-0.49,25.53,-0.49
169,(주)경동인베스트,2019,-3.35,-76.93,-3.35
170,(주)경방,2011,3.05,80.92,11111111.11
171,(주)경방,2012,5.06,-1.93,5.06
172,(주)경방,2013,-5.42,-6.99,-5.42
173,(주)경방,2014,0.44,-3.99,0.44
174,(주)경방,2015,5.82,-4.16,5.82
175,(주)경방,2016,-3.15,-3.7,-3.15
176,(주)경방,2017,-1.55,-7.75,-1.55
177,(주)경방,2018,-7.98,-6.58,-7.98
178,(주)경방,2019,-49.03,-69.74,-49.03
179,(주)경보제약,2015,35.46,-89.03,11111111.11
180,(주)경보제약,2016,12.09,12.09,11111111.11
181,(주)경보제약,2017,-6.49,-6.49,11111111.11
182,(주)경보제약,2018,-2.55,-2.55,11111111.11
183,(주)경보제약,2019,15.19,15.19,11111111.11
184,(주)경인양행,2011,1.15,752.35,11111111.11
185,(주)경인양행,2012,-8.87,-3.13,-8.87
186,(주)경인양행,2013,2.88,7.47,2.88
187,(주)경인양행,2014,6.18,7.65,6.18
188,(주)경인양행,2015,0.41,-2.13,0.41
189,(주)경인양행,2016,1.23,2.36,1.23
190,(주)경인양행,2017,8.64,11.0,8.64
191,(주)경인양행,2018,3.8,4.8,3.8
192,(주)경인양행,2019,24.93,31.81,24.93
193,(주)고려시멘트,2014,-91.77,-91.77,11111111.11
194,(주)고려시멘트,2015,1254789.63,11111111.11,11111111.11
195,(주)고려시멘트,2016,1254789.63,11111111.11,11111111.11
196,(주)고려시멘트,2017,1254789.63,11111111.11,11111111.11
197,(주)고려시멘트,2018,1.83,1.83,11111111.11
198,(주)고려시멘트,2019,4.84,4.84,11111111.11
199,(주)고영테크놀러지,2011,17.31,-5.84,11111111.11
200,(주)고영테크놀러지,2012,3.36,3.14,3.36
201,(주)고영테크놀러지,2013,-4.65,-4.21,-4.65
202,(주)고영테크놀러지,2014,34.62,34.87,34.62
203,(주)고영테크놀러지,2015,-1.23,-2.38,-1.23
204,(주)고영테크놀러지,2016,20.94,21.31,20.94
205,(주)고영테크놀러지,2017,6.27,2.97,6.27
206,(주)고영테크놀러지,2018,30.7,34.02,30.7
207,(주)고영테크놀러지,2019,12.58,9.39,12.58
208,(주)골드앤에스,2011,-24.47,-97.24,11111111.11
209,(주)골드앤에스,2012,-3.87,-14.45,-3.87
210,(주)골드앤에스,2013,2289.15,-4.81,2289.15
211,(주)골드앤에스,2014,-3.55,-37.98,-3.55
212,(주)골드앤에스,2015,-98.55,-40.35,-98.55
213,(주)골드앤에스,2016,-38.3,-35.35,-38.3
214,(주)골드앤에스,2017,65.8,73.81,65.8
215,(주)골드앤에스,2018,3205.73,3222.08,3205.73
216,(주)골드앤에스,2019,-66.73,-66.73,-66.73
217,(주)골드퍼시픽,2011,468.65,329.1,11111111.11
218,(주)골드퍼시픽,2012,-13.17,-13.17,11111111.11
219,(주)골드퍼시픽,2013,-17.09,-17.09,11111111.11
220,(주)골드퍼시픽,2014,0.27,-22.15,0.27
221,(주)골드퍼시픽,2015,-73.96,-54.28,-73.96
222,(주)골드퍼시픽,2016,-48.34,-48.34,519.15
223,(주)골드퍼시픽,2017,-2.7,-2.7,11111111.11
224,(주)골드퍼시픽,2018,-93.57,-93.57,11111111.11
