회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),이자비용(*)(IFRS)(천원),이자비용(*)(IFRS연결)(천원),이자지급(-)(IFRS)(천원),이자지급(-)(IFRS연결)(천원)
(주)CMG제약,058820,2010/12,-7537071,-7537071,1016039,1016039,-757510,-757510
(주)CMG제약,058820,2011/12,714950,640283,181404,181404,-172397,-172397
(주)CMG제약,058820,2012/12,-4045140,-4205503,542880,542880,-165751,-165751
(주)CMG제약,058820,2013/12,822547,791250,1133753,1134104,0,-351
(주)CMG제약,058820,2014/12,446018,442322,122840,122840,0,0
(주)CMG제약,058820,2015/12,-2570878,-2572168,79830,79830,0,0
(주)CMG제약,058820,2016/12,1730753,1730753,0,0,0,0
(주)CMG제약,058820,2017/12,1558607,1558607,0,0,0,0
(주)CMG제약,058820,2018/12,2567820,2567820,0,0,0,0
(주)CMG제약,058820,2019/12,2603774,2603774,8593,8593,0,0
(주)CMG제약,058820,2020/12,1822365,,22853,,0,
(주)DB하이텍,000990,2010/12,-362804081,-378471909,107917000,108003000,-88883845,-92279256
(주)DB하이텍,000990,2011/12,-39983672,-43150444,57547000,57548000,-42725943,-42725943
(주)DB하이텍,000990,2012/12,-14429657,-15621631,50197000,50197000,-28224949,-28224949
(주)DB하이텍,000990,2013/12,-9392980,-9610612,59545000,59545000,-57988751,-57988751
(주)DB하이텍,000990,2014/12,45310506,45560248,67652000,67652179,-76389499,-76389499
(주)DB하이텍,000990,2015/12,124372824,124968815,50040000,50040000,-46721574,-46796524
(주)DB하이텍,000990,2016/12,171787648,172427930,39114000,39114000,-23633335,-23633335
(주)DB하이텍,000990,2017/12,142353689,143195168,23682000,23682000,-18718875,-18718875
(주)DB하이텍,000990,2018/12,112884303,112993143,16701000,16701000,-14802387,-14802387
(주)DB하이텍,000990,2019/12,181155872,181292188,13489903,13489986,-12220259,-12220259
(주)DB하이텍,000990,2020/12,239188805,239335181,6504910,6505675,-6177870,-6177870
(주)ES큐브,050120,2010/12,577543,-533613,101371,101371,-98982,-98982
(주)ES큐브,050120,2011/12,-2080143,-3650245,0,0,0,0
(주)ES큐브,050120,2012/12,645839,89337,0,51946,0,-51946
(주)ES큐브,050120,2013/12,217136,-1164611,22822,31106,-22822,-31106
(주)ES큐브,050120,2014/12,325909,171090,0,7707,0,-1445
(주)ES큐브,050120,2015/12,2370570,-4060426,0,342236,0,-139208
(주)ES큐브,050120,2016/12,2359527,2161041,203736,240742,-199370,-229370
(주)ES큐브,050120,2017/12,2170102,2248520,785009,785009,-721751,-721751
(주)ES큐브,050120,2018/12,691469,-1211129,1482191,1483631,0,-1029405
(주)ES큐브,050120,2019/12,587700,-2617071,3540387,5997787,-1609530,-4378281
(주)ES큐브,050120,2020/12,1452732,10315988,3206852,14014998,-1465164,-7973780
(주)HJ중공업,097230,2010/12,101888000,119726000,187967000,219792000,-185080000,-219066000
(주)HJ중공업,097230,2011/12,59453000,107974000,172549000,197618000,-172150000,-199210000
(주)HJ중공업,097230,2012/12,28591000,52914000,168022000,193230000,-163440000,-190974000
