회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,21846600,20588188,21846600,20588188,17751704,17751704
(주)CMG제약,058820,2012/12,33012770,21846600,33012770,21846600,16255389,16255389
(주)CMG제약,058820,2013/12,43313433,33012770,43313433,33012770,20322140,20402140
(주)CMG제약,058820,2014/12,43313433,43313433,43313433,43313433,22752584,22752584
(주)CMG제약,058820,2015/12,44148622,43313433,44148622,43313433,27041894,27041894
(주)CMG제약,058820,2016/12,54353622,44148622,54353622,44148622,32969825,32969825
(주)CMG제약,058820,2017/12,54443622,54353622,54443622,54353622,41535588,41535588
(주)CMG제약,058820,2018/12,54443622,54443622,54443622,54443622,49864782,49864782
(주)CMG제약,058820,2019/12,69446122,54443622,69446122,54443622,58622681,58622681
(주)DB하이텍,000990,2011/12,214616420,212303970,214616420,212303970,534317238,552216245
(주)DB하이텍,000990,2012/12,222555835,214616420,222555835,214616420,583901597,590786488
(주)DB하이텍,000990,2013/12,222555835,222555835,222555835,222555835,493752028,493752028
(주)DB하이텍,000990,2014/12,222555835,222555835,222555835,222555835,567718224,567718224
(주)DB하이텍,000990,2015/12,222555835,222555835,222555835,222555835,666594987,666594987
(주)DB하이텍,000990,2016/12,222555835,222555835,222555835,222555835,773140180,773140180
(주)DB하이텍,000990,2017/12,222555835,222555835,222555835,222555835,679737744,679737744
(주)DB하이텍,000990,2018/12,222555835,222555835,222555835,222555835,669279136,669279136
(주)DB하이텍,000990,2019/12,222555835,222555835,222555835,222555835,807416423,807416423
(주)ES큐브,050120,2011/12,11621953,11621953,11621953,11621953,41700477,53379952
(주)ES큐브,050120,2012/12,11696579,11621953,11696579,11621953,44178050,55971147
(주)ES큐브,050120,2013/12,18246663,11696579,18246663,11696579,45823196,58597361
(주)ES큐브,050120,2014/12,18246663,18246663,18246663,18246663,37188072,44459581
(주)ES큐브,050120,2015/12,18246663,18246663,18246663,18246663,36887119,42152967
(주)ES큐브,050120,2016/12,20810764,18246663,20810764,18246663,34818205,34289385
(주)ES큐브,050120,2017/12,41621527,20810764,41621527,20810764,37104908,35745794
(주)ES큐브,050120,2018/12,41621527,41621527,41621527,41621527,31308873,33763508
(주)ES큐브,050120,2019/12,42815711,41621527,42815711,41621527,28527284,43708239
(주)HJ중공업,097230,2011/12,241442000,239053000,241442000,239053000,2316017000,2891499000
(주)HJ중공업,097230,2012/12,241442000,241442000,241442000,241442000,1980761000,2549319000
(주)HJ중공업,097230,2013/12,346442000,241442000,346442000,241442000,1927307000,2529341000
(주)HJ중공업,097230,2014/12,511442000,346442000,511442000,346442000,1799016000,2520325000
(주)HJ중공업,097230,2015/12,511442000,511442000,511442000,511442000,2041347000,3115473000
(주)HJ중공업,097230,2016/12,530263000,511442000,530263000,511442000,1928591000,2813271000
(주)HJ중공업,097230,2017/12,530263000,530263000,530263000,530263000,1737428000,2452314000
(주)HJ중공업,097230,2018/12,530263000,530263000,530263000,530263000,1750954000,1697869000
(주)HJ중공업,097230,2019/12,416371000,530263000,416371000,530263000,1609530000,1628751000
(주)MH에탄올,023150,2011/12,4407500,4407500,4407500,4407500,43206995,44785159
(주)MH에탄올,023150,2012/12,4407500,4407500,4407500,4407500,45488675,59768175
(주)MH에탄올,023150,2013/12,4407500,4407500,4407500,4407500,46298516,62199887
(주)MH에탄올,023150,2014/12,4596763,4407500,4596763,4407500,48983781,48983781
(주)MH에탄올,023150,2015/12,4596763,4596763,4596763,4596763,50386203,50386203
(주)MH에탄올,023150,2016/12,4596763,4596763,4596763,4596763,48897025,48897025
(주)MH에탄올,023150,2017/12,4596763,4596763,4596763,4596763,48270464,51977132
(주)MH에탄올,023150,2018/12,4596763,4596763,4596763,4596763,46943080,72795863
(주)MH에탄올,023150,2019/12,4596763,4596763,4596763,4596763,46992295,80879342
(주)SH에너지화학,002360,2011/12,55739975,55739975,55739975,55739975,172752632,173209351
(주)SH에너지화학,002360,2012/12,55739975,55739975,55739975,55739975,191907628,193950102
(주)SH에너지화학,002360,2013/12,55739975,55739975,55739975,55739975,229783541,231912218
(주)SH에너지화학,002360,2014/12,55739975,55739975,55739975,55739975,226971465,230912587
(주)SH에너지화학,002360,2015/12,55739975,55739975,55739975,55739975,213882181,216441364
(주)SH에너지화학,002360,2016/12,55739975,55739975,55739975,55739975,214380015,218397677
(주)SH에너지화학,002360,2017/12,55739975,55739975,55739975,55739975,184672638,188114822
(주)SH에너지화학,002360,2018/12,55739975,55739975,55739975,55739975,180753289,183598766
(주)SH에너지화학,002360,2019/12,55739975,55739975,55739975,55739975,138161816,140852575
(주)SIMPAC,009160,2011/12,14542463,14542463,14542463,14542463,213867522,215365697
(주)SIMPAC,009160,2012/12,14542463,14542463,14542463,14542463,223854758,225353321
(주)SIMPAC,009160,2013/12,14542463,14542463,14542463,14542463,204527751,205751154
(주)SIMPAC,009160,2014/12,14542463,14542463,14542463,14542463,227491803,263152264
(주)SIMPAC,009160,2015/12,14542463,14542463,14542463,14542463,213152303,269528038
(주)SIMPAC,009160,2016/12,14542463,14542463,14542463,14542463,215839356,267074156
(주)SIMPAC,009160,2017/12,14542463,14542463,14542463,14542463,203150228,230634812
(주)SIMPAC,009160,2018/12,32714758,14542463,32714758,14542463,268863854,306150809
(주)SIMPAC,009160,2019/12,32714758,32714758,32714758,32714758,391970769,430085162
(주)SNT에너지,100840,2011/12,3542306,3542306,,,195318747,
(주)SNT에너지,100840,2012/12,3542306,3542306,,,230707564,
(주)SNT에너지,100840,2013/12,3542306,3542306,,,200750984,
(주)SNT에너지,100840,2014/12,3542306,3542306,,,242746888,
(주)SNT에너지,100840,2015/12,3542306,3542306,,,260094045,
(주)SNT에너지,100840,2016/12,3542306,3542306,,,254089906,
(주)SNT에너지,100840,2017/12,3542306,3542306,,,184091945,
(주)SNT에너지,100840,2018/12,3648575,3542306,,,139516396,
(주)SNT에너지,100840,2019/12,3753356,3648575,3753356,3648575,202822913,213326726
(주)SNT홀딩스,036530,2011/12,7661712,7661712,7661712,7661712,2257851,1663846065
(주)SNT홀딩스,036530,2012/12,7661712,7661712,7661712,7661712,8718270,1668749904
(주)SNT홀딩스,036530,2013/12,7661712,7661712,7661712,7661712,8826810,1576368464
(주)SNT홀딩스,036530,2014/12,7661712,7661712,7661712,7661712,7701882,1552374806
(주)SNT홀딩스,036530,2015/12,7885038,7661712,7885038,7661712,8475099,1612746929
(주)SNT홀딩스,036530,2016/12,8115053,7885038,8115053,7885038,9818190,1537700275
(주)SNT홀딩스,036530,2017/12,8115053,8115053,8115053,8115053,7417869,1508152132
(주)SNT홀딩스,036530,2018/12,8351943,8115053,8351943,8115053,7292112,1401307482
(주)SNT홀딩스,036530,2019/12,8351943,8351943,8351943,8351943,11015928,1512114565
(주)STX,011810,2011/12,150000000,125000000,150000000,125000000,4173397000,5967701000
(주)STX,011810,2012/12,151128000,150000000,151128000,150000000,4116767000,6159850000
(주)STX,011810,2013/12,153838000,151128000,153838000,151128000,1895063000,2449401000
(주)STX,011810,2014/12,74756000,153838000,74756000,153838000,1291351000,1634606000
(주)STX,011810,2015/12,74842000,74756000,74842000,74756000,1362127000,1630827000
(주)STX,011810,2016/12,118473000,74842000,118473000,74842000,1465561000,1720153000
