,회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),0,1,2,3
0,(주)CMG제약,58820,Dec-11,21846600,20588188,21846600,20588188,17751704,17751704,,,,
1,(주)CMG제약,58820,Dec-12,33012770,21846600,33012770,21846600,16255389,16255389,60.35,60.35,-8.43,-8.43
2,(주)CMG제약,58820,Dec-13,43313433,33012770,43313433,33012770,20322140,20402140,98.26,98.26,25.02,25.51
3,(주)CMG제약,58820,Dec-14,43313433,43313433,43313433,43313433,22752584,22752584,31.2,31.2,11.96,11.52
4,(주)CMG제약,58820,Dec-15,44148622,43313433,44148622,43313433,27041894,27041894,1.93,1.93,18.85,18.85
5,(주)CMG제약,58820,Dec-16,54353622,44148622,54353622,44148622,32969825,32969825,25.49,25.49,21.92,21.92
6,(주)CMG제약,58820,Dec-17,54443622,54353622,54443622,54353622,41535588,41535588,23.32,23.32,25.98,25.98
7,(주)CMG제약,58820,Dec-18,54443622,54443622,54443622,54443622,49864782,49864782,0.17,0.17,20.05,20.05
8,(주)CMG제약,58820,Dec-19,69446122,54443622,69446122,54443622,58622681,58622681,27.56,27.56,17.56,17.56
9,(주)DB하이텍,990,Dec-11,214616420,212303970,214616420,212303970,534317238,552216245,294.2,294.2,811.45,841.98
10,(주)DB하이텍,990,Dec-12,222555835,214616420,222555835,214616420,583901597,590786488,4.83,4.83,9.28,6.98
11,(주)DB하이텍,990,Dec-13,222555835,222555835,222555835,222555835,493752028,493752028,3.7,3.7,-15.44,-16.42
12,(주)DB하이텍,990,Dec-14,222555835,222555835,222555835,222555835,567718224,567718224,0,0,14.98,14.98
13,(주)DB하이텍,990,Dec-15,222555835,222555835,222555835,222555835,666594987,666594987,0,0,17.42,17.42
14,(주)DB하이텍,990,Dec-16,222555835,222555835,222555835,222555835,773140180,773140180,0,0,15.98,15.98
15,(주)DB하이텍,990,Dec-17,222555835,222555835,222555835,222555835,679737744,679737744,0,0,-12.08,-12.08
16,(주)DB하이텍,990,Dec-18,222555835,222555835,222555835,222555835,669279136,669279136,0,0,-1.54,-1.54
17,(주)DB하이텍,990,Dec-19,222555835,222555835,222555835,222555835,807416423,807416423,0,0,20.64,20.64
18,(주)ES큐브,50120,Dec-11,11621953,11621953,11621953,11621953,41700477,53379952,-94.78,-94.78,-94.84,-93.39
19,(주)ES큐브,50120,Dec-12,11696579,11621953,11696579,11621953,44178050,55971147,0.64,0.64,5.94,4.85
20,(주)ES큐브,50120,Dec-13,18246663,11696579,18246663,11696579,45823196,58597361,57,57,3.72,4.69
21,(주)ES큐브,50120,Dec-14,18246663,18246663,18246663,18246663,37188072,44459581,56,56,-18.84,-24.13
22,(주)ES큐브,50120,Dec-15,18246663,18246663,18246663,18246663,36887119,42152967,0,0,-0.81,-5.19
23,(주)ES큐브,50120,Dec-16,20810764,18246663,20810764,18246663,34818205,34289385,14.05,14.05,-5.61,-18.65
24,(주)ES큐브,50120,Dec-17,41621527,20810764,41621527,20810764,37104908,35745794,128.1,128.1,6.57,4.25
25,(주)ES큐브,50120,Dec-18,41621527,41621527,41621527,41621527,31308873,33763508,100,100,-15.62,-5.55
26,(주)ES큐브,50120,Dec-19,42815711,41621527,42815711,41621527,28527284,43708239,2.87,2.87,-8.88,29.45
27,(주)HJ중공업,97230,Dec-11,241442000,239053000,241442000,239053000,2316017000,2891499000,480.09,480.09,8018.6,6515.46
28,(주)HJ중공업,97230,Dec-12,241442000,241442000,241442000,241442000,1980761000,2549319000,1,1,-14.48,-11.83
29,(주)HJ중공업,97230,Dec-13,346442000,241442000,346442000,241442000,1927307000,2529341000,43.49,43.49,-2.7,-0.78
30,(주)HJ중공업,97230,Dec-14,511442000,346442000,511442000,346442000,1799016000,2520325000,111.83,111.83,-6.66,-0.36
31,(주)HJ중공업,97230,Dec-15,511442000,511442000,511442000,511442000,2041347000,3115473000,47.63,47.63,13.47,23.61
32,(주)HJ중공업,97230,Dec-16,530263000,511442000,530263000,511442000,1928591000,2813271000,3.68,3.68,-5.52,-9.7
33,(주)HJ중공업,97230,Dec-17,530263000,530263000,530263000,530263000,1737428000,2452314000,3.68,3.68,-9.91,-12.83
34,(주)HJ중공업,97230,Dec-18,530263000,530263000,530263000,530263000,1750954000,1697869000,0,0,0.78,-30.76
35,(주)HJ중공업,97230,Dec-19,416371000,530263000,416371000,530263000,1609530000,1628751000,-21.48,-21.48,-8.08,-4.07
36,(주)MH에탄올,23150,Dec-11,4407500,4407500,4407500,4407500,43206995,44785159,-99.17,-99.17,-97.32,-97.25
37,(주)MH에탄올,23150,Dec-12,4407500,4407500,4407500,4407500,45488675,59768175,0,0,5.28,33.46
38,(주)MH에탄올,23150,Dec-13,4407500,4407500,4407500,4407500,46298516,62199887,0,0,1.78,4.07
39,(주)MH에탄올,23150,Dec-14,4596763,4407500,4596763,4407500,48983781,48983781,4.29,4.29,5.8,-21.25
40,(주)MH에탄올,23150,Dec-15,4596763,4596763,4596763,4596763,50386203,50386203,4.29,4.29,2.86,2.86
41,(주)MH에탄올,23150,Dec-16,4596763,4596763,4596763,4596763,48897025,48897025,0,0,-2.96,-2.96
42,(주)MH에탄올,23150,Dec-17,4596763,4596763,4596763,4596763,48270464,51977132,0,0,-1.28,6.3
43,(주)MH에탄올,23150,Dec-18,4596763,4596763,4596763,4596763,46943080,72795863,0,0,-2.75,40.05
