회사명,거래소코드,회계년도,합계(IFRS)(천원),합계(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,18290915,18034249
(주)CMG제약,058820,2012/12,31602540,31590684
(주)CMG제약,058820,2013/12,49048213,48997281
(주)CMG제약,058820,2014/12,49067039,49002644
(주)CMG제약,058820,2015/12,46872705,46806888
(주)CMG제약,058820,2016/12,101107635,101107635
(주)CMG제약,058820,2017/12,97944019,97944019
(주)CMG제약,058820,2018/12,103981846,103981846
(주)CMG제약,058820,2019/12,180158283,180158283
(주)DB하이텍,000990,2011/12,291709498,308061688
(주)DB하이텍,000990,2012/12,274553219,290893335
(주)DB하이텍,000990,2013/12,197287466,204756748
(주)DB하이텍,000990,2014/12,136104062,120702734
(주)DB하이텍,000990,2015/12,277662952,254057491
(주)DB하이텍,000990,2016/12,364450453,341917315
(주)DB하이텍,000990,2017/12,441546809,455797947
(주)DB하이텍,000990,2018/12,542557222,558391531
(주)DB하이텍,000990,2019/12,645305205,644650730
(주)ES큐브,050120,2011/12,39144414,39245830
(주)ES큐브,050120,2012/12,39881477,39859681
(주)ES큐브,050120,2013/12,43712820,42372440
(주)ES큐브,050120,2014/12,41226335,49628091
(주)ES큐브,050120,2015/12,44872641,49654460
(주)ES큐브,050120,2016/12,69832373,71696122
(주)ES큐브,050120,2017/12,71398467,72816880
(주)ES큐브,050120,2018/12,66518631,70748607
(주)ES큐브,050120,2019/12,53986331,74038512
(주)HJ중공업,097230,2011/12,1874877000,1866848000
(주)HJ중공업,097230,2012/12,1863529000,1715516000
(주)HJ중공업,097230,2013/12,1804609000,1638998000
(주)HJ중공업,097230,2014/12,1761886000,1573076000
(주)HJ중공업,097230,2015/12,1377529000,1368589000
(주)HJ중공업,097230,2016/12,904150000,895183000
(주)HJ중공업,097230,2017/12,563410000,577198000
(주)HJ중공업,097230,2018/12,-398930000,-708186000
(주)HJ중공업,097230,2019/12,247272000,244994000
(주)MH에탄올,023150,2011/12,56161251,42667338
(주)MH에탄올,023150,2012/12,58712944,39678259
(주)MH에탄올,023150,2013/12,47119925,45885523
(주)MH에탄올,023150,2014/12,52507884,52788681
(주)MH에탄올,023150,2015/12,57569789,57884347
(주)MH에탄올,023150,2016/12,63257513,63581883
(주)MH에탄올,023150,2017/12,64698932,106837344
(주)MH에탄올,023150,2018/12,68471529,91585473
(주)MH에탄올,023150,2019/12,59477642,79389077
(주)SH에너지화학,002360,2011/12,64498684,65242326
(주)SH에너지화학,002360,2012/12,64888612,64881202
(주)SH에너지화학,002360,2013/12,69781889,69599141
(주)SH에너지화학,002360,2014/12,83404299,84237197
