,회사명,거래소코드,회계년도,합계(IFRS)(천원),합계(IFRS연결)(천원),0,1
0,(주)CMG제약,58820,Dec-11,18290915,18034249,,
1,(주)CMG제약,58820,Dec-12,31602540,31590684,72.78,75.17
2,(주)CMG제약,58820,Dec-13,49048213,48997281,55.2,55.1
3,(주)CMG제약,58820,Dec-14,49067039,49002644,0.04,0.01
4,(주)CMG제약,58820,Dec-15,46872705,46806888,-4.47,-4.48
5,(주)CMG제약,58820,Dec-16,101107635,101107635,115.71,116.01
6,(주)CMG제약,58820,Dec-17,97944019,97944019,-3.13,-3.13
7,(주)CMG제약,58820,Dec-18,103981846,103981846,6.16,6.16
8,(주)CMG제약,58820,Dec-19,180158283,180158283,73.26,73.26
9,(주)DB하이텍,990,Dec-11,291709498,308061688,61.92,71
10,(주)DB하이텍,990,Dec-12,274553219,290893335,-5.88,-5.57
11,(주)DB하이텍,990,Dec-13,197287466,204756748,-28.14,-29.61
12,(주)DB하이텍,990,Dec-14,136104062,120702734,-31.01,-41.05
13,(주)DB하이텍,990,Dec-15,277662952,254057491,104.01,110.48
14,(주)DB하이텍,990,Dec-16,364450453,341917315,31.26,34.58
15,(주)DB하이텍,990,Dec-17,441546809,455797947,21.15,33.31
16,(주)DB하이텍,990,Dec-18,542557222,558391531,22.88,22.51
17,(주)DB하이텍,990,Dec-19,645305205,644650730,18.94,15.45
18,(주)ES큐브,50120,Dec-11,39144414,39245830,-93.93,-93.91
19,(주)ES큐브,50120,Dec-12,39881477,39859681,1.88,1.56
20,(주)ES큐브,50120,Dec-13,43712820,42372440,9.61,6.3
21,(주)ES큐브,50120,Dec-14,41226335,49628091,-5.69,17.12
22,(주)ES큐브,50120,Dec-15,44872641,49654460,8.84,0.05
23,(주)ES큐브,50120,Dec-16,69832373,71696122,55.62,44.39
24,(주)ES큐브,50120,Dec-17,71398467,72816880,2.24,1.56
25,(주)ES큐브,50120,Dec-18,66518631,70748607,-6.83,-2.84
26,(주)ES큐브,50120,Dec-19,53986331,74038512,-18.84,4.65
27,(주)HJ중공업,97230,Dec-11,1874877000,1866848000,3372.87,2421.46
28,(주)HJ중공업,97230,Dec-12,1863529000,1715516000,-0.61,-8.11
29,(주)HJ중공업,97230,Dec-13,1804609000,1638998000,-3.16,-4.46
30,(주)HJ중공업,97230,Dec-14,1761886000,1573076000,-2.37,-4.02
31,(주)HJ중공업,97230,Dec-15,1377529000,1368589000,-21.82,-13
32,(주)HJ중공업,97230,Dec-16,904150000,895183000,-34.36,-34.59
33,(주)HJ중공업,97230,Dec-17,563410000,577198000,-37.69,-35.52
34,(주)HJ중공업,97230,Dec-18,-398930000,-708186000,-170.81,-222.69
35,(주)HJ중공업,97230,Dec-19,247272000,244994000,-161.98,-134.59
36,(주)MH에탄올,23150,Dec-11,56161251,42667338,-77.29,-82.58
37,(주)MH에탄올,23150,Dec-12,58712944,39678259,4.54,-7.01
38,(주)MH에탄올,23150,Dec-13,47119925,45885523,-19.75,15.64
39,(주)MH에탄올,23150,Dec-14,52507884,52788681,11.43,15.04
40,(주)MH에탄올,23150,Dec-15,57569789,57884347,9.64,9.65
41,(주)MH에탄올,23150,Dec-16,63257513,63581883,9.88,9.84
42,(주)MH에탄올,23150,Dec-17,64698932,106837344,2.28,68.03
43,(주)MH에탄올,23150,Dec-18,68471529,91585473,5.83,-14.28
44,(주)MH에탄올,23150,Dec-19,59477642,79389077,-13.14,-13.32
45,(주)SH에너지화학,2360,Dec-11,64498684,65242326,8.44,-17.82
46,(주)SH에너지화학,2360,Dec-12,64888612,64881202,0.6,-0.55
47,(주)SH에너지화학,2360,Dec-13,69781889,69599141,7.54,7.27
48,(주)SH에너지화학,2360,Dec-14,83404299,84237197,19.52,21.03
49,(주)SH에너지화학,2360,Dec-15,90740135,91646220,8.8,8.8
50,(주)SH에너지화학,2360,Dec-16,103083032,104088887,13.6,13.58
51,(주)SH에너지화학,2360,Dec-17,105717970,107693472,2.56,3.46
52,(주)SH에너지화학,2360,Dec-18,104065473,105390892,-1.56,-2.14
53,(주)SH에너지화학,2360,Dec-19,97386214,98999976,-6.42,-6.06
54,(주)SIMPAC,9160,Dec-11,155833324,168941269,60.02,70.65
55,(주)SIMPAC,9160,Dec-12,177830482,187860952,14.12,11.2
56,(주)SIMPAC,9160,Dec-13,197900866,208831047,11.29,11.16
57,(주)SIMPAC,9160,Dec-14,203904919,219125252,3.03,4.93
58,(주)SIMPAC,9160,Dec-15,220087525,232007841,7.94,5.88
59,(주)SIMPAC,9160,Dec-16,228959172,240416530,4.03,3.62
60,(주)SIMPAC,9160,Dec-17,223781988,240826100,-2.26,0.17
61,(주)SIMPAC,9160,Dec-18,411119510,435032869,83.71,80.64
62,(주)SIMPAC,9160,Dec-19,419215968,441195485,1.97,1.42
63,(주)SNT에너지,100840,Dec-11,160595865,11111111.11,-61.69,-97.48
64,(주)SNT에너지,100840,Dec-12,183306309,11111111.11,14.14,
65,(주)SNT에너지,100840,Dec-13,198164671,11111111.11,8.11,
66,(주)SNT에너지,100840,Dec-14,207712504,11111111.11,4.82,
67,(주)SNT에너지,100840,Dec-15,231399939,11111111.11,11.4,
68,(주)SNT에너지,100840,Dec-16,229799567,11111111.11,-0.69,
69,(주)SNT에너지,100840,Dec-17,233817326,11111111.11,1.75,
70,(주)SNT에너지,100840,Dec-18,231276490,11111111.11,-1.09,
