,자기자본증가율,0,1
0,-2.02,11111111.11,11111111.11
1,75.17,72.78,75.17
2,55.1,55.2,55.1
3,0.01,0.04,0.01
4,-4.48,-4.47,-4.48
5,116.01,115.71,116.01
6,-3.13,-3.13,-3.13
7,6.16,6.16,6.16
8,73.26,73.26,73.26
9,-22.6,61.92,71.0
10,-5.57,-5.88,-5.57
11,-29.61,-28.14,-29.61
12,-41.05,-31.01,-41.05
13,110.48,104.01,110.48
14,34.58,31.26,34.58
15,33.31,21.15,33.31
16,22.51,22.88,22.51
17,15.45,18.94,15.45
18,-93.91,-93.93,-93.91
19,1.56,1.88,1.56
20,6.4,9.61,6.3
21,0.17,-5.69,17.12
22,1.85,8.84,0.05
23,68.52,55.62,44.39
24,1.56,2.24,1.56
25,-6.15,-6.83,-2.84
26,-18.89,-18.84,4.65
27,-4.59,3372.87,2421.46
28,-8.1,-0.61,-8.11
29,-4.44,-3.16,-4.46
30,-3.88,-2.37,-4.02
31,-12.99,-21.82,-13.0
32,-34.57,-34.36,-34.59
33,-35.5,-37.69,-35.52
34,-222.45,-170.81,-222.69
35,-134.59,-161.98,-134.59
36,-8.46,-77.29,-82.58
37,-6.76,4.54,-7.01
38,17.05,-19.75,15.64
39,15.27,11.43,15.04
40,9.65,9.64,9.65
41,9.84,9.88,9.84
42,3.63,2.28,68.03
43,-5.46,5.83,-14.28
44,-7.78,-13.14,-13.32
45,2.97,8.44,-17.82
46,-0.29,0.6,-0.55
47,7.81,7.54,7.27
48,20.89,19.52,21.03
49,8.99,8.8,8.8
50,13.99,13.6,13.58
51,3.22,2.56,3.46
52,-1.92,-1.56,-2.14
53,-5.94,-6.42,-6.06
54,16.25,60.02,70.65
55,11.2,14.12,11.2
56,11.16,11.29,11.16
57,4.71,3.03,4.93
58,6.1,7.94,5.88
59,3.62,4.03,3.62
60,0.17,-2.26,0.17
61,80.64,83.71,80.64
62,1.42,1.97,1.42
63,-4.06,-61.69,-97.48
64,14.14,14.14,11111111.11
65,8.11,8.11,11111111.11
66,4.82,4.82,11111111.11
67,11.4,11.4,11111111.11
68,-0.69,-0.69,11111111.11
69,1.75,1.75,11111111.11
70,-1.09,-1.09,11111111.11
71,6.17,6.17,11111111.11
72,2.21,57.95,435.2
73,7.44,0.2,0.54
74,4.85,2.12,4.27
75,4.62,0.51,-1.33
76,6.51,5.78,12.77
77,0.43,1.13,0.11
78,1.47,-0.36,-0.76
79,9.82,-0.6,-1.05
80,16.33,-1.33,8.16
81,28.79,179.33,17.84
82,-34.6,-3.53,-21.36
83,-145.6,-146.47,-133.83
84,-118.38,-110.51,-118.38
85,-22.76,31.74,-22.76
86,-556.99,-554.79,-556.99
87,-112.87,-113.59,-112.87
88,49.97,39.15,50.44
