회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,15264885,15341167,2743103,2743103
(주)CMG제약,058820,2012/12,47073443,47109213,2955172,2955172
(주)CMG제약,058820,2013/12,38258866,38209699,4618718,4618718
(주)CMG제약,058820,2014/12,28359823,28300941,4913103,4913103
(주)CMG제약,058820,2015/12,26330765,26271614,5455617,5455617
(주)CMG제약,058820,2016/12,78772201,78772201,6393756,6393756
(주)CMG제약,058820,2017/12,81227330,81227330,7904518,7904518
(주)CMG제약,058820,2018/12,81370415,81370415,8572582,8572582
(주)CMG제약,058820,2019/12,150584066,150584066,9048933,9048933
(주)DB하이텍,000990,2011/12,265976810,279725559,77112663,77112663
(주)DB하이텍,000990,2012/12,303296307,309144147,79262392,79262392
(주)DB하이텍,000990,2013/12,222316934,222960700,72377687,72377687
(주)DB하이텍,000990,2014/12,246306720,247582371,69179569,69179569
(주)DB하이텍,000990,2015/12,334045125,337757266,83459568,83459568
(주)DB하이텍,000990,2016/12,364126852,368924211,76344778,76344778
(주)DB하이텍,000990,2017/12,348507961,353662841,75018890,75018890
(주)DB하이텍,000990,2018/12,380098326,383378937,42891649,42891649
(주)DB하이텍,000990,2019/12,422531166,426263421,51837841,51837841
(주)ES큐브,050120,2011/12,18786276,34078195,383848,5312339
(주)ES큐브,050120,2012/12,15631243,22707006,410944,4844206
(주)ES큐브,050120,2013/12,32518902,38357211,426328,6264936
(주)ES큐브,050120,2014/12,21477612,46214758,264950,6084161
(주)ES큐브,050120,2015/12,22590313,41180599,397788,6783417
(주)ES큐브,050120,2016/12,43388800,50885945,420745,7447857
(주)ES큐브,050120,2017/12,44761949,51038158,408271,8346570
(주)ES큐브,050120,2018/12,29054833,45061626,560371,9236879
(주)ES큐브,050120,2019/12,24298462,359030693,468610,7648032
(주)HJ중공업,097230,2011/12,2183437000,2391530000,183693000,360584000
(주)HJ중공업,097230,2012/12,2419666000,2274211000,163272000,223809000
(주)HJ중공업,097230,2013/12,1949615000,2788908000,489464000,601781000
(주)HJ중공업,097230,2014/12,1858441000,2647534000,459613000,655829000
(주)HJ중공업,097230,2015/12,1622994000,2429499000,721779000,873978000
(주)HJ중공업,097230,2016/12,1709538000,2372221000,518530000,675011000
(주)HJ중공업,097230,2017/12,1390569000,1894161000,655299000,709533000
(주)HJ중공업,097230,2018/12,1382999000,1720906000,519388000,519198000
(주)HJ중공업,097230,2019/12,1299550000,1300538000,363759000,363759000
(주)MH에탄올,023150,2011/12,26253473,45677724,4542443,9734817
(주)MH에탄올,023150,2012/12,23099890,50009828,5306016,20566965
(주)MH에탄올,023150,2013/12,25868582,43178092,6094594,12486229
(주)MH에탄올,023150,2014/12,28019052,28731429,6986598,6986598
(주)MH에탄올,023150,2015/12,21758814,22500870,3603074,3603074
(주)MH에탄올,023150,2016/12,18955978,19709368,5538540,5538540
(주)MH에탄올,023150,2017/12,18235352,84767703,5502545,5608722
(주)MH에탄올,023150,2018/12,18385099,29576016,6430326,6538026
(주)MH에탄올,023150,2019/12,18130225,32814839,8081383,8173323
(주)SH에너지화학,002360,2011/12,47641848,50355479,11114123,11114123
(주)SH에너지화학,002360,2012/12,48762275,50509179,14210523,14210523
(주)SH에너지화학,002360,2013/12,57773554,59051785,11944305,11944305
(주)SH에너지화학,002360,2014/12,55486941,60325646,13898172,13898172
(주)SH에너지화학,002360,2015/12,63737267,68213722,11416122,11899473
(주)SH에너지화학,002360,2016/12,79584275,84222915,10801243,11572141
