,회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),0,1,2,3
0,(주)CMG제약,58820,Dec-11,15264885,15341167,2743103,2743103,,,,
1,(주)CMG제약,58820,Dec-12,47073443,47109213,2955172,2955172,208.38,207.08,7.73,7.73
2,(주)CMG제약,58820,Dec-13,38258866,38209699,4618718,4618718,-18.73,-18.89,56.29,56.29
3,(주)CMG제약,58820,Dec-14,28359823,28300941,4913103,4913103,-25.87,-25.93,6.37,6.37
4,(주)CMG제약,58820,Dec-15,26330765,26271614,5455617,5455617,-7.15,-7.17,11.04,11.04
5,(주)CMG제약,58820,Dec-16,78772201,78772201,6393756,6393756,199.16,199.84,17.2,17.2
6,(주)CMG제약,58820,Dec-17,81227330,81227330,7904518,7904518,3.12,3.12,23.63,23.63
7,(주)CMG제약,58820,Dec-18,81370415,81370415,8572582,8572582,0.18,0.18,8.45,8.45
8,(주)CMG제약,58820,Dec-19,150584066,150584066,9048933,9048933,85.06,85.06,5.56,5.56
9,(주)DB하이텍,990,Dec-11,265976810,279725559,77112663,77112663,76.63,85.76,752.17,752.17
10,(주)DB하이텍,990,Dec-12,303296307,309144147,79262392,79262392,14.03,10.52,2.79,2.79
11,(주)DB하이텍,990,Dec-13,222316934,222960700,72377687,72377687,-26.7,-27.88,-8.69,-8.69
12,(주)DB하이텍,990,Dec-14,246306720,247582371,69179569,69179569,10.79,11.04,-4.42,-4.42
13,(주)DB하이텍,990,Dec-15,334045125,337757266,83459568,83459568,35.62,36.42,20.64,20.64
14,(주)DB하이텍,990,Dec-16,364126852,368924211,76344778,76344778,9.01,9.23,-8.52,-8.52
15,(주)DB하이텍,990,Dec-17,348507961,353662841,75018890,75018890,-4.29,-4.14,-1.74,-1.74
16,(주)DB하이텍,990,Dec-18,380098326,383378937,42891649,42891649,9.06,8.4,-42.83,-42.83
17,(주)DB하이텍,990,Dec-19,422531166,426263421,51837841,51837841,11.16,11.19,20.86,20.86
18,(주)ES큐브,50120,Dec-11,18786276,34078195,383848,5312339,-95.55,-92.01,-99.26,-89.75
19,(주)ES큐브,50120,Dec-12,15631243,22707006,410944,4844206,-16.79,-33.37,7.06,-8.81
20,(주)ES큐브,50120,Dec-13,32518902,38357211,426328,6264936,108.04,68.92,3.74,29.33
21,(주)ES큐브,50120,Dec-14,21477612,46214758,264950,6084161,-33.95,20.49,-37.85,-2.89
22,(주)ES큐브,50120,Dec-15,22590313,41180599,397788,6783417,5.18,-10.89,50.14,11.49
23,(주)ES큐브,50120,Dec-16,43388800,50885945,420745,7447857,92.07,23.57,5.77,9.8
24,(주)ES큐브,50120,Dec-17,44761949,51038158,408271,8346570,3.16,0.3,-2.96,12.07
25,(주)ES큐브,50120,Dec-18,29054833,45061626,560371,9236879,-35.09,-11.71,37.25,10.67
26,(주)ES큐브,50120,Dec-19,24298462,359030693,468610,7648032,-16.37,696.75,-16.38,-17.2
27,(주)HJ중공업,97230,Dec-11,2183437000,2391530000,183693000,360584000,8885.91,566.11,39099.55,4614.73
28,(주)HJ중공업,97230,Dec-12,2419666000,2274211000,163272000,223809000,10.82,-4.91,-11.12,-37.93
29,(주)HJ중공업,97230,Dec-13,1949615000,2788908000,489464000,601781000,-19.43,22.63,199.78,168.88
30,(주)HJ중공업,97230,Dec-14,1858441000,2647534000,459613000,655829000,-4.68,-5.07,-6.1,8.98
31,(주)HJ중공업,97230,Dec-15,1622994000,2429499000,721779000,873978000,-12.67,-8.24,57.04,33.26
32,(주)HJ중공업,97230,Dec-16,1709538000,2372221000,518530000,675011000,5.33,-2.36,-28.16,-22.77
33,(주)HJ중공업,97230,Dec-17,1390569000,1894161000,655299000,709533000,-18.66,-20.15,26.38,5.11
34,(주)HJ중공업,97230,Dec-18,1382999000,1720906000,519388000,519198000,-0.54,-9.15,-20.74,-26.83
35,(주)HJ중공업,97230,Dec-19,1299550000,1300538000,363759000,363759000,-6.03,-24.43,-29.96,-29.94
36,(주)MH에탄올,23150,Dec-11,26253473,45677724,4542443,9734817,-97.98,-96.49,-98.75,-97.32
37,(주)MH에탄올,23150,Dec-12,23099890,50009828,5306016,20566965,-12.01,9.48,16.81,111.27
38,(주)MH에탄올,23150,Dec-13,25868582,43178092,6094594,12486229,11.99,-13.66,14.86,-39.29
39,(주)MH에탄올,23150,Dec-14,28019052,28731429,6986598,6986598,8.31,-33.46,14.64,-44.05
40,(주)MH에탄올,23150,Dec-15,21758814,22500870,3603074,3603074,-22.34,-21.69,-48.43,-48.43
41,(주)MH에탄올,23150,Dec-16,18955978,19709368,5538540,5538540,-12.88,-12.41,53.72,53.72
42,(주)MH에탄올,23150,Dec-17,18235352,84767703,5502545,5608722,-3.8,330.09,-0.65,1.27
43,(주)MH에탄올,23150,Dec-18,18385099,29576016,6430326,6538026,0.82,-65.11,16.86,16.57
44,(주)MH에탄올,23150,Dec-19,18130225,32814839,8081383,8173323,-1.39,10.95,25.68,25.01
45,(주)SH에너지화학,2360,Dec-11,47641848,50355479,11114123,11114123,162.78,53.45,37.53,35.98
46,(주)SH에너지화학,2360,Dec-12,48762275,50509179,14210523,14210523,2.35,0.31,27.86,27.86
47,(주)SH에너지화학,2360,Dec-13,57773554,59051785,11944305,11944305,18.48,16.91,-15.95,-15.95
48,(주)SH에너지화학,2360,Dec-14,55486941,60325646,13898172,13898172,-3.96,2.16,16.36,16.36
49,(주)SH에너지화학,2360,Dec-15,63737267,68213722,11416122,11899473,14.87,13.08,-17.86,-14.38
50,(주)SH에너지화학,2360,Dec-16,79584275,84222915,10801243,11572141,24.86,23.47,-5.39,-2.75
51,(주)SH에너지화학,2360,Dec-17,79139030,87597479,18561488,19985599,-0.56,4.01,71.85,72.7
52,(주)SH에너지화학,2360,Dec-18,77591484,85758694,20857092,22253999,-1.96,-2.1,12.37,11.35
53,(주)SH에너지화학,2360,Dec-19,74793897,83558867,15888341,16753438,-3.61,-2.57,-23.82,-24.72
54,(주)SIMPAC,9160,Dec-11,151220422,152885455,26353233,26468261,102.18,82.97,65.87,57.99
55,(주)SIMPAC,9160,Dec-12,150643335,152757766,25281451,25350698,-0.38,-0.08,-4.07,-4.22
56,(주)SIMPAC,9160,Dec-13,106534703,108635043,25606746,25646140,-29.28,-28.88,1.29,1.17
57,(주)SIMPAC,9160,Dec-14,118044851,144850453,31897827,40715808,10.8,33.34,24.57,58.76
58,(주)SIMPAC,9160,Dec-15,138074968,174086524,48860928,56208760,16.97,20.18,53.18,38.05
59,(주)SIMPAC,9160,Dec-16,138253630,176778523,41542910,45959349,0.13,1.55,-14.98,-18.23
60,(주)SIMPAC,9160,Dec-17,124800057,150671614,34297232,39255148,-9.73,-14.77,-17.44,-14.59
61,(주)SIMPAC,9160,Dec-18,273219151,310736335,103871365,110042965,118.93,106.23,202.86,180.33
62,(주)SIMPAC,9160,Dec-19,224313300,289195402,69944925,88166502,-17.9,-6.93,-32.66,-19.88
