,회사명,유동자산증가율,재고자산증가율,0,1,2,3
0,(주)CMG제약,17.64,-1.43,11111111.11,11111111.11,11111111.11,11111111.11
1,(주)CMG제약,207.08,7.73,208.38,207.08,7.73,7.73
2,(주)CMG제약,-18.89,56.29,-18.73,-18.89,56.29,56.29
3,(주)CMG제약,-25.93,6.37,-25.87,-25.93,6.37,6.37
4,(주)CMG제약,-7.17,11.04,-7.15,-7.17,11.04,11.04
5,(주)CMG제약,199.84,17.2,199.16,199.84,17.2,17.2
6,(주)CMG제약,3.12,23.63,3.12,3.12,23.63,23.63
7,(주)CMG제약,0.18,8.45,0.18,0.18,8.45,8.45
8,(주)CMG제약,85.06,5.56,85.06,85.06,5.56,5.56
9,(주)DB하이텍,-10.08,-3.28,76.63,85.76,752.17,752.17
10,(주)DB하이텍,10.52,2.79,14.03,10.52,2.79,2.79
11,(주)DB하이텍,-27.88,-8.69,-26.7,-27.88,-8.69,-8.69
12,(주)DB하이텍,11.04,-4.42,10.79,11.04,-4.42,-4.42
13,(주)DB하이텍,36.42,20.64,35.62,36.42,20.64,20.64
14,(주)DB하이텍,9.23,-8.52,9.01,9.23,-8.52,-8.52
15,(주)DB하이텍,-4.14,-1.74,-4.29,-4.14,-1.74,-1.74
16,(주)DB하이텍,8.4,-42.83,9.06,8.4,-42.83,-42.83
17,(주)DB하이텍,11.19,20.86,11.16,11.19,20.86,20.86
18,(주)ES큐브,-92.01,-89.75,-95.55,-92.01,-99.26,-89.75
19,(주)ES큐브,-33.37,-8.81,-16.79,-33.37,7.06,-8.81
20,(주)ES큐브,68.92,29.33,108.04,68.92,3.74,29.33
21,(주)ES큐브,20.49,-2.89,-33.95,20.49,-37.85,-2.89
22,(주)ES큐브,-10.89,11.49,5.18,-10.89,50.14,11.49
23,(주)ES큐브,23.57,9.8,92.07,23.57,5.77,9.8
24,(주)ES큐브,0.3,12.07,3.16,0.3,-2.96,12.07
25,(주)ES큐브,-11.71,10.67,-35.09,-11.71,37.25,10.67
26,(주)ES큐브,696.75,-17.2,-16.37,696.75,-16.38,-17.2
27,(주)HJ중공업,-13.26,23.47,8885.91,566.11,39099.55,4614.73
28,(주)HJ중공업,-4.91,-37.93,10.82,-4.91,-11.12,-37.93
29,(주)HJ중공업,22.63,168.88,-19.43,22.63,199.78,168.88
30,(주)HJ중공업,-5.07,8.98,-4.68,-5.07,-6.1,8.98
31,(주)HJ중공업,-8.24,33.26,-12.67,-8.24,57.04,33.26
32,(주)HJ중공업,-2.36,-22.77,5.33,-2.36,-28.16,-22.77
33,(주)HJ중공업,-20.15,5.11,-18.66,-20.15,26.38,5.11
34,(주)HJ중공업,-9.15,-26.83,-0.54,-9.15,-20.74,-26.83
35,(주)HJ중공업,-24.43,-29.94,-6.03,-24.43,-29.96,-29.94
36,(주)MH에탄올,-0.67,18.3,-97.98,-96.49,-98.75,-97.32
37,(주)MH에탄올,9.48,111.27,-12.01,9.48,16.81,111.27
38,(주)MH에탄올,-13.66,-39.29,11.99,-13.66,14.86,-39.29
39,(주)MH에탄올,-33.46,-44.05,8.31,-33.46,14.64,-44.05
40,(주)MH에탄올,-21.69,-48.43,-22.34,-21.69,-48.43,-48.43
41,(주)MH에탄올,-12.41,53.72,-12.88,-12.41,53.72,53.72
42,(주)MH에탄올,330.09,1.27,-3.8,330.09,-0.65,1.27
43,(주)MH에탄올,-65.11,16.57,0.82,-65.11,16.86,16.57
44,(주)MH에탄올,10.95,25.01,-1.39,10.95,25.68,25.01
45,(주)SH에너지화학,29.29,83.05,162.78,53.45,37.53,35.98
46,(주)SH에너지화학,0.31,27.86,2.35,0.31,27.86,27.86
47,(주)SH에너지화학,16.91,-15.95,18.48,16.91,-15.95,-15.95
48,(주)SH에너지화학,2.16,16.36,-3.96,2.16,16.36,16.36
49,(주)SH에너지화학,13.08,-14.38,14.87,13.08,-17.86,-14.38
50,(주)SH에너지화학,23.47,-2.75,24.86,23.47,-5.39,-2.75
51,(주)SH에너지화학,4.01,72.7,-0.56,4.01,71.85,72.7
52,(주)SH에너지화학,-2.1,11.35,-1.96,-2.1,12.37,11.35
53,(주)SH에너지화학,-2.57,-24.72,-3.61,-2.57,-23.82,-24.72
54,(주)SIMPAC,14.54,25.43,102.18,82.97,65.87,57.99
55,(주)SIMPAC,-0.08,-4.22,-0.38,-0.08,-4.07,-4.22
56,(주)SIMPAC,-28.88,1.17,-29.28,-28.88,1.29,1.17
57,(주)SIMPAC,33.34,58.76,10.8,33.34,24.57,58.76
58,(주)SIMPAC,20.18,38.05,16.97,20.18,53.18,38.05
59,(주)SIMPAC,1.55,-18.23,0.13,1.55,-14.98,-18.23
60,(주)SIMPAC,-14.77,-14.59,-9.73,-14.77,-17.44,-14.59
61,(주)SIMPAC,106.23,180.33,118.93,106.23,202.86,180.33
62,(주)SIMPAC,-6.93,-19.88,-17.9,-6.93,-32.66,-19.88
63,(주)SNT에너지,18.56,183.5,-35.15,-96.16,-77.95,-87.4
64,(주)SNT에너지,11.0,12.87,11.0,11111111.11,12.87,11111111.11
65,(주)SNT에너지,12.29,2.22,12.29,11111111.11,2.22,11111111.11
66,(주)SNT에너지,-5.96,-0.26,-5.96,11111111.11,-0.26,11111111.11
67,(주)SNT에너지,7.96,-39.74,7.96,11111111.11,-39.74,11111111.11
68,(주)SNT에너지,15.05,-36.61,15.05,11111111.11,-36.61,11111111.11
69,(주)SNT에너지,-18.34,-65.71,-18.34,11111111.11,-65.71,11111111.11
70,(주)SNT에너지,-10.06,144.89,-10.06,11111111.11,144.89,11111111.11
71,(주)SNT에너지,30.03,77.87,30.03,11111111.11,77.87,11111111.11
72,(주)SNT홀딩스,9.25,13.58,-68.02,408.25,-100.0,2592.13
73,(주)SNT홀딩스,-4.13,2.08,-37.0,-4.13,11111111.11,2.08
74,(주)SNT홀딩스,7.2,10.92,20.79,7.2,11111111.11,10.92
75,(주)SNT홀딩스,-7.08,-8.75,-4.33,-7.08,11111111.11,-8.75
76,(주)SNT홀딩스,14.66,-5.34,112.49,14.66,11111111.11,-5.34
77,(주)SNT홀딩스,5.66,-11.86,-2.59,5.66,11111111.11,-11.86
78,(주)SNT홀딩스,-1.46,-8.88,0.8,-1.46,11111111.11,-8.88
79,(주)SNT홀딩스,-1.66,2.03,-8.83,-1.66,11111111.11,2.03
80,(주)SNT홀딩스,8.43,4.34,-64.56,8.43,11111111.11,4.34
81,(주)STX,-37.48,-26.6,3029.59,12.94,inf,37.2
82,(주)STX,3.76,-42.09,-13.71,3.76,-54.85,-42.09
83,(주)STX,-46.53,-48.48,-25.29,-46.53,-56.01,-48.48
84,(주)STX,12.6,120.72,13.74,12.6,211.07,120.72
85,(주)STX,0.95,52.33,-8.96,0.95,-3.42,52.33
86,(주)STX,-46.09,-28.51,-33.44,-46.09,-2.57,-28.51
87,(주)STX,-2.17,-19.68,-20.71,-2.17,-26.06,-19.68
88,(주)STX,-11.12,-28.74,-14.88,-11.12,-13.76,-28.74
89,(주)STX,-8.62,-8.22,-1.8,-8.62,0.61,-8.22
90,(주)TCC스틸,5.46,16.95,-44.09,-52.52,-14.59,-32.96
91,(주)TCC스틸,19.05,26.39,3.16,19.05,-0.93,26.39
92,(주)TCC스틸,0.73,16.43,-11.02,0.73,-17.32,16.43
93,(주)TCC스틸,5.99,6.11,-5.93,5.99,-5.75,6.11
94,(주)TCC스틸,2.98,-60.62,43.15,2.98,-22.72,-60.62
95,(주)TCC스틸,-49.71,5.89,-52.0,-49.71,-1.74,5.89
96,(주)TCC스틸,-0.44,1.78,5.06,-0.44,7.1,1.78
97,(주)TCC스틸,26.55,31.13,26.21,26.55,29.54,31.13
98,(주)TCC스틸,-2.09,4.95,-5.24,-2.09,8.21,4.95
99,(주)가비아,23.7,-53.95,-92.41,-80.65,-99.98,-99.98
100,(주)가비아,10.96,1619.44,3.97,10.96,539.85,1619.44
101,(주)가비아,16.92,-62.32,7.77,16.92,-12.35,-62.32
102,(주)가비아,12.05,-100.0,43.97,12.05,-100.0,-100.0
103,(주)가비아,24.61,1254789.63,16.9,24.61,11111111.11,11111111.11
104,(주)가비아,15.32,inf,-29.82,15.32,11111111.11,inf
105,(주)가비아,9.75,22.86,23.53,9.75,11111111.11,22.86
106,(주)가비아,18.07,18.31,21.65,18.07,11111111.11,18.31
107,(주)가비아,11.3,33.36,-26.03,11.3,11111111.11,33.36
108,(주)강스템바이오텍,-87.21,320.3,38.92,-87.21,inf,320.3
109,(주)강스템바이오텍,100.92,74.02,100.92,11111111.11,74.02,11111111.11
110,(주)강스템바이오텍,-35.95,196.02,-35.95,11111111.11,196.02,11111111.11
111,(주)강스템바이오텍,94.06,11.21,81.24,94.06,-70.9,11.21
112,(주)강스템바이오텍,13.09,-86.12,13.76,13.09,-93.16,-86.12
113,(주)강원랜드,8.63,13.87,2127.38,2000.4,6444.41,743.11
114,(주)강원랜드,0.14,-46.54,0.06,0.14,-46.54,-46.54
115,(주)강원랜드,-7.3,24.38,-7.55,-7.3,24.38,24.38
116,(주)강원랜드,26.97,-19.31,30.65,26.97,-19.31,-19.31
117,(주)강원랜드,27.6,34.59,28.64,27.6,34.59,34.59
118,(주)강원랜드,3.38,-19.25,3.62,3.38,-19.25,-19.25
119,(주)강원랜드,19.61,-0.76,19.83,19.61,-0.76,-0.76
120,(주)강원랜드,-18.72,-11.6,-18.85,-18.72,-12.01,-11.6
121,(주)강원랜드,6.77,216.55,6.79,6.77,217.54,216.55
122,(주)강원에너지,102.88,439.86,-97.43,-99.41,9.87,205.54
123,(주)강원에너지,67.86,-4.53,67.86,11111111.11,-4.53,11111111.11
124,(주)강원에너지,-23.52,-45.21,-23.52,11111111.11,-45.21,11111111.11
125,(주)강원에너지,-20.72,-16.77,-20.72,11111111.11,-16.77,11111111.11
126,(주)강원에너지,20.38,-28.95,20.38,11111111.11,-28.95,11111111.11
127,(주)강원에너지,-14.64,-72.83,-15.09,-14.64,-72.83,-72.83
128,(주)강원에너지,26.72,7.8,33.43,26.72,7.8,7.8
129,(주)강원에너지,3.66,50.46,5.32,3.66,50.46,50.46
130,(주)강원에너지,-56.71,-78.15,-56.71,-56.71,-78.15,-78.15
131,(주)갤럭시아에스엠,-19.27,-82.99,-42.92,-19.27,-100.0,-82.99
132,(주)갤럭시아에스엠,0.38,85.5,25.07,0.38,11111111.11,85.5
133,(주)갤럭시아에스엠,-19.61,237.05,-27.63,-19.61,11111111.11,237.05
134,(주)갤럭시아에스엠,34.39,302.64,39.73,34.39,inf,302.64
135,(주)갤럭시아에스엠,66.12,-97.78,84.76,66.12,-100.0,-97.78
136,(주)갤럭시아에스엠,-14.62,-100.0,-17.22,-14.62,11111111.11,-100.0
137,(주)갤럭시아에스엠,-24.2,1254789.63,-23.83,-24.2,11111111.11,11111111.11
138,(주)갤럭시아에스엠,-50.43,1254789.63,-43.9,-50.43,11111111.11,11111111.11
139,(주)갤럭시아에스엠,-4.26,1254789.63,-4.7,-4.26,11111111.11,11111111.11
140,(주)경농,591.58,inf,529.54,591.58,inf,inf
141,(주)경농,51.03,46.14,3.58,51.03,-0.43,46.14
142,(주)경농,-9.11,-3.63,1.71,-9.11,0.8,-3.63
143,(주)경농,7.81,-0.56,1.85,7.81,-0.43,-0.56
144,(주)경농,15.42,17.43,20.25,15.42,20.49,17.43
145,(주)경농,-3.18,0.37,2.27,-3.18,5.99,0.37
146,(주)경농,4.73,3.3,1.17,4.73,2.73,3.3
147,(주)경농,4.0,1.06,8.4,4.0,-0.29,1.06
148,(주)경농,8.85,10.54,11.59,8.85,10.94,10.54
149,(주)경동나비엔,9.25,30.81,-20.71,-30.0,-59.0,-54.54
150,(주)경동나비엔,12.24,-2.07,12.05,12.24,-18.6,-2.07
