회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,27548539,27305198
(주)CMG제약,058820,2012/12,56988604,57108035
(주)CMG제약,058820,2013/12,55961620,55912563
(주)CMG제약,058820,2014/12,58127098,58068326
(주)CMG제약,058820,2015/12,56591972,56532821
(주)CMG제약,058820,2016/12,110979867,110979867
(주)CMG제약,058820,2017/12,109568153,109568153
(주)CMG제약,058820,2018/12,114379880,114379880
(주)CMG제약,058820,2019/12,192243166,192243166
(주)DB하이텍,000990,2011/12,1183957429,1199043869
(주)DB하이텍,000990,2012/12,1149069244,1157755031
(주)DB하이텍,000990,2013/12,1049494642,1058391832
(주)DB하이텍,000990,2014/12,1001959816,984876636
(주)DB하이텍,000990,2015/12,1005673854,984643712
(주)DB하이텍,000990,2016/12,1006370876,986788572
(주)DB하이텍,000990,2017/12,977575054,993950720
(주)DB하이텍,000990,2018/12,1050696487,1066533840
(주)DB하이텍,000990,2019/12,1089400761,1088889810
(주)ES큐브,050120,2011/12,45233434,55477032
(주)ES큐브,050120,2012/12,44676182,46281660
(주)ES큐브,050120,2013/12,47509654,47137573
(주)ES큐브,050120,2014/12,44914173,56611836
(주)ES큐브,050120,2015/12,47123684,55620280
(주)ES큐브,050120,2016/12,104459992,105164626
(주)ES큐브,050120,2017/12,104850192,105892131
(주)ES큐브,050120,2018/12,108481764,112430896
(주)ES큐브,050120,2019/12,136065488,463958680
(주)HJ중공업,097230,2011/12,5857119000,7036680000
(주)HJ중공업,097230,2012/12,5938108000,6585093000
(주)HJ중공업,097230,2013/12,5839633000,6683379000
(주)HJ중공업,097230,2014/12,5469810000,6470284000
(주)HJ중공업,097230,2015/12,4638381000,5914637000
(주)HJ중공업,097230,2016/12,3921561000,5256464000
(주)HJ중공업,097230,2017/12,3312303000,4206655000
(주)HJ중공업,097230,2018/12,2388369000,2733620000
(주)HJ중공업,097230,2019/12,2465650000,2470222000
(주)MH에탄올,023150,2011/12,135927085,134206851
(주)MH에탄올,023150,2012/12,139200817,134385813
(주)MH에탄올,023150,2013/12,122520742,129697936
(주)MH에탄올,023150,2014/12,85253876,85534839
(주)MH에탄올,023150,2015/12,78691328,78996052
(주)MH에탄올,023150,2016/12,72025138,72339673
(주)MH에탄올,023150,2017/12,107437079,500180086
(주)MH에탄올,023150,2018/12,109656889,440177523
(주)MH에탄올,023150,2019/12,101058662,451474451
(주)SH에너지화학,002360,2011/12,102383199,104710740
(주)SH에너지화학,002360,2012/12,102492810,103690070
(주)SH에너지화학,002360,2013/12,109984767,110488951
(주)SH에너지화학,002360,2014/12,109098264,110741407
(주)SH에너지화학,002360,2015/12,114048206,115520726
(주)SH에너지화학,002360,2016/12,122956894,124488724
(주)SH에너지화학,002360,2017/12,123261552,125312154
(주)SH에너지화학,002360,2018/12,120895795,122434685
(주)SH에너지화학,002360,2019/12,121126250,123415832
(주)SIMPAC,009160,2011/12,296953131,310879328
(주)SIMPAC,009160,2012/12,307366684,318665505
(주)SIMPAC,009160,2013/12,349836891,361985890
(주)SIMPAC,009160,2014/12,329325876,381939281
(주)SIMPAC,009160,2015/12,369348917,422833445
(주)SIMPAC,009160,2016/12,366245273,417865468
(주)SIMPAC,009160,2017/12,343005145,381158251
(주)SIMPAC,009160,2018/12,628334175,681750819
(주)SIMPAC,009160,2019/12,608693104,679145850
(주)SNT에너지,100840,2011/12,276511841,
(주)SNT에너지,100840,2012/12,292802033,
(주)SNT에너지,100840,2013/12,311675279,
(주)SNT에너지,100840,2014/12,304511816,
(주)SNT에너지,100840,2015/12,316196096,
(주)SNT에너지,100840,2016/12,348042346,
(주)SNT에너지,100840,2017/12,300266693,
(주)SNT에너지,100840,2018/12,280991534,
(주)SNT에너지,100840,2019/12,331391237,333897235
(주)SNT홀딩스,036530,2011/12,388123974,2124828265
(주)SNT홀딩스,036530,2012/12,388964716,2074903906
(주)SNT홀딩스,036530,2013/12,397336142,2149176237
(주)SNT홀딩스,036530,2014/12,399244416,2039388864
(주)SNT홀딩스,036530,2015/12,430584006,2169311305
(주)SNT홀딩스,036530,2016/12,427001710,2210178425
(주)SNT홀딩스,036530,2017/12,425435423,2146174938
(주)SNT홀딩스,036530,2018/12,422804813,2113834573
(주)SNT홀딩스,036530,2019/12,417172874,2236679025
(주)STX,011810,2011/12,3302248000,5234175000
(주)STX,011810,2012/12,3226878000,5067029000
(주)STX,011810,2013/12,1086567000,1342520000
(주)STX,011810,2014/12,1070433000,1255002000
(주)STX,011810,2015/12,1057543000,1267224000
(주)STX,011810,2016/12,627686000,707709000
(주)STX,011810,2017/12,520393000,627542000
(주)STX,011810,2018/12,446758000,554061000
(주)STX,011810,2019/12,462734000,560107000
(주)TCC스틸,002710,2011/12,407743559,454329510
(주)TCC스틸,002710,2012/12,438642951,547013976
(주)TCC스틸,002710,2013/12,444204925,543708595
(주)TCC스틸,002710,2014/12,461297588,551000563
(주)TCC스틸,002710,2015/12,330651742,376394571
(주)TCC스틸,002710,2016/12,250878191,282914735
(주)TCC스틸,002710,2017/12,248896237,278692540
(주)TCC스틸,002710,2018/12,268135677,304781579
(주)TCC스틸,002710,2019/12,270265082,314210087
(주)가비아,079940,2011/12,37295822,64954440
(주)가비아,079940,2012/12,51795749,85244515
(주)가비아,079940,2013/12,52151784,91231294
(주)가비아,079940,2014/12,55984243,98544072
(주)가비아,079940,2015/12,57657418,105081568
(주)가비아,079940,2016/12,61160981,125796754
(주)가비아,079940,2017/12,64986436,133382584
(주)가비아,079940,2018/12,69315988,151440505
(주)가비아,079940,2019/12,82964911,199916131
(주)강스템바이오텍,217730,2015/12,24982626,
(주)강스템바이오텍,217730,2016/12,47441769,
(주)강스템바이오텍,217730,2017/12,44508729,47198979
(주)강스템바이오텍,217730,2018/12,66184838,73194018
(주)강스템바이오텍,217730,2019/12,98625925,113643697
(주)강원랜드,035250,2011/12,2730283806,2711401782
(주)강원랜드,035250,2012/12,2915385756,2906655321
(주)강원랜드,035250,2013/12,3105430200,3102036846
(주)강원랜드,035250,2014/12,3380461682,3375127289
(주)강원랜드,035250,2015/12,3688060027,3690791830
(주)강원랜드,035250,2016/12,3975979890,3978987574
(주)강원랜드,035250,2017/12,4182527382,4185657487
(주)강원랜드,035250,2018/12,4229630541,4231241354
(주)강원랜드,035250,2019/12,4436461953,4438119306
(주)강원에너지,114190,2011/11,53719067,
(주)강원에너지,114190,2012/12,89258208,
(주)강원에너지,114190,2013/12,72441333,
(주)강원에너지,114190,2014/12,67037639,
(주)강원에너지,114190,2015/12,80939019,85457457
(주)강원에너지,114190,2016/12,70850137,77186606
(주)강원에너지,114190,2017/12,87781416,93179394
(주)강원에너지,114190,2018/12,89619750,93845576
(주)강원에너지,114190,2019/12,55106032,56602063
(주)갤럭시아에스엠,011420,2011/12,40711969,45110356
(주)갤럭시아에스엠,011420,2012/12,40169876,43979072
(주)갤럭시아에스엠,011420,2013/12,34158874,37636664
(주)갤럭시아에스엠,011420,2014/12,40528250,45274078
(주)갤럭시아에스엠,011420,2015/12,67196553,68686992
(주)갤럭시아에스엠,011420,2016/12,55825556,58444606
(주)갤럭시아에스엠,011420,2017/12,48958128,49831109
(주)갤럭시아에스엠,011420,2018/12,33337692,33253331
(주)갤럭시아에스엠,011420,2019/12,28241598,28241598
(주)경농,002100,2011/12,176741869,173774102
(주)경농,002100,2012/12,203467698,269412832
(주)경농,002100,2013/12,214988593,255984725
(주)경농,002100,2014/12,230870852,284623063
(주)경농,002100,2015/12,265109291,316341853
(주)경농,002100,2016/12,266622289,320915151
(주)경농,002100,2017/12,268967010,335873898
(주)경농,002100,2018/12,285031873,357260541
(주)경농,002100,2019/12,297197088,370874091
(주)경동나비엔,009450,2011/12,224373470,263211016
(주)경동나비엔,009450,2012/12,254627468,299729837
(주)경동나비엔,009450,2013/12,301475800,354779867
(주)경동나비엔,009450,2014/12,331089242,401658957
(주)경동나비엔,009450,2015/12,324848990,402084368
(주)경동나비엔,009450,2016/12,347643876,429754702
(주)경동나비엔,009450,2017/12,391400492,503697210
(주)경동나비엔,009450,2018/12,440513661,583595818
(주)경동나비엔,009450,2019/12,461607017,609808343
(주)경동도시가스,267290,2017/12,707917077,710280194
(주)경동도시가스,267290,2018/12,775880913,778269612
(주)경동도시가스,267290,2019/12,747453908,749999474
(주)경동인베스트,012320,2011/12,941176098,1001490869
(주)경동인베스트,012320,2012/12,1168400020,1209924561
(주)경동인베스트,012320,2013/12,1161427092,1205008353
(주)경동인베스트,012320,2014/12,1101071366,1320789066
(주)경동인베스트,012320,2015/12,926392697,1167819522
(주)경동인베스트,012320,2016/12,903818865,1126122628
(주)경동인베스트,012320,2017/12,318031347,599276331
(주)경동인베스트,012320,2018/12,318776653,592002536
(주)경동인베스트,012320,2019/12,316572482,605467383
(주)경방,000050,2011/12,1331930968,1352324332
(주)경방,000050,2012/12,1301719900,1335039930
(주)경방,000050,2013/12,1261257414,1296989142
(주)경방,000050,2014/12,1275008413,1301841379
(주)경방,000050,2015/12,1259512344,1318643312
(주)경방,000050,2016/12,1237024388,1301910960
(주)경방,000050,2017/12,1199063663,1274042237
(주)경방,000050,2018/12,1226545382,1301792841
(주)경방,000050,2019/12,1296265431,1370742491
(주)경보제약,214390,2015/12,195488457,
(주)경보제약,214390,2016/12,203735980,
(주)경보제약,214390,2017/12,204869399,
(주)경보제약,214390,2018/12,221622993,
(주)경보제약,214390,2019/12,237816742,
(주)경인양행,012610,2011/12,245825940,319596954
(주)경인양행,012610,2012/12,241045608,287452678
(주)경인양행,012610,2013/12,274570963,316944796
(주)경인양행,012610,2014/12,267331084,313039125
(주)경인양행,012610,2015/12,273778266,326687437
(주)경인양행,012610,2016/12,290035389,344298515
(주)경인양행,012610,2017/12,296909084,357951470
(주)경인양행,012610,2018/12,344908257,412996589
(주)경인양행,012610,2019/12,381063538,472081003
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,115881620,
(주)고려시멘트,198440,2018/12,127536833,
(주)고려시멘트,198440,2019/12,127035573,
(주)고영테크놀러지,098460,2011/12,87017886,87006201
(주)고영테크놀러지,098460,2012/12,103019642,103351965
(주)고영테크놀러지,098460,2013/12,121329325,120951617
(주)고영테크놀러지,098460,2014/12,141873467,141720465
(주)고영테크놀러지,098460,2015/12,160170850,158857627
(주)고영테크놀러지,098460,2016/12,194332855,195121241
(주)고영테크놀러지,098460,2017/12,205696350,205207385
(주)고영테크놀러지,098460,2018/12,279985447,279059436
(주)고영테크놀러지,098460,2019/12,308020011,305481184
(주)골드앤에스,035290,2011/12,46347129,46677146
(주)골드앤에스,035290,2012/12,51062616,51950606
(주)골드앤에스,035290,2013/12,34508798,51442505
(주)골드앤에스,035290,2014/12,28884288,46528474
(주)골드앤에스,035290,2015/12,23597566,24102094
(주)골드앤에스,035290,2016/12,18296141,18671644
(주)골드앤에스,035290,2017/12,16994788,17173934
(주)골드앤에스,035290,2018/12,42472631,42472631
(주)골드앤에스,035290,2019/12,16096170,16096170
