,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),0,1
0,(주)CMG제약,58820,Dec-11,27548539,27305198,,
1,(주)CMG제약,58820,Dec-12,56988604,57108035,106.87,109.15
2,(주)CMG제약,58820,Dec-13,55961620,55912563,-1.8,-2.09
3,(주)CMG제약,58820,Dec-14,58127098,58068326,3.87,3.86
4,(주)CMG제약,58820,Dec-15,56591972,56532821,-2.64,-2.64
5,(주)CMG제약,58820,Dec-16,110979867,110979867,96.11,96.31
6,(주)CMG제약,58820,Dec-17,109568153,109568153,-1.27,-1.27
7,(주)CMG제약,58820,Dec-18,114379880,114379880,4.39,4.39
8,(주)CMG제약,58820,Dec-19,192243166,192243166,68.07,68.07
9,(주)DB하이텍,990,Dec-11,1183957429,1199043869,515.86,523.71
10,(주)DB하이텍,990,Dec-12,1149069244,1157755031,-2.95,-3.44
11,(주)DB하이텍,990,Dec-13,1049494642,1058391832,-8.67,-8.58
12,(주)DB하이텍,990,Dec-14,1001959816,984876636,-4.53,-6.95
13,(주)DB하이텍,990,Dec-15,1005673854,984643712,0.37,-0.02
14,(주)DB하이텍,990,Dec-16,1006370876,986788572,0.07,0.22
15,(주)DB하이텍,990,Dec-17,977575054,993950720,-2.86,0.73
16,(주)DB하이텍,990,Dec-18,1050696487,1066533840,7.48,7.3
17,(주)DB하이텍,990,Dec-19,1089400761,1088889810,3.68,2.1
18,(주)ES큐브,50120,Dec-11,45233434,55477032,-95.85,-94.91
19,(주)ES큐브,50120,Dec-12,44676182,46281660,-1.23,-16.58
20,(주)ES큐브,50120,Dec-13,47509654,47137573,6.34,1.85
21,(주)ES큐브,50120,Dec-14,44914173,56611836,-5.46,20.1
22,(주)ES큐브,50120,Dec-15,47123684,55620280,4.92,-1.75
23,(주)ES큐브,50120,Dec-16,104459992,105164626,121.67,89.08
24,(주)ES큐브,50120,Dec-17,104850192,105892131,0.37,0.69
25,(주)ES큐브,50120,Dec-18,108481764,112430896,3.46,6.17
26,(주)ES큐브,50120,Dec-19,136065488,463958680,25.43,312.66
27,(주)HJ중공업,97230,Dec-11,5857119000,7036680000,4204.63,1416.66
28,(주)HJ중공업,97230,Dec-12,5938108000,6585093000,1.38,-6.42
29,(주)HJ중공업,97230,Dec-13,5839633000,6683379000,-1.66,1.49
30,(주)HJ중공업,97230,Dec-14,5469810000,6470284000,-6.33,-3.19
31,(주)HJ중공업,97230,Dec-15,4638381000,5914637000,-15.2,-8.59
32,(주)HJ중공업,97230,Dec-16,3921561000,5256464000,-15.45,-11.13
33,(주)HJ중공업,97230,Dec-17,3312303000,4206655000,-15.54,-19.97
34,(주)HJ중공업,97230,Dec-18,2388369000,2733620000,-27.89,-35.02
35,(주)HJ중공업,97230,Dec-19,2465650000,2470222000,3.24,-9.64
36,(주)MH에탄올,23150,Dec-11,135927085,134206851,-94.49,-94.57
37,(주)MH에탄올,23150,Dec-12,139200817,134385813,2.41,0.13
38,(주)MH에탄올,23150,Dec-13,122520742,129697936,-11.98,-3.49
39,(주)MH에탄올,23150,Dec-14,85253876,85534839,-30.42,-34.05
40,(주)MH에탄올,23150,Dec-15,78691328,78996052,-7.7,-7.64
41,(주)MH에탄올,23150,Dec-16,72025138,72339673,-8.47,-8.43
42,(주)MH에탄올,23150,Dec-17,107437079,500180086,49.17,591.43
43,(주)MH에탄올,23150,Dec-18,109656889,440177523,2.07,-12
44,(주)MH에탄올,23150,Dec-19,101058662,451474451,-7.84,2.57
45,(주)SH에너지화학,2360,Dec-11,102383199,104710740,1.31,-76.81
46,(주)SH에너지화학,2360,Dec-12,102492810,103690070,0.11,-0.97
47,(주)SH에너지화학,2360,Dec-13,109984767,110488951,7.31,6.56
48,(주)SH에너지화학,2360,Dec-14,109098264,110741407,-0.81,0.23
49,(주)SH에너지화학,2360,Dec-15,114048206,115520726,4.54,4.32
50,(주)SH에너지화학,2360,Dec-16,122956894,124488724,7.81,7.76
51,(주)SH에너지화학,2360,Dec-17,123261552,125312154,0.25,0.66
52,(주)SH에너지화학,2360,Dec-18,120895795,122434685,-1.92,-2.3
53,(주)SH에너지화학,2360,Dec-19,121126250,123415832,0.19,0.8
54,(주)SIMPAC,9160,Dec-11,296953131,310879328,145.16,151.9
55,(주)SIMPAC,9160,Dec-12,307366684,318665505,3.51,2.5
56,(주)SIMPAC,9160,Dec-13,349836891,361985890,13.82,13.59
57,(주)SIMPAC,9160,Dec-14,329325876,381939281,-5.86,5.51
58,(주)SIMPAC,9160,Dec-15,369348917,422833445,12.15,10.71
59,(주)SIMPAC,9160,Dec-16,366245273,417865468,-0.84,-1.17
60,(주)SIMPAC,9160,Dec-17,343005145,381158251,-6.35,-8.78
61,(주)SIMPAC,9160,Dec-18,628334175,681750819,83.19,78.86
62,(주)SIMPAC,9160,Dec-19,608693104,679145850,-3.13,-0.38
63,(주)SNT에너지,100840,Dec-11,276511841,11111111.11,-54.57,-98.36
64,(주)SNT에너지,100840,Dec-12,292802033,11111111.11,5.89,
65,(주)SNT에너지,100840,Dec-13,311675279,11111111.11,6.45,
66,(주)SNT에너지,100840,Dec-14,304511816,11111111.11,-2.3,
67,(주)SNT에너지,100840,Dec-15,316196096,11111111.11,3.84,
68,(주)SNT에너지,100840,Dec-16,348042346,11111111.11,10.07,
69,(주)SNT에너지,100840,Dec-17,300266693,11111111.11,-13.73,
70,(주)SNT에너지,100840,Dec-18,280991534,11111111.11,-6.42,
71,(주)SNT에너지,100840,Dec-19,331391237,333897235,17.94,
72,(주)SNT홀딩스,36530,Dec-11,388123974,2124828265,17.12,536.37
73,(주)SNT홀딩스,36530,Dec-12,388964716,2074903906,0.22,-2.35
74,(주)SNT홀딩스,36530,Dec-13,397336142,2149176237,2.15,3.58
75,(주)SNT홀딩스,36530,Dec-14,399244416,2039388864,0.48,-5.11
76,(주)SNT홀딩스,36530,Dec-15,430584006,2169311305,7.85,6.37
77,(주)SNT홀딩스,36530,Dec-16,427001710,2210178425,-0.83,1.88
78,(주)SNT홀딩스,36530,Dec-17,425435423,2146174938,-0.37,-2.9
79,(주)SNT홀딩스,36530,Dec-18,422804813,2113834573,-0.62,-1.51
80,(주)SNT홀딩스,36530,Dec-19,417172874,2236679025,-1.33,5.81
81,(주)STX,11810,Dec-11,3302248000,5234175000,691.58,134.02
82,(주)STX,11810,Dec-12,3226878000,5067029000,-2.28,-3.19
83,(주)STX,11810,Dec-13,1086567000,1342520000,-66.33,-73.5
84,(주)STX,11810,Dec-14,1070433000,1255002000,-1.48,-6.52
85,(주)STX,11810,Dec-15,1057543000,1267224000,-1.2,0.97
86,(주)STX,11810,Dec-16,627686000,707709000,-40.65,-44.15
87,(주)STX,11810,Dec-17,520393000,627542000,-17.09,-11.33
88,(주)STX,11810,Dec-18,446758000,554061000,-14.15,-11.71
