,회사명,총자본증가율,0,1
0,(주)CMG제약,1.98,11111111.11,11111111.11
1,(주)CMG제약,109.15,106.87,109.15
2,(주)CMG제약,-2.09,-1.8,-2.09
3,(주)CMG제약,3.86,3.87,3.86
4,(주)CMG제약,-2.64,-2.64,-2.64
5,(주)CMG제약,96.31,96.11,96.31
6,(주)CMG제약,-1.27,-1.27,-1.27
7,(주)CMG제약,4.39,4.39,4.39
8,(주)CMG제약,68.07,68.07,68.07
9,(주)DB하이텍,-13.19,515.86,523.71
10,(주)DB하이텍,-3.44,-2.95,-3.44
11,(주)DB하이텍,-8.58,-8.67,-8.58
12,(주)DB하이텍,-6.95,-4.53,-6.95
13,(주)DB하이텍,-0.02,0.37,-0.02
14,(주)DB하이텍,0.22,0.07,0.22
15,(주)DB하이텍,0.73,-2.86,0.73
16,(주)DB하이텍,7.3,7.48,7.3
17,(주)DB하이텍,2.1,3.68,2.1
18,(주)ES큐브,-94.91,-95.85,-94.91
19,(주)ES큐브,-16.58,-1.23,-16.58
20,(주)ES큐브,1.85,6.34,1.85
21,(주)ES큐브,20.1,-5.46,20.1
22,(주)ES큐브,-1.75,4.92,-1.75
23,(주)ES큐브,89.08,121.67,89.08
24,(주)ES큐브,0.69,0.37,0.69
25,(주)ES큐브,6.17,3.46,6.17
26,(주)ES큐브,312.66,25.43,312.66
27,(주)HJ중공업,-6.49,4204.63,1416.66
28,(주)HJ중공업,-6.42,1.38,-6.42
29,(주)HJ중공업,1.49,-1.66,1.49
30,(주)HJ중공업,-3.19,-6.33,-3.19
31,(주)HJ중공업,-8.59,-15.2,-8.59
32,(주)HJ중공업,-11.13,-15.45,-11.13
33,(주)HJ중공업,-19.97,-15.54,-19.97
34,(주)HJ중공업,-35.02,-27.89,-35.02
35,(주)HJ중공업,-9.64,3.24,-9.64
36,(주)MH에탄올,-0.49,-94.49,-94.57
37,(주)MH에탄올,0.13,2.41,0.13
38,(주)MH에탄올,-3.49,-11.98,-3.49
39,(주)MH에탄올,-34.05,-30.42,-34.05
40,(주)MH에탄올,-7.64,-7.7,-7.64
41,(주)MH에탄올,-8.43,-8.47,-8.43
42,(주)MH에탄올,591.43,49.17,591.43
43,(주)MH에탄올,-12.0,2.07,-12.0
44,(주)MH에탄올,2.57,-7.84,2.57
45,(주)SH에너지화학,9.51,1.31,-76.81
46,(주)SH에너지화학,-0.97,0.11,-0.97
47,(주)SH에너지화학,6.56,7.31,6.56
48,(주)SH에너지화학,0.23,-0.81,0.23
49,(주)SH에너지화학,4.32,4.54,4.32
50,(주)SH에너지화학,7.76,7.81,7.76
51,(주)SH에너지화학,0.66,0.25,0.66
52,(주)SH에너지화학,-2.3,-1.92,-2.3
53,(주)SH에너지화학,0.8,0.19,0.8
54,(주)SIMPAC,15.37,145.16,151.9
55,(주)SIMPAC,2.5,3.51,2.5
56,(주)SIMPAC,13.59,13.82,13.59
57,(주)SIMPAC,5.51,-5.86,5.51
58,(주)SIMPAC,10.71,12.15,10.71
59,(주)SIMPAC,-1.17,-0.84,-1.17
60,(주)SIMPAC,-8.78,-6.35,-8.78
61,(주)SIMPAC,78.86,83.19,78.86
62,(주)SIMPAC,-0.38,-3.13,-0.38
63,(주)SNT에너지,8.9,-54.57,-98.36
64,(주)SNT에너지,5.89,5.89,11111111.11
65,(주)SNT에너지,6.45,6.45,11111111.11
66,(주)SNT에너지,-2.3,-2.3,11111111.11
67,(주)SNT에너지,3.84,3.84,11111111.11
68,(주)SNT에너지,10.07,10.07,11111111.11
69,(주)SNT에너지,-13.73,-13.73,11111111.11
70,(주)SNT에너지,-6.42,-6.42,11111111.11
71,(주)SNT에너지,17.94,17.94,11111111.11
72,(주)SNT홀딩스,4.21,17.12,536.37
73,(주)SNT홀딩스,-2.35,0.22,-2.35
74,(주)SNT홀딩스,3.58,2.15,3.58
75,(주)SNT홀딩스,-5.11,0.48,-5.11
76,(주)SNT홀딩스,6.37,7.85,6.37
77,(주)SNT홀딩스,1.88,-0.83,1.88
78,(주)SNT홀딩스,-2.9,-0.37,-2.9
79,(주)SNT홀딩스,-1.51,-0.62,-1.51
80,(주)SNT홀딩스,5.81,-1.33,5.81
81,(주)STX,-14.09,691.58,134.02
82,(주)STX,-3.19,-2.28,-3.19
83,(주)STX,-73.5,-66.33,-73.5
