회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원)
(주)CMG제약,58820,11-Dec,17751704,17751704,27548539,27305198,10325799,10325799,2743103,2743103,11050219,11050219,9652599,9707759,3372462,3385786,18290915,18034249,15264885,15341167,7620349,7633673,9257624,9270949
(주)CMG제약,58820,12-Dec,16255389,16255389,56988604,57108035,11648690,11648690,2955172,2955172,11362566,11362566,9264142,9307482,4386179,4414147,31602540,31590685,47073443,47109213,6665126,6793095,25386064,25517350
(주)CMG제약,58820,13-Dec,20322140,20402140,55961620,55912563,12506817,12506817,4618718,4618718,13999415,13999415,10805092,10805092,5421230,5423103,49048213,48997281,38258866,38209699,5498201,5500075,6913407,6915281
(주)CMG제약,58820,14-Dec,22752584,22752584,58127098,58068326,14318048,14318048,4913103,4913103,16787073,16787073,18833775,18833775,7033905,7034077,49067039,49002644,28359823,28300941,8713579,8719202,9060059,9065682
(주)CMG제약,58820,15-Dec,27041894,27041894,56591972,56532821,17237814,17237814,5455617,5455617,15838056,15838057,17822468,17822468,8667461,8667854,46872705,46806888,26330765,26271614,8843328,8849994,9719267,9725933
(주)CMG제약,58820,16-Dec,32969825,32969825,110979867,110979867,19663389,19663389,6393756,6393756,14435808,14435808,16905814,16905814,8995510,8995511,101107635,101107635,78772201,78772201,9136755,9136755,9872232,9872232
(주)CMG제약,58820,17-Dec,41535588,41535588,109568153,109568153,23497552,23497552,7904518,7904518,16768648,16768648,16182518,16182518,10704110,10704110,97944019,97944019,81227330,81227330,10884321,10884321,11624134,11624134
(주)CMG제약,58820,18-Dec,49864782,49864782,114379880,114379880,27124841,27124841,8572582,8572582,19030822,19030822,17268535,17268535,8300621,8300621,103981846,103981846,81370415,81370415,8495060,8495060,10398033,10398033
(주)CMG제약,58820,19-Dec,58622681,58622681,192243166,192243166,29700050,29700050,9048933,9048933,21676515,21676515,24119403,24119403,9030427,9030427,180158283,180158283,150584066,150584066,9306387,9306387,12084883,12084883
(주)DB하이텍,990,11-Dec,534317238,552216245,1183957429,1199043869,443140034,460440945,77112663,77112663,71061975,79301000,758179817,758902417,62277691,61197483,291709498,308061688,265976810,279725559,796794129,794704783,892247931,890982181
(주)DB하이텍,990,12-Dec,583901597,590786488,1149069244,1157755031,486953432,494003057,79262392,79262392,74994000,69176000,684941380,685389046,71695379,63775871,274553219,290893335,303296307,309144147,563352691,555433290,874516025,866861695
(주)DB하이텍,990,13-Dec,493752028,493752028,1049494642,1058391832,404500718,404500718,72377687,72377687,59836026,59941499,635765049,636040366,67412303,67568051,197287466,204756748,222316934,222960700,476710357,476867874,852207175,853635085
(주)DB하이텍,990,14-Dec,567718224,567718224,1001959816,984876636,430813375,430813375,69179569,69179569,83154227,83353090,591653498,591787281,91537245,91824501,136104062,120702734,246306720,247582371,376149526,376436760,865855755,864173902
(주)DB하이텍,990,15-Dec,666594987,666594987,1005673854,984643712,436915515,436915515,83459568,83459568,91970866,92342122,533113708,533140340,96554650,98490290,277662952,254057491,334045125,337757266,242109386,244044785,728010902,730586221
(주)DB하이텍,990,16-Dec,773140180,773140180,1006370876,986788572,483129939,483129939,76344778,76344778,110311839,110311838,547687840,547700934,102822560,105107737,364450453,341917315,364126852,368924211,271946015,274231115,641920423,644871257
(주)DB하이텍,990,17-Dec,679737744,679737744,977575054,993950720,426170592,426170592,75018890,75018890,85713072,85709910,555556192,555566835,70273054,72397551,441546809,455797946,348507961,353662841,143100665,145225195,536028245,538152775
(주)DB하이텍,990,18-Dec,669279136,669279136,1050696487,1066533840,453942755,453942755,42891649,42891649,98855130,98855166,597563521,597570491,95136095,95138710,542557222,558391531,380098326,383378937,156793407,156796450,508139265,508142309
(주)DB하이텍,990,19-Dec,807416423,807416423,1089400761,1088889810,513292637,513292637,51837841,51837841,102020672,102020672,616562743,616573800,92274387,92417443,645305205,644650730,422531166,426263421,219572033,219715556,444095557,444239080
(주)ES큐브,50120,11-Dec,41700477,53379952,45233434,55477032,29104839,38476771,383848,5312339,2102205,12624603,1407274,4313834,3902013,13967619,39144414,39245830,18786276,34078195,4839823,14801430,6089019,16231202
(주)ES큐브,50120,12-Dec,44178050,55971147,44676182,46281660,31651298,40290541,410944,4844206,3047374,4718926,1395951,3181598,2333738,3515892,39881477,39859681,15631243,22707006,3228112,4802996,4794705,6421979
(주)ES큐브,50120,13-Dec,45823196,58597361,47509654,47137573,34023346,44088670,426328,6264936,2846445,4935099,914811,2177498,2333915,3120879,43712820,42372440,32518902,38357211,2690545,3630549,3796835,4765132
(주)ES큐브,50120,14-Dec,37188072,44459581,44914173,56611836,30573957,34936541,264950,6084161,3093857,10542241,640405,2299195,2881402,3136731,41226335,49628091,21477612,46214758,3055060,6002775,3687837,6983745
(주)ES큐브,50120,15-Dec,36887119,42152967,47123684,55620280,30735643,30433006,397788,6783417,2055434,7805190,596347,1968118,1621634,3266665,44872641,49654460,22590313,41180599,1792096,5378364,2251042,5965820
(주)ES큐브,50120,16-Dec,34818205,34289385,104459992,105164626,28468888,24454448,420745,7447857,2820018,4142905,4673186,7063781,3321423,2158124,69832373,71696122,43388800,50885945,4569554,3406254,34627619,33468504
(주)ES큐브,50120,17-Dec,37104908,35745794,104850192,105892131,30497256,26057940,408271,8346570,2573314,3886201,7506218,11623688,2885636,2502478,71398467,72816880,44761949,51038158,4085637,3702478,33451725,33075251
(주)ES큐브,50120,18-Dec,31308873,33763508,108481764,112430896,25693835,26036057,560371,9236879,3016721,4655667,10880733,15202081,2919257,2048498,66518631,70748607,29054833,45061626,37696219,37613190,41963133,41682289
(주)ES큐브,50120,19-Dec,28527284,43708239,136065488,463958680,22708418,35510791,468610,7648032,2610301,212246240,10576512,17333381,4566609,173726625,53986331,74038512,24298462,359030693,54789915,230135454,82079157,389920168
(주)HJ중공업,97230,11-Dec,2316017000,2891499000,5857119000,7036680000,2156842000,2664558000,183693000,360584000,831799000,283789000,1427510000,3144355000,564095000,864670000,1874877000,1866848000,2183437000,2391530000,1800533000,2482598000,3982242000,5169832000
(주)HJ중공업,97230,12-Dec,1980761000,2549319000,5938108000,6585093000,1833445000,2358260000,163272000,223809000,955409000,268734000,1343556000,2901480000,567106000,695526000,1863529000,1715516000,2419666000,2274211000,2125376000,2448324000,4074579000,4869577000
(주)HJ중공업,97230,13-Dec,1927307000,2529341000,5839633000,6683379000,1900927000,2464368000,489464000,601781000,285995000,245971000,1329680000,2808246000,524160000,682496000,1804609000,1638998000,1949615000,2788908000,2490138000,3284862000,4035024000,5044381000
(주)HJ중공업,97230,14-Dec,1799016000,2520325000,5469810000,6470284000,1798250000,2537259000,459613000,655829000,384263000,294422000,1263266000,2703561000,823078000,994778000,1761886000,1573076000,1858441000,2647534000,2203465000,2843001000,3707924000,4897208000
(주)HJ중공업,97230,15-Dec,2041347000,3115473000,4638381000,5914637000,1972358000,3004437000,721779000,873978000,234552000,203499000,1223488000,2735463000,685170000,1085610000,1377529000,1368589000,1622994000,2429499000,2558441000,3430218000,3260852000,4546048000
(주)HJ중공업,97230,16-Dec,1928591000,2813271000,3921561000,5256464000,1776465000,2753545000,518530000,675011000,242278000,134921000,1036188000,2404052000,537545000,853229000,904150000,895183000,1709538000,2372221000,1598996000,2636927000,3017411000,4361281000
