회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),자산(*)(IFRS),자산(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),재고자산(*)(IFRS),재고자산(*)(IFRS연결),유형자산(*)(IFRS),유형자산(*)(IFRS연결),자본(*)(IFRS),자본(*)(IFRS연결),유동자산(*)(IFRS),유동자산(*)(IFRS연결),유동부채(*)(IFRS),유동부채(*)(IFRS연결),매출채권(IFRS),매출채권(IFRS연결),매입채무(IFRS연결),매입채무(IFRS),부채(*)(IFRS),부채(*)(IFRS연결)
(주)CMG제약,058820,2010/12,11350419,11350419,26775627,26775627,8217627,8217627,2782759,2782759,10316860,10316860,18405116,18405116,13041215,13041215,5320707,5320707,7625064,7625064,1488643,1488643,8370511,8370511
(주)CMG제약,058820,2011/12,17751704,17751704,27548539,27305198,10325799,10325799,2743103,2743103,9652599,9707759,18290915,18034249,15264885,15341167,7620349,7633673,11050219,11050219,1481481,1481481,9257624,9270949
(주)CMG제약,058820,2012/12,16255389,16255389,56988604,57108035,11648690,11648690,2955172,2955172,9264142,9307482,31602540,31590685,47073443,47109213,6665126,6793095,11362566,11362566,2670886,2670886,25386064,25517350
(주)CMG제약,058820,2013/12,20322140,20402140,55961620,55912563,12506817,12506817,4618718,4618718,10805092,10805092,49048213,48997281,38258866,38209699,5498201,5500075,13999415,13999415,3911851,3911851,6913407,6915281
(주)CMG제약,058820,2014/12,22752584,22752584,58127098,58068326,14318048,14318048,4913103,4913103,18833775,18833775,49067039,49002644,28359823,28300941,8713579,8719202,16787073,16787073,4719504,4719504,9060059,9065682
(주)CMG제약,058820,2015/12,27041894,27041894,56591972,56532821,17237814,17237814,5455617,5455617,17822468,17822468,46872705,46806888,26330765,26271614,8843328,8849994,15838056,15838057,4844096,4844096,9719267,9725933
(주)CMG제약,058820,2016/12,32969825,32969825,110979867,110979867,19663389,19663389,6393756,6393756,16905814,16905814,101107635,101107635,78772201,78772201,9136755,9136755,14435808,14435808,5688806,5688806,9872232,9872232
(주)CMG제약,058820,2017/12,41535588,41535588,109568153,109568153,23497552,23497552,7904518,7904518,16182518,16182518,97944019,97944019,81227330,81227330,10884321,10884321,16768648,16768648,7002289,7002289,11624134,11624134
(주)CMG제약,058820,2018/12,49864782,49864782,114379880,114379880,27124841,27124841,8572582,8572582,17268535,17268535,103981846,103981846,81370415,81370415,8495060,8495060,19030822,19030822,4162722,4162722,10398033,10398033
(주)CMG제약,058820,2019/12,58622681,58622681,192243166,192243166,29700050,29700050,9048933,9048933,24119403,24119403,180158283,180158283,150584066,150584066,9306387,9306387,21676515,21676515,4328437,4328437,12084883,12084883
(주)CMG제약,058820,2020/12,64459891,,195355583,,33249439,,15046934,,29740814,,181131004,,145981120,,13648964,,20439596,,,5590817,14224578,
(주)DB하이텍,000990,2010/12,593441908,620043034,1363686317,1381251114,727262560,753813405,79723938,79723938,823347589,823918082,376915607,398016157,298797846,311090151,141653096,138335841,94736548,103858000,30639171,30671011,986770710,983234957
(주)DB하이텍,000990,2011/12,534317238,552216245,1183957429,1199043869,443140034,460440945,77112663,77112663,758179817,758902417,291709498,308061688,265976810,279725559,796794129,794704783,71061975,79301000,23196334,22998829,892247931,890982181
(주)DB하이텍,000990,2012/12,583901597,590786488,1149069244,1157755031,486953432,494003057,79262392,79262392,684941380,685389046,274553219,290893335,303296307,309144147,563352691,555433290,74994000,69176000,17740927,23484407,874516025,866861695
(주)DB하이텍,000990,2013/12,493752028,493752028,1049494642,1058391832,404500718,404500718,72377687,72377687,635765049,636040366,197287466,204756748,222316934,222960700,476710357,476867874,59836026,59941499,29717748,29426433,852207175,853635085
(주)DB하이텍,000990,2014/12,567718224,567718224,1001959816,984876636,430813375,430813375,69179569,69179569,591653498,591787281,136104062,120702734,246306720,247582371,376149526,376436760,83154227,83353090,36235325,35936430,865855755,864173902
(주)DB하이텍,000990,2015/12,666594987,666594987,1005673854,984643712,436915515,436915515,83459568,83459568,533113708,533140340,277662952,254057491,334045125,337757266,242109386,244044785,91970866,92342122,44271640,42409042,728010902,730586221
(주)DB하이텍,000990,2016/12,773140180,773140180,1006370876,986788572,483129939,483129939,76344778,76344778,547687840,547700934,364450453,341917315,364126852,368924211,271946015,274231115,110311839,110311838,44199479,41718640,641920423,644871257
(주)DB하이텍,000990,2017/12,679737744,679737744,977575054,993950720,426170592,426170592,75018890,75018890,555556192,555566835,441546809,455797946,348507961,353662841,143100665,145225195,85713072,85709910,33883223,31644708,536028245,538152775
(주)DB하이텍,000990,2018/12,669279136,669279136,1050696487,1066533840,453942755,453942755,42891649,42891649,597563521,597570491,542557222,558391531,380098326,383378937,156793407,156796450,98855130,98855166,36469258,36347680,508139265,508142309
