총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결),총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
0.97,0.97,3.74,3.74,1.9,1.9,1.78,1.77,11.95,11.95,0.97,0.97,2.01,2.01,1254789.63,1.25,0.97,3.74,1.9,1.77,11.95,0.97,2.01,1.25
0.65,0.66,4.09,4.09,1.45,1.45,1.72,1.71,7.83,7.83,0.65,0.66,0.94,0.93,1254789.63,0.52,0.66,4.09,1.45,1.71,7.83,0.66,0.93,0.52
0.5,0.51,3.3,3.3,1.6,1.61,2.03,2.03,6.17,6.2,0.5,0.51,1.26,1.26,1254789.63,0.48,0.51,3.3,1.61,2.03,6.2,0.51,1.26,0.48
0.46,0.46,3.0,3.0,1.48,1.48,1.54,1.54,5.27,5.27,0.46,0.46,2.85,2.85,1254789.63,0.68,0.46,3.0,1.48,1.54,5.27,0.46,2.85,0.68
0.56,0.56,3.32,3.32,1.66,1.66,1.48,1.48,5.66,5.66,0.56,0.56,2.88,2.88,1254789.63,0.99,0.56,3.32,1.66,1.48,5.66,0.56,2.88,0.99
0.45,0.45,3.32,3.32,2.18,2.18,1.9,1.9,6.26,6.26,0.45,0.45,3.37,3.36,1254789.63,0.63,0.45,3.32,2.18,1.9,6.26,0.45,3.36,0.63
0.42,0.42,3.29,3.29,2.66,2.66,2.51,2.51,6.55,6.55,0.42,0.42,3.86,3.86,1254789.63,0.52,0.42,3.29,2.66,2.51,6.55,0.42,3.86,0.52
0.49,0.49,3.29,3.29,2.79,2.79,2.98,2.98,8.93,8.93,0.49,0.49,4.53,4.53,1254789.63,0.61,0.49,3.29,2.79,2.98,8.93,0.49,4.53,0.61
0.41,0.41,3.37,3.37,2.88,2.88,2.83,2.83,13.81,13.81,0.41,0.41,5.21,5.21,1254789.63,0.51,0.41,3.37,2.88,2.83,13.81,0.41,5.21,0.51
1.6,1.56,5.65,5.87,6.45,6.03,0.68,0.7,19.91,20.51,1.6,1.56,0.57,0.59,1254789.63,1.87,1.56,5.87,6.03,0.7,20.51,1.56,0.59,1.87
2.06,1.97,6.23,6.32,8.0,7.96,0.81,0.82,25.12,28.86,2.06,1.97,0.66,0.67,1254789.63,2.01,1.97,6.32,7.96,0.82,28.86,1.97,0.67,2.01
2.09,1.99,5.34,5.34,7.32,7.65,0.75,0.75,18.66,20.81,2.09,1.99,0.57,0.57,1254789.63,1.86,1.99,5.34,7.65,0.75,20.81,1.99,0.57,1.86
3.41,3.49,6.09,6.09,7.94,7.92,0.93,0.92,17.37,17.22,3.41,3.49,0.66,0.66,1254789.63,2.41,3.49,6.09,7.92,0.92,17.22,3.49,0.66,2.41
3.22,3.56,5.72,5.72,7.61,7.59,1.19,1.19,17.02,16.56,3.22,3.56,0.84,0.84,1254789.63,2.28,3.56,5.72,7.59,1.19,16.56,3.56,0.84,2.28
2.41,2.59,6.05,6.05,7.64,7.63,1.43,1.43,18.38,17.48,2.41,2.59,1.13,1.12,1254789.63,2.19,2.59,6.05,7.63,1.43,17.48,2.59,1.12,2.19
1.69,1.7,5.63,5.63,6.94,6.94,1.23,1.23,18.53,17.41,1.69,1.7,1.15,1.15,1254789.63,1.88,1.7,5.63,6.94,1.23,17.41,1.7,1.15,1.88
1.36,1.32,7.7,7.7,7.25,7.25,1.16,1.16,19.69,19.03,1.36,1.32,1.28,1.28,1254789.63,1.82,1.32,7.7,7.25,1.16,19.03,1.32,1.28,1.82
1.36,1.34,10.84,10.84,8.04,8.04,1.33,1.33,24.22,24.06,1.36,1.34,1.7,1.7,1254789.63,1.99,1.34,10.84,8.04,1.33,24.06,1.34,1.7,1.99
1.03,1.3,50.98,8.12,16.24,6.18,27.77,13.89,13.43,18.08,1.03,1.3,7.05,4.68,1254789.63,1.6,1.3,8.12,6.18,13.89,18.08,1.3,4.68,1.6
1.12,1.42,79.65,7.93,17.16,6.45,31.52,14.93,22.03,26.35,1.12,1.42,8.12,4.94,1254789.63,1.97,1.42,7.93,6.45,14.93,26.35,1.42,4.94,1.97
1.1,1.43,81.27,7.94,15.55,12.14,39.66,21.87,31.02,47.35,1.1,1.43,10.67,10.48,1254789.63,1.92,1.43,7.94,12.14,21.87,47.35,1.43,10.48,1.92
0.88,0.97,88.46,5.66,12.52,5.75,47.82,19.86,20.44,41.31,0.88,0.97,9.94,7.57,1254789.63,1.05,0.97,5.66,5.75,19.86,41.31,0.97,7.57,1.05
0.86,0.85,92.75,4.73,14.33,4.59,59.65,19.76,21.47,35.54,0.86,0.85,12.42,6.51,1254789.63,0.96,0.85,4.73,4.59,19.76,35.54,0.85,6.51,0.96
0.61,0.57,69.56,3.44,14.28,5.74,13.21,7.59,17.16,31.4,0.61,0.57,1.89,1.74,1254789.63,0.74,0.57,3.44,5.74,7.59,31.4,0.57,1.74,0.74
0.53,0.49,73.57,3.3,13.76,8.9,6.09,3.83,13.87,31.59,0.53,0.49,1.09,1.07,1254789.63,0.7,0.49,3.3,8.9,3.83,31.59,0.49,1.07,0.7
0.45,0.47,53.05,2.96,11.2,7.91,3.41,2.52,12.68,31.55,0.45,0.47,0.83,0.9,1254789.63,0.7,0.47,2.96,7.91,2.52,31.55,0.47,0.9,0.7
0.47,0.6,44.14,4.21,10.14,0.4,2.66,2.69,8.43,45.77,0.47,0.6,0.46,0.2,1254789.63,0.22,0.6,4.21,0.4,2.69,45.77,0.6,0.2,0.22
1.19,1.51,12.35,8.17,2.59,10.97,1.61,0.91,7.93,10.41,1.19,1.51,0.56,0.54,1254789.63,1.12,1.51,8.17,10.97,0.91,10.41,1.51,0.54,1.12
1.06,1.42,10.57,8.07,2.22,9.23,1.43,0.84,9.56,11.03,1.06,1.42,0.49,0.51,1254789.63,1.09,1.42,8.07,9.23,0.84,11.03,1.42,0.51,1.09
1.05,1.51,5.82,5.97,3.11,9.83,1.44,0.89,8.61,10.62,1.05,1.51,0.48,0.51,1254789.63,1.0,1.51,5.97,9.83,0.89,10.62,1.51,0.51,1.0
1.01,1.57,3.79,4.04,5.37,9.33,1.39,0.91,5.85,9.67,1.01,1.57,0.46,0.51,1254789.63,0.93,1.57,4.04,9.33,0.91,9.67,1.57,0.51,0.93
1.3,2.12,3.34,3.93,6.6,12.51,1.64,1.15,5.6,9.65,1.3,2.12,0.59,0.66,1254789.63,1.23,2.12,3.93,12.51,1.15,9.65,2.12,0.66,1.23
1.69,2.49,2.86,3.56,8.09,16.63,1.71,1.09,7.28,8.73,1.69,2.49,0.61,0.63,140.61,1.17,2.49,3.56,16.63,1.09,8.73,2.49,0.63,1.17
2.37,3.33,2.63,3.51,8.89,18.47,2.06,1.17,8.8,8.59,2.37,3.33,0.6,0.61,126.67,1.15,3.33,3.51,18.47,1.17,8.59,3.33,0.61,1.15
21.29,-25.92,2.64,2.53,13.93,14.13,2.72,1.4,8.63,7.12,21.29,-25.92,0.63,0.48,1254789.63,0.94,-25.92,2.53,14.13,1.4,7.12,-25.92,0.48,0.94
-21.23,-7.03,3.26,3.29,11.56,10.99,2.58,2.6,8.83,8.93,-21.23,-7.03,0.64,0.57,1254789.63,1.08,-7.03,3.29,10.99,2.6,8.93,-7.03,0.57,1.08
0.79,1.0,7.49,4.15,4.69,4.83,1.21,0.6,322.68,148.03,0.79,1.0,0.56,0.5,1254789.63,0.98,1.0,4.15,4.83,0.6,148.03,1.0,0.5,0.98
0.79,1.45,7.2,3.24,4.82,6.33,1.31,0.81,1254789.63,4611.92,0.79,1.45,0.57,0.64,1254789.63,1.25,1.45,3.24,6.33,0.81,4611.92,1.45,0.64,1.25
0.87,1.45,5.83,3.29,4.46,5.98,1.35,0.87,1254789.63,6573.65,0.87,1.45,0.59,0.7,1254789.63,1.33,1.45,3.29,5.98,0.87,6573.65,1.45,0.7,1.33
0.98,0.99,5.67,3.81,4.66,4.65,1.4,0.92,1254789.63,26321.21,0.98,0.99,0.91,0.84,1254789.63,1.36,0.99,3.81,4.65,0.92,26321.21,0.99,0.84,1.36
