회사명,거래소코드,회계년도,매출액수익,매출액수익연결,매출원가,매출원가연결,당기순이익손실,당기순이익손실연결,자본,자본연결,자산,자산연결,영업이익개별,영업이익연결,자본개별,자본연결_,자산개별,자산연결_,매출액영업이익률1,매출액영업이익률2,매출액영업이익률
(주)CMG제약,58820,2011-12,17751704.0,17751704.0,10325799.0,10325799.0,-1264488.0,-1508282.0,18290915.0,18034249.0,27548539.0,27305198.0,714950,640282,18405116.0,18405116.0,26775627.0,26775627.0,4.027500683878009,3.606876275088859,3.606876275088859
(주)CMG제약,58820,2012-12,16255389.0,16255389.0,11648690.0,11648690.0,-6892739.0,-6660149.0,31602540.0,31590685.0,56988604.0,57108035.0,-4045139,-4205503,18290915.0,18034249.0,27548539.0,27305198.0,-24.88491047492004,-25.871438696422462,-25.871438696422462
(주)CMG제약,58820,2013-12,20322140.0,20402140.0,12506817.0,12506817.0,335258.0,296181.0,49048213.0,48997281.0,55961620.0,55912563.0,822547,791250,31602540.0,31590685.0,56988604.0,57108035.0,4.047541253037328,3.8782696324993355,3.8782696324993355
(주)CMG제약,58820,2014-12,22752584.0,22752584.0,14318048.0,14318048.0,171502.0,158039.0,49067039.0,49002644.0,58127098.0,58068326.0,446018,442323,49048213.0,48997281.0,55961620.0,55912563.0,1.9602960261568534,1.9440561124837514,1.9440561124837514
(주)CMG제약,58820,2015-12,27041894.0,27041894.0,17237814.0,17237814.0,-3648668.0,-3650091.0,46872705.0,46806888.0,56591972.0,56532821.0,-2570878,-2572169,49067039.0,49002644.0,58127098.0,58068326.0,-9.507018998003616,-9.511793071890601,-9.511793071890601
(주)CMG제약,58820,2016-12,32969825.0,32969825.0,19663389.0,19663389.0,1693463.0,1727895.0,101107635.0,101107635.0,110979867.0,110979867.0,1730753,1730753,46872705.0,46806888.0,56591972.0,56532821.0,5.24950617723934,5.24950617723934,5.24950617723934
(주)CMG제약,58820,2017-12,41535588.0,41535588.0,23497552.0,23497552.0,2834901.0,2834901.0,97944019.0,97944019.0,109568153.0,109568153.0,1558607,1558607,101107635.0,101107635.0,110979867.0,110979867.0,3.7524616239933812,3.7524616239933812,3.7524616239933812
(주)CMG제약,58820,2018-12,49864782.0,49864782.0,27124841.0,27124841.0,6065026.0,6065026.0,103981846.0,103981846.0,114379880.0,114379880.0,2567820,2567820,97944019.0,97944019.0,109568153.0,109568153.0,5.149566281067869,5.149566281067869,5.149566281067869
(주)CMG제약,58820,2019-12,58622681.0,58622681.0,29700050.0,29700050.0,3051177.0,3051177.0,180158283.0,180158283.0,192243166.0,192243166.0,2603774,2603774,103981846.0,103981846.0,114379880.0,114379880.0,4.441581237132433,4.441581237132433,4.441581237132433
(주)DB하이텍,990,2011-12,534317238.0,552216245.0,443140034.0,460440945.0,-93084414.0,-97946584.0,291709498.0,308061688.0,1183957429.0,1199043869.0,-39983673,-43150443,376915607.0,398016157.0,1363686317.0,1381251114.0,-7.483133643537812,-7.814048099943166,-7.814048099943166
(주)DB하이텍,990,2012-12,583901597.0,590786488.0,486953432.0,494003057.0,-32121504.0,-31341318.0,274553219.0,290893335.0,1149069244.0,1157755031.0,-14429657,-15621631,291709498.0,308061688.0,1183957429.0,1199043869.0,-2.47124807915194,-2.6442092561873216,-2.6442092561873216
(주)DB하이텍,990,2013-12,493752028.0,493752028.0,404500718.0,404500718.0,-73243309.0,-83046768.0,197287466.0,204756748.0,1049494642.0,1058391832.0,-9392981,-9610613,274553219.0,290893335.0,1149069244.0,1157755031.0,-1.9023680850582754,-1.9464452711068156,-1.9464452711068156
(주)DB하이텍,990,2014-12,567718224.0,567718224.0,430813375.0,430813375.0,-58319918.0,-77008844.0,136104062.0,120702734.0,1001959816.0,984876636.0,45310506,45560248,197287466.0,204756748.0,1049494642.0,1058391832.0,7.981161090928798,8.02515157589868,8.02515157589868
(주)DB하이텍,990,2015-12,666594987.0,666594987.0,436915515.0,436915515.0,127469869.0,126733352.0,277662952.0,254057491.0,1005673854.0,984643712.0,124372824,124968816,136104062.0,120702734.0,1001959816.0,984876636.0,18.65792969127144,18.747338104419317,18.747338104419317
(주)DB하이텍,990,2016-12,773140180.0,773140180.0,483129939.0,483129939.0,88002359.0,88344018.0,364450453.0,341917315.0,1006370876.0,986788572.0,171787648,172427930,277662952.0,254057491.0,1005673854.0,984643712.0,22.219469695650794,22.302285466524324,22.302285466524324
(주)DB하이텍,990,2017-12,679737744.0,679737744.0,426170592.0,426170592.0,74401732.0,110175089.0,441546809.0,455797946.0,977575054.0,993950720.0,142353690,143195168,364450453.0,341917315.0,1006370876.0,986788572.0,20.942443060804933,21.06623756941177,21.06623756941177
(주)DB하이텍,990,2018-12,669279136.0,669279136.0,453942755.0,453942755.0,95087399.0,86828768.0,542557222.0,558391531.0,1050696487.0,1066533840.0,112884302,112993142,441546809.0,455797946.0,977575054.0,993950720.0,16.866550281943944,16.882812554909822,16.882812554909822
(주)DB하이텍,990,2019-12,807416423.0,807416423.0,513292637.0,513292637.0,121159865.0,104637012.0,645305205.0,644650730.0,1089400761.0,1088889810.0,181155872,181292188,542557222.0,558391531.0,1050696487.0,1066533840.0,22.436485912301045,22.453368898095846,22.453368898095846
(주)ES큐브,50120,2011-12,41700477.0,53379952.0,29104839.0,38476771.0,-2933429.0,-4796438.0,39144414.0,39245830.0,45233434.0,55477032.0,-2080143,-3650245,42087960.0,42621100.0,47829486.0,49189060.0,-4.988295457627499,-6.83823207634207,-6.83823207634207
(주)ES큐브,50120,2012-12,44178050.0,55971147.0,31651298.0,40290541.0,516857.0,-359216.0,39881477.0,39859681.0,44676182.0,46281660.0,645839,89337,39144414.0,39245830.0,45233434.0,55477032.0,1.4619001970435543,0.15961259468204217,0.15961259468204217
(주)ES큐브,50120,2013-12,45823196.0,58597361.0,34023346.0,44088670.0,-14749080.0,-16455910.0,43712820.0,42372440.0,47509654.0,47137573.0,217136,-1164611,39881477.0,39859681.0,44676182.0,46281660.0,0.4738560793533476,-1.9874802894280512,-1.9874802894280512
(주)ES큐브,50120,2014-12,37188072.0,44459581.0,30573957.0,34936541.0,-2412385.0,-615409.0,41226335.0,49628091.0,44914173.0,56611836.0,325908,171090,43712820.0,42372440.0,47509654.0,47137573.0,0.8763777804883244,0.3848214403999894,0.3848214403999894
(주)ES큐브,50120,2015-12,36887119.0,42152967.0,30735643.0,30433006.0,3610344.0,-2307159.0,44872641.0,49654460.0,47123684.0,55620280.0,2370569,-4060427,41226335.0,49628091.0,44914173.0,56611836.0,6.426549603941691,-9.632600713491888,-9.632600713491888
(주)ES큐브,50120,2016-12,34818205.0,34289385.0,28468888.0,24454448.0,17469014.0,21541047.0,69832373.0,71696122.0,104459992.0,105164626.0,2359528,2161042,44872641.0,49654460.0,47123684.0,55620280.0,6.776707759633214,6.302364419775975,6.302364419775975
(주)ES큐브,50120,2017-12,37104908.0,35745794.0,30497256.0,26057940.0,1218923.0,1737925.0,71398467.0,72816880.0,104850192.0,105892131.0,2170102,2248519,69832373.0,71696122.0,104459992.0,105164626.0,5.84855782421021,6.2903036927925,6.2903036927925
(주)ES큐브,50120,2018-12,31308873.0,33763508.0,25693835.0,26036057.0,-3836071.0,-6121462.0,66518631.0,70748607.0,108481764.0,112430896.0,691469,-1211129,71398467.0,72816880.0,104850192.0,105892131.0,2.208540051888805,-3.587094682223186,-3.587094682223186
(주)ES큐브,50120,2019-12,28527284.0,43708239.0,22708418.0,35510791.0,-12738710.0,-13767748.0,53986331.0,74038512.0,136065488.0,463958680.0,587699,-2617071,66518631.0,70748607.0,108481764.0,112430896.0,2.0601295237219217,-5.987591950341445,-5.987591950341445
(주)HJ중공업,97230,2011-12,2316017000.0,2891499000.0,2156842000.0,2664558000.0,-116272000.0,-96920000.0,1874877000.0,1866848000.0,5857119000.0,7036680000.0,59453000,107974000,2001312000.0,1955791000.0,6323071000.0,7525363000.0,2.5670364250348765,3.7341876998747017,3.7341876998747017
(주)HJ중공업,97230,2012-12,1980761000.0,2549319000.0,1833445000.0,2358260000.0,13082000.0,-53214000.0,1863529000.0,1715516000.0,5938108000.0,6585093000.0,28591000,52914000,1874877000.0,1866848000.0,5857119000.0,7036680000.0,1.4434351241770207,2.0756131343311686,2.0756131343311686
(주)HJ중공업,97230,2013-12,1927307000.0,2529341000.0,1900927000.0,2464368000.0,-212716000.0,-190193000.0,1804609000.0,1638998000.0,5839633000.0,6683379000.0,-109107000,-69574000,1863529000.0,1715516000.0,5938108000.0,6585093000.0,-5.661111592496681,-2.7506769549855083,-2.7506769549855083
(주)HJ중공업,97230,2014-12,1799016000.0,2520325000.0,1798250000.0,2537259000.0,-225739000.0,-299811000.0,1761886000.0,1573076000.0,5469810000.0,6470284000.0,-106249000,-144988000,1804609000.0,1638998000.0,5839633000.0,6683379000.0,-5.905950808664292,-5.752750141350818,-5.752750141350818
