회사명,거래소코드,회계년도,유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,9652599,9707759
(주)CMG제약,058820,2012/12,9264142,9307482
(주)CMG제약,058820,2013/12,10805092,10805092
(주)CMG제약,058820,2014/12,18833775,18833775
(주)CMG제약,058820,2015/12,17822468,17822468
(주)CMG제약,058820,2016/12,16905814,16905814
(주)CMG제약,058820,2017/12,16182518,16182518
(주)CMG제약,058820,2018/12,17268535,17268535
(주)CMG제약,058820,2019/12,24119403,24119403
(주)DB하이텍,000990,2011/12,758179817,758902417
(주)DB하이텍,000990,2012/12,684941380,685389046
(주)DB하이텍,000990,2013/12,635765049,636040366
(주)DB하이텍,000990,2014/12,591653498,591787281
(주)DB하이텍,000990,2015/12,533113708,533140340
(주)DB하이텍,000990,2016/12,547687840,547700934
(주)DB하이텍,000990,2017/12,555556192,555566835
(주)DB하이텍,000990,2018/12,597563521,597570491
(주)DB하이텍,000990,2019/12,616562743,616573800
(주)ES큐브,050120,2011/12,1407274,4313834
(주)ES큐브,050120,2012/12,1395951,3181598
(주)ES큐브,050120,2013/12,914811,2177498
(주)ES큐브,050120,2014/12,640405,2299195
(주)ES큐브,050120,2015/12,596347,1968118
(주)ES큐브,050120,2016/12,4673186,7063781
(주)ES큐브,050120,2017/12,7506218,11623688
(주)ES큐브,050120,2018/12,10880733,15202081
(주)ES큐브,050120,2019/12,10576512,17333381
(주)HJ중공업,097230,2011/12,1427510000,3144355000
(주)HJ중공업,097230,2012/12,1343556000,2901480000
(주)HJ중공업,097230,2013/12,1329680000,2808246000
(주)HJ중공업,097230,2014/12,1263266000,2703561000
(주)HJ중공업,097230,2015/12,1223488000,2735463000
(주)HJ중공업,097230,2016/12,1036188000,2404052000
(주)HJ중공업,097230,2017/12,653140000,1792322000
(주)HJ중공업,097230,2018/12,636673000,638765000
(주)HJ중공업,097230,2019/12,613082000,615117000
(주)MH에탄올,023150,2011/12,35172601,75265905
(주)MH에탄올,023150,2012/12,34423174,71841895
(주)MH에탄올,023150,2013/12,34123721,70410722
(주)MH에탄올,023150,2014/12,36083178,36083190
(주)MH에탄올,023150,2015/12,36846498,36846510
(주)MH에탄올,023150,2016/12,37390792,37390804
(주)MH에탄올,023150,2017/12,39418503,389268406
(주)MH에탄올,023150,2018/12,40585694,390589052
(주)MH에탄올,023150,2019/12,41121323,402623574
(주)SH에너지화학,002360,2011/12,33115306,33220422
(주)SH에너지화학,002360,2012/12,32608108,32784916
(주)SH에너지화학,002360,2013/12,31944570,32065097
(주)SH에너지화학,002360,2014/12,31070401,31132703
(주)SH에너지화학,002360,2015/12,32654731,32660706
(주)SH에너지화학,002360,2016/12,31792327,31796198
(주)SH에너지화학,002360,2017/12,30956708,31096409
(주)SH에너지화학,002360,2018/12,29913044,30043406
(주)SH에너지화학,002360,2019/12,33126165,33194337
(주)SIMPAC,009160,2011/12,62702218,72940322
(주)SIMPAC,009160,2012/12,64182764,74000157
(주)SIMPAC,009160,2013/12,64271295,73711642
(주)SIMPAC,009160,2014/12,70604838,169381419
(주)SIMPAC,009160,2015/12,75847152,180973199
(주)SIMPAC,009160,2016/12,75130388,178694040
(주)SIMPAC,009160,2017/12,70402759,172659787
(주)SIMPAC,009160,2018/12,156312739,357331367
(주)SIMPAC,009160,2019/12,153003014,263608239
(주)SNT에너지,100840,2011/12,122586108,
(주)SNT에너지,100840,2012/12,122289502,
(주)SNT에너지,100840,2013/12,120367341,
(주)SNT에너지,100840,2014/12,120065551,
(주)SNT에너지,100840,2015/12,118714558,
(주)SNT에너지,100840,2016/12,118148046,
(주)SNT에너지,100840,2017/12,116825424,
(주)SNT에너지,100840,2018/12,115728393,
(주)SNT에너지,100840,2019/12,116275557,123257799
(주)SNT홀딩스,036530,2011/12,150611,989038851
(주)SNT홀딩스,036530,2012/12,100263,984180010
(주)SNT홀딩스,036530,2013/12,54602,986231198
(주)SNT홀딩스,036530,2014/12,75419,933346465
(주)SNT홀딩스,036530,2015/12,55309,928315887
(주)SNT홀딩스,036530,2016/12,35654,908800105
(주)SNT홀딩스,036530,2017/12,19895,880843802
(주)SNT홀딩스,036530,2018/12,2888,869282994
(주)SNT홀딩스,036530,2019/12,59663,871104106
(주)STX,011810,2011/12,72801000,818420000
(주)STX,011810,2012/12,69598000,1044547000
(주)STX,011810,2013/12,62152000,215510000
(주)STX,011810,2014/12,57120000,108080000
(주)STX,011810,2015/12,53714000,101700000
(주)STX,011810,2016/12,30798000,73715000
(주)STX,011810,2017/12,29631000,70760000
(주)STX,011810,2018/12,28464000,74249000
(주)STX,011810,2019/12,43245000,90288000
(주)TCC스틸,002710,2011/12,75283350,84444856
(주)TCC스틸,002710,2012/12,71554979,143845835
(주)TCC스틸,002710,2013/12,71255687,156557380
(주)TCC스틸,002710,2014/12,68743151,151621286
(주)TCC스틸,002710,2015/12,50635593,71859909
(주)TCC스틸,002710,2016/12,43730610,64693517
(주)TCC스틸,002710,2017/12,45541678,58943990
(주)TCC스틸,002710,2018/12,43204124,55878504
(주)TCC스틸,002710,2019/12,47129444,59322335
(주)가비아,079940,2011/12,7163470,22149161
(주)가비아,079940,2012/12,23749485,37833915
(주)가비아,079940,2013/12,22732962,37047584
(주)가비아,079940,2014/12,22313113,37099200
(주)가비아,079940,2015/12,22210592,36916970
(주)가비아,079940,2016/12,22429866,43221838
(주)가비아,079940,2017/12,22362004,45452326
(주)가비아,079940,2018/12,24425180,49107084
(주)가비아,079940,2019/12,39724951,85359914
(주)강스템바이오텍,217730,2015/12,2980005,
(주)강스템바이오텍,217730,2016/12,4039297,
(주)강스템바이오텍,217730,2017/12,12480829,13229478
(주)강스템바이오텍,217730,2018/12,14220013,15140205
(주)강스템바이오텍,217730,2019/12,22738650,31219524
(주)강원랜드,035250,2011/12,1302068954,1312308962
(주)강원랜드,035250,2012/12,1334113267,1357670542
(주)강원랜드,035250,2013/12,1327018456,1385719165
(주)강원랜드,035250,2014/12,1284798892,1387584592
(주)강원랜드,035250,2015/12,1253601276,1353560925
(주)강원랜드,035250,2016/12,1254129261,1315715882
(주)강원랜드,035250,2017/12,1253403658,1297980610
(주)강원랜드,035250,2018/12,1299058388,1314038393
(주)강원랜드,035250,2019/12,1353732478,1370568026
(주)강원에너지,114190,2011/11,3912294,
(주)강원에너지,114190,2012/12,4416402,
(주)강원에너지,114190,2013/12,4787448,
(주)강원에너지,114190,2014/12,10004091,
(주)강원에너지,114190,2015/12,9712091,12847843
(주)강원에너지,114190,2016/12,9490734,14792058
(주)강원에너지,114190,2017/12,9242859,15392067
(주)강원에너지,114190,2018/12,8853092,14771745
(주)강원에너지,114190,2019/12,9089689,10387938
(주)갤럭시아에스엠,011420,2011/12,263856,746008
