,회사명,거래소코드,회계년도,유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),0,1
0,(주)CMG제약,58820,Dec-11,9652599,9707759,11111111.11,11111111.11
1,(주)CMG제약,58820,Dec-12,9264142,9307482,-4.02,-4.12
2,(주)CMG제약,58820,Dec-13,10805092,10805092,16.63,16.09
3,(주)CMG제약,58820,Dec-14,18833775,18833775,74.3,74.3
4,(주)CMG제약,58820,Dec-15,17822468,17822468,-5.37,-5.37
5,(주)CMG제약,58820,Dec-16,16905814,16905814,-5.14,-5.14
6,(주)CMG제약,58820,Dec-17,16182518,16182518,-4.28,-4.28
7,(주)CMG제약,58820,Dec-18,17268535,17268535,6.71,6.71
8,(주)CMG제약,58820,Dec-19,24119403,24119403,39.67,39.67
9,(주)DB하이텍,990,Dec-11,758179817,758902417,3046.44,
10,(주)DB하이텍,990,Dec-12,684941380,685389046,-9.66,-9.69
11,(주)DB하이텍,990,Dec-13,635765049,636040366,-7.18,-7.2
12,(주)DB하이텍,990,Dec-14,591653498,591787281,-6.94,-6.96
13,(주)DB하이텍,990,Dec-15,533113708,533140340,-9.89,-9.91
14,(주)DB하이텍,990,Dec-16,547687840,547700934,2.73,2.73
15,(주)DB하이텍,990,Dec-17,555556192,555566835,1.44,1.44
16,(주)DB하이텍,990,Dec-18,597563521,597570491,7.56,7.56
17,(주)DB하이텍,990,Dec-19,616562743,616573800,3.18,3.18
18,(주)ES큐브,50120,Dec-11,1407274,4313834,-99.3,
19,(주)ES큐브,50120,Dec-12,1395951,3181598,-0.8,-26.25
20,(주)ES큐브,50120,Dec-13,914811,2177498,-34.47,-31.56
21,(주)ES큐브,50120,Dec-14,640405,2299195,-30,5.59
22,(주)ES큐브,50120,Dec-15,596347,1968118,-6.88,-14.4
23,(주)ES큐브,50120,Dec-16,4673186,7063781,683.64,258.91
24,(주)ES큐브,50120,Dec-17,7506218,11623688,60.62,64.55
