회사명,거래소코드,회계년도,총자산증가율(개별),총자산증가율(연결),유형자산증가율(연결),유형자산증가율(개별),유동자산증가율(연결),유동자산증가율(개별),재고자산증가율(개별),재고자산증가율(연결),자기자본증가율(연결),자기자본증가율(개별),순이익증가률(개별),순이익증가률(연결),매출액총이익률(IFRS),매출액총이익률(IFRS연결),매출액순이익률(IFRS),매출액순이익률(IFRS연결),자기자본순이익률(IFRS),자기자본순이익률(IFRS연결),총자본정상영업이익률(IFRS),총자본정상영업이익률(IFRS연결),매출액정상영업이익률(IFRS),매출액정상영업이익률(IFRS연결),총자본순이익률(IFRS),총자본순이익률(IFRS연결)
(주)CMG제약,58820,11-Dec,2.89,1.98,-5.91,-6.44,17.64,17.05,-1.43,-1.43,-2.02,-0.62,,,41.83,41.83,-7.12,-8.5,-6.89,-8.28,2.63,2.37,4.03,3.61,-4.66,-5.58
(주)CMG제약,58820,12-Dec,106.8661572,109.1471192,-4.12326882,-4.024377269,207.0771148,208.3773183,7.730989321,7.730989321,75.17050474,72.77725035,,,28.34,28.34,-42.4,-40.97,-27.63,-26.84,-9.57,-9.96,-24.88,-25.87,-16.31,-15.78
(주)CMG제약,58820,13-Dec,-1.802086607,-2.093351662,16.09038836,16.63348856,-18.89123896,-18.7251589,56.29269633,56.29269633,55.10040697,55.20338871,,,38.46,38.7,1.65,1.45,0.83,0.74,1.46,1.4,4.05,3.88,0.59,0.52
(주)CMG제약,58820,14-Dec,3.869577042,3.855596818,74.30462415,74.30462415,-25.93257277,-25.87385366,6.37373834,6.37373834,0.010945505,0.038382642,-48.84,-46.64,37.07,37.07,0.75,0.69,0.35,0.32,0.78,0.78,1.96,1.94,0.3,0.28
(주)CMG제약,58820,15-Dec,-2.640981664,-2.644307329,-5.369645756,-5.369645756,-7.170528358,-7.154692044,11.04218658,11.04218658,-4.480892909,-4.472114162,-2227.48,-2409.61,36.26,36.26,-13.49,-13.5,-7.61,-7.62,-4.48,-4.49,-9.51,-9.51,-6.36,-6.37
(주)CMG제약,58820,16-Dec,96.10531861,96.31050607,-5.143249521,-5.143249521,199.8376917,199.1641185,17.19583688,17.19583688,116.0101629,115.706849,,,40.36,40.36,5.14,5.24,2.29,2.34,2.07,2.07,5.25,5.25,2.02,2.06
(주)CMG제약,58820,17-Dec,-1.272045136,-1.272045136,-4.278386122,-4.278386122,3.116745462,3.116745462,23.62870901,23.62870901,-3.12895856,-3.12895856,67.4,64.07,43.43,43.43,6.83,6.83,2.85,2.85,1.41,1.41,3.75,3.75,2.57,2.57
(주)CMG제약,58820,18-Dec,4.391537932,4.391537932,6.711050777,6.711050777,0.176153765,0.176153765,8.451672828,8.451672828,6.164569375,6.164569375,113.94,113.94,45.6,45.6,12.16,12.16,6.01,6.01,2.29,2.29,5.15,5.15,5.42,5.42
(주)CMG제약,58820,19-Dec,68.07428544,68.07428544,39.67254895,39.67254895,85.05997051,85.05997051,5.556680589,5.556680589,73.25936202,73.25936202,-49.69,-49.69,49.34,49.34,5.2,5.2,2.15,2.15,1.7,1.7,4.44,4.44,1.99,1.99
(주)DB하이텍,990,11-Dec,515.8645083,523.7120902,3046.439474,3043.443546,85.76039712,76.6301157,752.1740961,752.1740961,70.99501775,61.91844923,-3150.77,-3310.12,17.06,16.62,-17.42,-17.74,-27.84,-27.74,-3.14,-3.34,-7.48,-7.81,-7.31,-7.59
(주)DB하이텍,990,12-Dec,-2.946743197,-3.443480182,-9.686801538,-9.659771384,10.51694672,14.03110933,2.787776892,2.787776892,-5.573024387,-5.881289131,,,16.6,16.38,-5.5,-5.31,-11.35,-10.47,-1.24,-1.33,-2.47,-2.64,-2.75,-2.66
(주)DB하이텍,990,13-Dec,-8.665674634,-8.582402697,-7.200097563,-7.179640833,-27.87807818,-26.69975569,-8.685966732,-8.685966732,-29.61105554,-28.14235917,,,18.08,18.08,-14.83,-16.82,-31.05,-33.51,-0.85,-0.87,-1.9,-1.95,-6.66,-7.49
(주)DB하이텍,990,14-Dec,-4.529306211,-6.9459338,-6.957590644,-6.93834162,11.04305422,10.79080463,-4.418651842,-4.418651842,-41.05066857,-31.01231175,,,24.11,24.11,-10.27,-13.56,-34.99,-47.32,4.42,4.46,7.98,8.03,-5.69,-7.54
(주)DB하이텍,990,15-Dec,0.370677341,-0.023650069,-9.910138809,-9.89426923,36.42217927,35.62160423,20.64193115,20.64193115,110.4819689,104.0078363,,,34.46,34.46,19.12,19.01,61.61,67.63,12.39,12.69,18.66,18.75,12.7,12.87
(주)DB하이텍,990,16-Dec,0.069308951,0.217831077,2.731099658,2.733775512,9.227616439,9.005288432,-8.524834444,-8.524834444,34.58265436,31.25642091,-30.96,-30.29,37.51,37.51,11.38,11.43,27.41,29.65,17.08,17.49,22.22,22.3,8.75,8.96
(주)DB하이텍,990,17-Dec,-2.861352876,0.725803703,1.436167169,1.436649023,-4.136722271,-4.289409285,-1.736710794,-1.736710794,33.30648259,21.15413916,-15.45,24.71,37.3,37.3,10.95,16.21,18.46,27.62,14.35,14.46,20.94,21.07,7.5,11.12
(주)DB하이텍,990,18-Dec,7.479879187,7.302486787,7.560504579,7.561310558,8.402380051,9.06446008,-42.82553501,-42.82553501,22.50856677,22.87649032,27.8,-21.19,32.17,32.17,14.21,12.97,19.32,17.12,11.13,10.97,16.87,16.88,9.38,8.43
(주)DB하이텍,990,19-Dec,3.683677873,2.096133208,3.180094949,3.179448098,11.18592595,11.16364822,20.8576546,20.8576546,15.44779858,18.93772285,27.42,20.51,36.43,36.43,15.01,12.96,20.4,17.4,16.93,16.82,22.44,22.45,11.32,9.71
(주)ES큐브,50120,11-Dec,-95.84786099,-94.90517484,-99.30035399,-99.77175494,-92.00536726,-95.55387211,-99.25952163,-89.75200568,-93.91207856,-93.93396897,-102.42,-104.58,30.21,27.92,-7.03,-8.99,-7.22,-12.61,-4.47,-6.58,-4.99,-6.84,-6.3,-8.65
(주)ES큐브,50120,12-Dec,-1.231947148,-16.57509724,-26.24662887,-0.804605215,-33.36793219,-16.7943503,7.059044205,-8.812182355,1.564117767,1.882932773,,,28.36,28.02,1.17,-0.64,1.31,0.29,1.44,0.19,1.46,0.16,1.15,-0.78
(주)ES큐브,50120,13-Dec,6.342242943,1.849356743,-31.5596125,-34.46682584,68.92236255,108.0378509,3.743575767,29.32843896,6.304011816,9.606823238,-2953.61,,25.75,24.76,-32.19,-28.08,-35.29,-40.47,0.47,-2.49,0.47,-1.99,-32,-35.23
(주)ES큐브,50120,14-Dec,-5.463060202,20.09917439,5.588845547,-29.99592266,20.48518856,-33.95345267,-37.85301458,-2.885504337,17.12351472,-5.688228305,,,17.79,21.42,-6.49,-1.38,-5.68,1.15,0.71,0.33,0.88,0.38,-5.22,-1.19
(주)ES큐브,50120,15-Dec,4.919407066,-1.751499457,-14.39969207,-6.879708934,-10.89296843,5.180748214,50.13700698,11.49305549,0.053133214,8.844603819,,,16.68,27.8,9.79,-5.47,8.39,1.56,5.15,-7.24,6.43,-9.63,7.85,-4.11
