회사명,거래소코드,회계년도,이자보상배율
CMG제약,58820,Dec-11,3.53
CMG제약,58820,Dec-12,-7.75
CMG제약,58820,Dec-13,0.7
CMG제약,58820,Dec-14,3.6
CMG제약,58820,Dec-15,-32.22
CMG제약,58820,Dec-16,303
CMG제약,58820,Dec-17,303
CMG제약,58820,Dec-18,303
CMG제약,58820,Dec-19,303
DB하이텍,990,Dec-11,-0.75
DB하이텍,990,Dec-12,-0.31
DB하이텍,990,Dec-13,-0.16
DB하이텍,990,Dec-14,0.67
DB하이텍,990,Dec-15,2.5
DB하이텍,990,Dec-16,4.41
DB하이텍,990,Dec-17,6.05
DB하이텍,990,Dec-18,6.77
DB하이텍,990,Dec-19,13.44
ES큐브,50120,Dec-11,-245.99
ES큐브,50120,Dec-12,1.72
ES큐브,50120,Dec-13,-37.44
ES큐브,50120,Dec-14,22.2
ES큐브,50120,Dec-15,-11.86
ES큐브,50120,Dec-16,8.98
ES큐브,50120,Dec-17,2.86
ES큐브,50120,Dec-18,-0.82
ES큐브,50120,Dec-19,-0.68
HJ중공업,97230,Dec-11,0.55
HJ중공업,97230,Dec-12,0.27
HJ중공업,97230,Dec-13,-0.4
HJ중공업,97230,Dec-14,-0.88
HJ중공업,97230,Dec-15,-0.5
HJ중공업,97230,Dec-16,-0.58
HJ중공업,97230,Dec-17,-1.08
HJ중공업,97230,Dec-18,0.62
HJ중공업,97230,Dec-19,0.69
MH에탄올,23150,Dec-11,0.12
MH에탄올,23150,Dec-12,1.08
MH에탄올,23150,Dec-13,0.87
MH에탄올,23150,Dec-14,5.62
MH에탄올,23150,Dec-15,12.69
MH에탄올,23150,Dec-16,29.41
MH에탄올,23150,Dec-17,3.46
MH에탄올,23150,Dec-18,0.1
MH에탄올,23150,Dec-19,0.73
SH에너지화학,2360,Dec-11,2.82
SH에너지화학,2360,Dec-12,1.72
SH에너지화학,2360,Dec-13,5.3
SH에너지화학,2360,Dec-14,26.68
SH에너지화학,2360,Dec-15,84.87
SH에너지화학,2360,Dec-16,210.93
SH에너지화학,2360,Dec-17,162.17
SH에너지화학,2360,Dec-18,22.72
SH에너지화학,2360,Dec-19,-24.12
SIMPAC,9160,Dec-11,20.93
SIMPAC,9160,Dec-12,15.51
SIMPAC,9160,Dec-13,16.58
SIMPAC,9160,Dec-14,8.48
SIMPAC,9160,Dec-15,14.66
SIMPAC,9160,Dec-16,16.75
SIMPAC,9160,Dec-17,10.1
SIMPAC,9160,Dec-18,4.07
SIMPAC,9160,Dec-19,3.47
SNT에너지,100840,Dec-11,-9.21
SNT에너지,100840,Dec-12,77.44
SNT에너지,100840,Dec-13,50.81
SNT에너지,100840,Dec-14,41.09
SNT에너지,100840,Dec-15,359.1
SNT에너지,100840,Dec-16,1771.27
SNT에너지,100840,Dec-17,1771.27
SNT에너지,100840,Dec-18,-9.21
SNT에너지,100840,Dec-19,1771.27
SNT홀딩스,36530,Dec-11,16.87
SNT홀딩스,36530,Dec-12,20.28
SNT홀딩스,36530,Dec-13,30.38
SNT홀딩스,36530,Dec-14,34.38
SNT홀딩스,36530,Dec-15,218.55
SNT홀딩스,36530,Dec-16,286.46
SNT홀딩스,36530,Dec-17,178.66
SNT홀딩스,36530,Dec-18,59.79
SNT홀딩스,36530,Dec-19,184.05
STX,11810,Dec-11,1.66
STX,11810,Dec-12,-3.12
STX,11810,Dec-13,-10.71
STX,11810,Dec-14,0.76
STX,11810,Dec-15,-0.84
STX,11810,Dec-16,-0.91
STX,11810,Dec-17,2.02
STX,11810,Dec-18,-1.12
STX,11810,Dec-19,0.11
TCC스틸,2710,Dec-11,1.41
TCC스틸,2710,Dec-12,0.57
TCC스틸,2710,Dec-13,-0.59
TCC스틸,2710,Dec-14,0.02
TCC스틸,2710,Dec-15,2.17
TCC스틸,2710,Dec-16,2.53
TCC스틸,2710,Dec-17,1.55
TCC스틸,2710,Dec-18,3.3
TCC스틸,2710,Dec-19,2.27
가비아,79940,Dec-11,22.28
가비아,79940,Dec-12,15.43
가비아,79940,Dec-13,15.81
가비아,79940,Dec-14,24.59
가비아,79940,Dec-15,64.83
가비아,79940,Dec-16,83.64
가비아,79940,Dec-17,53.72
가비아,79940,Dec-18,62.3
가비아,79940,Dec-19,34.25
강스템바이오텍,217730,Dec-15,-5.41
강스템바이오텍,217730,Dec-16,-18.89
강스템바이오텍,217730,Dec-17,-8.15
강스템바이오텍,217730,Dec-18,-12.31
강스템바이오텍,217730,Dec-19,-21.5
강원랜드,35250,Dec-11,1142.61
강원랜드,35250,Dec-12,565.68
강원랜드,35250,Dec-13,1421.81
강원랜드,35250,Dec-14,2073.72
강원랜드,35250,Dec-15,2623.81
강원랜드,35250,Dec-16,836.02
강원랜드,35250,Dec-17,2241.82
강원랜드,35250,Dec-18,1834.66
강원랜드,35250,Dec-19,255.56
강원에너지,114190,Nov-11,393.9
강원에너지,114190,Dec-12,58.37
강원에너지,114190,Dec-13,18.11
강원에너지,114190,Dec-14,39.01
강원에너지,114190,Dec-15,187.51
강원에너지,114190,Dec-16,-241.54
강원에너지,114190,Dec-17,-26.56
강원에너지,114190,Dec-18,0.2
강원에너지,114190,Dec-19,-8.38
갤럭시아에스엠,11420,Dec-11,6.31
갤럭시아에스엠,11420,Dec-12,3.79
갤럭시아에스엠,11420,Dec-13,1.9
갤럭시아에스엠,11420,Dec-14,-0.88
갤럭시아에스엠,11420,Dec-15,5.69
갤럭시아에스엠,11420,Dec-16,-18.76
갤럭시아에스엠,11420,Dec-17,-35.52
갤럭시아에스엠,11420,Dec-18,-157.86
갤럭시아에스엠,11420,Dec-19,-8.95
경농,2100,Dec-11,4.52
경농,2100,Dec-12,5.6
경농,2100,Dec-13,4.81
경농,2100,Dec-14,4.53
경농,2100,Dec-15,3.96
경농,2100,Dec-16,3.5
경농,2100,Dec-17,2.8
경농,2100,Dec-18,5.16
경농,2100,Dec-19,2.2
경동나비엔,9450,Dec-11,12
경동나비엔,9450,Dec-12,11.7
경동나비엔,9450,Dec-13,14.4
경동나비엔,9450,Dec-14,4.93
경동나비엔,9450,Dec-15,6.98
경동나비엔,9450,Dec-16,25.05
경동나비엔,9450,Dec-17,30.33
경동나비엔,9450,Dec-18,11.32
경동나비엔,9450,Dec-19,11.06
경동도시가스,267290,Dec-17,66.86
경동도시가스,267290,Dec-18,98.82
경동도시가스,267290,Dec-19,29.28
경동인베스트,12320,Dec-11,11.03
경동인베스트,12320,Dec-12,17.71
경동인베스트,12320,Dec-13,27.91
경동인베스트,12320,Dec-14,20.25
경동인베스트,12320,Dec-15,-4.35
경동인베스트,12320,Dec-16,7.92
경동인베스트,12320,Dec-17,9.05
경동인베스트,12320,Dec-18,10.67
경동인베스트,12320,Dec-19,5.29
경방,50,Dec-11,1.15
경방,50,Dec-12,0.36
경방,50,Dec-13,2.58
경방,50,Dec-14,2.47
경방,50,Dec-15,3.9
경방,50,Dec-16,5.54
경방,50,Dec-17,6.35
경방,50,Dec-18,5.13
경방,50,Dec-19,3.59
경보제약,214390,Dec-15,29.2
경보제약,214390,Dec-16,16.24
경보제약,214390,Dec-17,24.47
경보제약,214390,Dec-18,19.43
경보제약,214390,Dec-19,4.77
경인양행,12610,Dec-11,1.77
경인양행,12610,Dec-12,1.26
경인양행,12610,Dec-13,5.73
경인양행,12610,Dec-14,7.16
경인양행,12610,Dec-15,4.19
경인양행,12610,Dec-16,6.44
경인양행,12610,Dec-17,3.12
경인양행,12610,Dec-18,5.68
경인양행,12610,Dec-19,4.66
고려시멘트,198440,Dec-14,
고려시멘트,198440,Dec-15,
고려시멘트,198440,Dec-16,
고려시멘트,198440,Dec-17,16.79
고려시멘트,198440,Dec-18,9.2
고려시멘트,198440,Dec-19,-1.08
고영테크놀러지,98460,Dec-11,22785.6
고영테크놀러지,98460,Dec-12,1627.45
고영테크놀러지,98460,Dec-13,443.96
고영테크놀러지,98460,Dec-14,1673.12
고영테크놀러지,98460,Dec-15,2242.05
고영테크놀러지,98460,Dec-16,2001.96
고영테크놀러지,98460,Dec-17,6141.06
고영테크놀러지,98460,Dec-18,5839.89
고영테크놀러지,98460,Dec-19,112.96
골드앤에스,35290,Dec-11,1.13
