,정상영업이익증가율,영업이익증가률개별,영업이익증가률연결
0,1254789.63,11111111.11,11111111.11
1,-756.82,-665.79,-756.82
2,1254789.63,11111111.11,11111111.11
3,-46.64,-45.78,-44.1
4,-681.52,-676.41,-681.52
5,1254789.63,11111111.11,11111111.11
6,64.07,-9.95,-9.95
7,113.94,64.75,64.75
8,-49.69,11111111.11,1.4
9,1254789.63,11111111.11,11111111.11
10,1254789.63,11111111.11,11111111.11
11,1254789.63,11111111.11,11111111.11
12,1254789.63,11111111.11,11111111.11
13,174.29,174.49,174.29
14,-30.29,38.12,37.98
15,24.71,-17.13,-16.95
16,-21.19,-20.7,-21.09
17,20.51,11111111.11,60.45
18,-460.17,-460.17,11111111.11
19,1254789.63,11111111.11,11111111.11
20,-1403.61,-66.38,-1403.61
21,50.09,50.09,11111111.11
22,-2473.27,627.37,-2473.27
23,3206.73,-0.47,11111111.11
24,-92.01,-8.03,4.05
25,-325.15,-68.14,-153.86
26,1254789.63,11111111.11,11111111.11
27,-9.82,-41.65,-9.82
28,-50.99,-51.91,-50.99
29,-231.49,-481.61,-231.49
30,1254789.63,11111111.11,11111111.11
31,1254789.63,11111111.11,11111111.11
32,1254789.63,11111111.11,11111111.11
33,75.76,75.76,11111111.11
34,-176.15,-176.15,11111111.11
35,35.93,11111111.11,35.93
36,-82.51,-24.99,-82.51
37,803.71,-5.64,803.71
38,1640.29,48.04,-44.79
39,190.55,-9.36,190.55
40,26.84,26.84,26.84
41,4.71,7.06,7.05
42,-17.16,-11.99,-31.65
43,-108.83,-13.63,-84.87
44,537.44,11111111.11,537.44
45,1254789.63,11111111.11,11111111.11
46,-81.28,-42.37,-47.6
47,1146.78,150.58,194.26
48,238.32,181.47,231.12
49,-22.92,12.95,7.89
50,42.44,3.06,5.02
51,-46.61,-44.11,-41.16
52,-75.89,-78.68,-85.19
53,-223.7,11111111.11,-249.05
54,21.75,24.95,26.96
55,-22.78,-7.57,-7.88
56,3.93,-6.2,-6.32
57,-28.56,-21.08,-26.52
58,14.79,26.12,22.48
59,-1.54,-9.41,10.95
60,-20.32,-34.73,-50.36
61,436.6,-48.35,-12.89
62,-86.29,11111111.11,9.33
63,-260.06,-260.06,0.0
64,0.0,11111111.11,0.0
65,78.15,11.05,0.0
66,-30.42,-18.01,0.0
67,139.96,146.18,0.0
68,-93.86,-96.48,0.0
69,176.05,1506.66,0.0
70,-60.16,-109.85,0.0
71,1254789.63,11111111.11,11111111.11
72,13.66,-2404.66,-0.27
73,-14.76,11111111.11,-28.89
74,-16.31,3.4,-1.04
75,30.84,-13.83,-22.75
76,10.19,12.63,146.6
77,-91.61,19.05,-55.25
78,146.91,-32.48,-16.11
79,303.74,-0.18,19.81
80,127.87,11111111.11,73.82
81,1.24,-14.85,162.45
82,-275.11,-71.26,-275.11
83,-479.14,-479.14,11111111.11
84,1254789.63,11111111.11,11111111.11
85,-195.74,-169.77,-195.74
86,1254789.63,11111111.11,11111111.11
87,1254789.63,11111111.11,11111111.11
88,-97.28,-122.88,-133.55
89,-460.27,11111111.11,11111111.11
90,-67.08,-35.7,-41.84
91,-96.47,-7.16,-48.05
92,-230.53,-28.5,-230.53
93,30.19,30.19,11111111.11
94,4502.76,34.06,4502.76
95,-3.18,-8.78,-3.18
96,-90.98,-49.14,-47.19
97,537.96,141.22,110.7
98,-48.34,11111111.11,-24.73
99,9.94,-0.69,22.24
100,46.89,-25.0,-6.86
101,-10.69,2.91,-7.7
102,-41.1,13.71,19.18
103,62.73,31.31,35.39
104,-3.61,-12.14,10.57
105,-12.57,-20.23,1.3
106,54.56,29.27,43.08
107,43.49,11111111.11,30.5
108,1254789.63,1254789.63,0.0
109,0.0,11111111.11,0.0
110,0.0,11111111.11,0.0
111,1254789.63,11111111.11,11111111.11
112,1254789.63,11111111.11,11111111.11
113,-10.57,-11.17,-12.08
114,-19.66,-16.82,-17.13
115,-2.82,-4.37,-4.16
116,20.75,32.05,32.25
117,22.9,14.74,16.02
118,2.93,3.48,3.9
119,-3.73,-14.25,-14.18
120,-32.06,-18.84,-18.87
121,12.56,11111111.11,16.36
122,235.2,270.35,0.0
123,76.19,76.19,0.0
124,-56.3,-72.15,0.0
125,-71.36,-49.72,0.0
126,-46.0,-46.0,0.0
127,-1190.24,-202.72,-393.2
128,1254789.63,11111111.11,11111111.11
129,1254789.63,11111111.11,11111111.11
130,-1763.05,11111111.11,-5132.08
131,742.65,138.0,742.65
132,-59.84,-68.96,-59.84
133,-63.98,-59.2,-63.98
134,-156.65,-178.52,-156.65
135,1254789.63,11111111.11,11111111.11
136,-183.84,-224.93,-276.76
137,1254789.63,11111111.11,11111111.11
138,1254789.63,11111111.11,11111111.11
139,1254789.63,11111111.11,11111111.11
140,-44.22,-42.73,-44.22
141,65.84,70.38,65.84
142,23.73,17.23,47.54
143,-44.35,-14.42,-21.99
144,-10.12,-35.02,-17.35
145,-3.58,-20.79,-24.3
146,55.69,25.65,-7.86
147,-45.49,67.19,74.84
148,-18.01,11111111.11,-41.16
149,20.56,54.01,11.68
150,-2.36,-7.87,12.11
151,20.9,27.65,42.08
152,-17.41,8.66,-31.94
153,80.96,29.36,79.9
154,122.2,75.83,89.21
155,-28.44,-12.45,4.2
156,-6.3,-8.38,-14.56
157,12.51,11111111.11,9.86
158,1254789.63,1254789.63,1254789.63
159,91.84,99.83,96.9
160,-28.03,11111111.11,-34.23
161,-30.11,18.69,-20.78
162,41.44,-7.96,39.16
163,15.8,-9.35,1.29
164,47.04,-18.96,-5.16
165,-127.74,-51.38,-127.74
166,27.97,27.97,11111111.11
167,173.81,-109.59,26.9
168,-44.62,11111111.11,7.78
169,-66.62,11111111.11,-44.0
170,-53.86,-56.99,-53.86
171,-67.31,-61.5,-67.31
172,396.72,335.67,396.72
173,-21.27,-10.6,-15.02
174,45.31,20.36,27.25
175,76.59,10.22,11.49
176,-14.13,-7.44,-2.6
177,-20.23,-1.11,-3.14
178,115.99,11111111.11,-21.86
179,202.34,1254789.63,0.0
180,-51.34,-39.16,0.0
181,41.38,57.67,0.0
182,-26.98,-29.77,0.0
183,-59.7,11111111.11,0.0
184,-57.26,167.74,-38.8
185,-9.38,60.26,-42.69
186,352.45,301.69,206.1
187,-8.47,-9.17,26.44
188,-80.98,-99.32,-52.33
189,171.48,2843.15,57.44
190,-30.24,-92.76,-30.37
191,269.59,7421.83,167.37
192,5.71,11111111.11,19.62
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,11111111.11,0.0
197,362.85,27.17,0.0
198,-26.89,11111111.11,0.0
199,-4.46,0.58,-8.15
200,-2.55,3.88,13.93
201,-8.36,-12.67,-21.78
202,58.83,55.97,67.86
203,6.03,-5.61,-16.71
204,26.71,18.6,41.51
205,-10.2,46.63,31.84
206,58.71,1.5,5.11
207,-30.13,11111111.11,-27.51
208,1254789.63,11111111.11,11111111.11
209,-279.94,-269.72,-279.94
210,1254789.63,11111111.11,11111111.11
211,1254789.63,11111111.11,11111111.11
212,1254789.63,11111111.11,11111111.11
213,-64.85,-63.31,-64.85
214,-2141.05,-1047.05,-1018.76
215,1254789.63,11111111.11,11111111.11
216,1254789.63,11111111.11,11111111.11
217,184.76,232.34,0.0
218,-74.3,-57.89,0.0
219,-868.27,-868.27,0.0
220,1254789.63,11111111.11,11111111.11
221,1254789.63,11111111.11,11111111.11
222,0.0,11111111.11,0.0
223,0.0,11111111.11,0.0
224,-153.99,-153.99,0.0
225,0.0,11111111.11,0.0
226,1254789.63,1254789.63,1254789.63
227,-8.35,-7.7,-8.35
228,117.07,-23.73,-17.57
229,-74.25,-13.25,-24.82
230,-20.6,11111111.11,14.69
231,-31.79,1254789.63,1254789.63
232,57.8,35.04,26.75
233,-96.19,14.3,16.65
234,2726.3,20.04,27.21
