회사명,거래소코드,회계년도,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
(주)CMG제약,58820,11-Dec,1.98,-5.91,17.64,-1.43,-2.02,,41.83,-8.5,-8.28,2.37,3.61,-5.58,200.97,165.03,15.1,51.41,9.08,-46.08,-24.07,-172.4,66.05,0.97,3.74,1.9,1.77,11.95,0.97,2.01,1.25
(주)CMG제약,58820,12-Dec,109.15,-4.12,207.08,7.73,75.17,,28.34,-40.97,-26.84,-9.96,-25.87,-15.78,693.49,649.98,68.81,80.77,30.58,-8.1,-12.71,-11.83,55.32,0.66,4.09,1.45,1.71,7.83,0.66,0.93,0.52
(주)CMG제약,58820,13-Dec,-2.09,16.09,-18.89,56.29,55.1,,38.7,1.45,0.74,1.4,3.88,0.52,694.71,610.74,394.63,14.11,2.53,-39.85,-13.51,-194.73,87.63,0.51,3.3,1.61,2.03,6.2,0.51,1.26,0.48
(주)CMG제약,58820,14-Dec,3.86,74.3,-25.93,6.37,0.01,-46.64,37.07,0.69,0.32,0.78,1.94,0.28,324.58,268.23,101.24,18.5,2.66,-17.73,-7.06,-104.12,84.39,0.46,3,1.48,1.54,5.27,0.46,2.85,0.68
(주)CMG제약,58820,15-Dec,-2.64,-5.37,-7.17,11.04,-4.48,-2409.61,36.26,-13.5,-7.62,-4.49,-9.51,-6.37,296.85,235.21,29,20.78,0.01,16.12,5.8,24988.82,82.8,0.56,3.32,1.66,1.48,5.66,0.56,2.88,0.99
(주)CMG제약,58820,16-Dec,96.31,-5.14,199.84,17.2,116.01,,40.36,5.24,2.34,2.07,5.25,2.06,862.15,792.17,23.52,9.76,0,29.03,8.69,0,91.1,0.45,3.32,2.18,1.9,6.26,0.45,3.36,0.63
(주)CMG제약,58820,17-Dec,-1.27,-4.28,3.12,23.63,-3.13,64.07,43.43,6.83,2.85,1.41,3.75,2.57,746.28,673.66,34.9,11.87,0,22.67,6.34,0,89.39,0.42,3.29,2.66,2.51,6.55,0.42,3.86,0.52
(주)CMG제약,58820,18-Dec,4.39,6.71,0.18,8.45,6.16,113.94,45.6,12.16,6.01,2.29,5.15,5.42,957.86,856.94,158.5,10,0,13.63,2.84,0,90.91,0.49,3.29,2.79,2.98,8.93,0.49,4.53,0.61
(주)CMG제약,58820,19-Dec,68.07,39.67,85.06,5.56,73.26,-49.69,49.34,5.2,2.15,1.7,4.44,1.99,1618.07,1520.84,199.55,6.71,0.15,15.35,3.16,647.74,93.71,0.41,3.37,2.88,2.83,13.81,0.41,5.21,0.51
(주)DB하이텍,990,11-Dec,523.71,3046.44,85.76,752.17,71,-3310.12,16.62,-17.74,-27.74,-3.34,-7.81,-7.59,35.2,25.5,5.04,289.22,59,5.87,9.47,7.39,25.69,1.56,5.87,6.03,0.7,20.51,1.56,0.59,1.87
