0,회사명,거래소코드,회계년도,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
0,CMG제약,58820,11-Dec,1,0,0,0,0,0
1,CMG제약,58820,12-Dec,0,0,0,0,1,1
2,CMG제약,58820,13-Dec,0,0,0,0,0,0
3,CMG제약,58820,14-Dec,0,0,0,1,0,0
4,CMG제약,58820,15-Dec,0,0,0,0,1,0
5,CMG제약,58820,16-Dec,0,0,0,0,0,1
6,CMG제약,58820,17-Dec,0,0,0,1,0,0
7,CMG제약,58820,18-Dec,0,0,0,0,0,0
8,CMG제약,58820,19-Dec,0,0,0,0,0,0
9,DB하이텍,990,11-Dec,1,0,0,0,0,0
10,DB하이텍,990,12-Dec,0,0,0,0,0,1
11,DB하이텍,990,13-Dec,0,0,0,0,0,0
12,DB하이텍,990,14-Dec,0,0,0,0,1,1
13,DB하이텍,990,15-Dec,0,0,0,0,1,0
14,DB하이텍,990,16-Dec,0,0,0,0,1,1
15,DB하이텍,990,17-Dec,0,0,0,0,1,0
16,DB하이텍,990,18-Dec,0,0,0,0,1,1
17,DB하이텍,990,19-Dec,0,0,0,0,1,0
18,ES큐브,50120,11-Dec,0,0,0,0,0,0
19,ES큐브,50120,12-Dec,0,0,0,0,0,1
20,ES큐브,50120,13-Dec,0,0,0,0,0,1
21,ES큐브,50120,14-Dec,0,0,0,0,0,0
22,ES큐브,50120,15-Dec,0,0,0,1,0,0
23,ES큐브,50120,16-Dec,0,0,0,0,0,0
24,ES큐브,50120,17-Dec,0,0,0,0,0,0
25,ES큐브,50120,18-Dec,0,0,0,0,0,0
26,ES큐브,50120,19-Dec,0,0,0,0,0,1
27,HJ중공업,97230,11-Dec,0,0,0,0,0,0
28,HJ중공업,97230,12-Dec,0,1,0,0,0,0
29,HJ중공업,97230,13-Dec,0,0,0,0,0,0
30,HJ중공업,97230,14-Dec,0,0,0,0,0,0
31,HJ중공업,97230,15-Dec,0,0,0,0,0,0
32,HJ중공업,97230,16-Dec,0,0,0,0,0,1
33,HJ중공업,97230,17-Dec,0,0,0,0,0,0
34,HJ중공업,97230,18-Dec,0,0,0,0,0,0
35,HJ중공업,97230,19-Dec,0,0,0,0,1,0
36,MH에탄올,23150,11-Dec,0,0,0,0,0,0
37,MH에탄올,23150,12-Dec,0,0,0,0,0,0
38,MH에탄올,23150,13-Dec,0,0,0,0,1,0
39,MH에탄올,23150,14-Dec,0,0,0,0,1,0
40,MH에탄올,23150,15-Dec,0,0,0,0,1,0
41,MH에탄올,23150,16-Dec,0,0,0,0,0,0
42,MH에탄올,23150,17-Dec,0,0,0,0,0,0
43,MH에탄올,23150,18-Dec,0,0,0,0,0,0
44,MH에탄올,23150,19-Dec,0,0,0,0,1,0
45,SH에너지화학,2360,11-Dec,0,0,0,0,0,0
46,SH에너지화학,2360,12-Dec,0,0,0,0,0,0
47,SH에너지화학,2360,13-Dec,0,0,0,0,1,1
48,SH에너지화학,2360,14-Dec,0,0,0,1,0,0
49,SH에너지화학,2360,15-Dec,0,0,0,0,1,1
50,SH에너지화학,2360,16-Dec,0,0,0,0,0,0
51,SH에너지화학,2360,17-Dec,0,0,0,0,0,0
52,SH에너지화학,2360,18-Dec,0,1,0,0,0,1
53,SH에너지화학,2360,19-Dec,0,1,0,0,0,1
54,SNT에너지,100840,11-Dec,0,0,0,0,1,0
55,SNT에너지,100840,12-Dec,0,1,0,0,0,0
56,SNT에너지,100840,13-Dec,0,0,0,0,1,0
57,SNT에너지,100840,14-Dec,0,0,0,0,1,0
58,SNT에너지,100840,15-Dec,0,0,0,0,0,0
59,SNT에너지,100840,16-Dec,0,0,0,0,1,0
60,SNT에너지,100840,17-Dec,0,1,0,0,1,0
61,SNT에너지,100840,18-Dec,0,0,0,0,0,0
62,SNT에너지,100840,19-Dec,0,0,0,0,1,0
63,STX,11810,11-Dec,0,0,0,0,0,1
64,STX,11810,12-Dec,0,0,0,0,0,0
65,STX,11810,13-Dec,0,1,0,0,0,0
66,STX,11810,14-Dec,1,1,0,0,1,0
67,STX,11810,15-Dec,0,0,0,0,0,0
68,STX,11810,16-Dec,0,0,0,0,0,1
69,STX,11810,17-Dec,0,0,0,0,1,0
70,STX,11810,18-Dec,0,0,0,0,0,0
71,STX,11810,19-Dec,0,0,0,0,1,0
72,TCC스틸,2710,11-Dec,0,0,0,0,0,1
73,TCC스틸,2710,12-Dec,0,0,0,0,0,1
74,TCC스틸,2710,13-Dec,0,0,0,0,0,0
75,TCC스틸,2710,14-Dec,0,1,0,0,0,0
76,TCC스틸,2710,15-Dec,0,0,0,0,1,1
77,TCC스틸,2710,16-Dec,0,1,0,0,0,1
78,TCC스틸,2710,17-Dec,0,0,0,0,0,0
79,TCC스틸,2710,18-Dec,0,0,0,0,0,0
80,TCC스틸,2710,19-Dec,0,0,0,0,1,1
81,강스템바이오텍,217730,15-Dec,1,0,0,0,0,0
82,강스템바이오텍,217730,16-Dec,0,0,0,1,0,0
83,강스템바이오텍,217730,17-Dec,0,0,0,0,0,0
84,강스템바이오텍,217730,18-Dec,0,0,0,0,0,0
85,강스템바이오텍,217730,19-Dec,0,0,1,0,0,1
86,강원에너지,114190,12-Dec,0,0,0,0,0,0
87,강원에너지,114190,13-Dec,0,1,0,0,0,0
88,강원에너지,114190,14-Dec,0,1,0,1,0,0
89,강원에너지,114190,15-Dec,0,1,0,0,0,0
90,강원에너지,114190,16-Dec,0,0,0,0,0,0
91,강원에너지,114190,17-Dec,0,0,0,0,0,1
