회사명,거래소코드,회계년도,상장일,설립일
(주)CMG제약,58820,2011/12,2001/08/31,2001/08/01
(주)DB하이텍,990,2011/12,1975/12/12,1953/04/28
(주)ES큐브,50120,2011/12,2002/04/25,1977/06/20
(주)HJ중공업,97230,2011/12,2007/08/31,2007/08/03
(주)MH에탄올,23150,2011/12,1996/12/24,1978/07/04
(주)SH에너지화학,2360,2011/12,1985/12/23,1958/05/09
(주)SIMPAC,9160,2011/12,1989/07/29,1973/08/09
(주)SNT에너지,100840,2011/12,2008/02/22,2008/02/05
(주)SNT홀딩스,36530,2011/12,2002/10/22,1982/09/27
(주)STX,11810,2011/12,1990/09/12,1976/12/24
(주)TCC스틸,2710,2011/12,1984/12/21,1959/07/16
(주)가비아,79940,2011/12,2005/10/19,1999/09/21
(주)강스템바이오텍,217730,2015/12,2015/12/21,2010/10/29
(주)강원랜드,35250,2011/12,2003/09/04,1998/06/29
(주)강원에너지,114190,2011/11,2009/11/20,1976/02/06
(주)갤럭시아에스엠,11420,2011/12,1989/11/14,1975/05/06
(주)경농,2100,2011/12,1977/06/30,1957/07/12
(주)경동나비엔,9450,2011/12,1993/08/31,1978/11/03
(주)경동도시가스,267290,2017/12,2017/05/12,2017/04/01
(주)경동인베스트,12320,2011/12,1997/03/07,1977/06/15
(주)경방,50,2011/12,1956/03/03,1919/10/05
(주)경보제약,214390,2015/12,2015/06/29,1987/03/31
(주)경인양행,12610,2011/12,1995/10/05,1977/10/14
(주)고려시멘트,198440,2014/12,2014/08/13,2014/04/28
(주)고영테크놀러지,98460,2011/12,2008/06/03,2002/04/25
(주)골드앤에스,35290,2011/12,1999/12/07,1994/11/14
(주)골드퍼시픽,38530,2011/12,2000/06/09,1997/06/24
(주)골프존,215000,2015/12,2015/04/03,2015/03/03
(주)골프존뉴딘홀딩스,121440,2011/12,2011/05/20,2000/05/08
(주)광림,14200,2011/12,1993/07/07,1980/03/13
(주)광명전기,17040,2011/12,1990/09/14,1955/07/01
(주)광무,29480,2011/12,1996/08/27,1972/07/25
(주)광주신세계,37710,2011/12,2002/02/07,1995/04/10
(주)구영테크,53270,2011/12,2002/02/07,1989/11/09
(주)국동,5320,2011/12,1996/12/24,1967/12/08
(주)국보,1140,2011/12,1989/12/02,1953/12/28
(주)국보디자인,66620,2011/12,2002/09/05,1988/03/02
(주)국순당,43650,2011/12,2000/08/24,1983/02/05
(주)국영지앤엠,6050,2011/12,1994/10/07,1969/05/07
(주)국전약품,307750,2018/12,2018/12/19,2018/09/11
(주)그래디언트,35080,2011/12,1999/07/05,1997/10/01
(주)그리티,204020,2018/12,2018/07/23,1999/09/15
(주)그린플러스,186230,2019/12,2019/08/07,1997/10/21
(주)글로벌스탠다드테크놀로지,83450,2011/12,2006/02/01,2001/10/12
(주)금비,8870,2011/09,1990/06/08,1973/06/05
(주)금양,1570,2011/12,1976/12/27,1955/11/17
(주)금호에이치티,214330,2015/12,2015/11/11,1989/07/01
(주)금화피에스시,36190,2011/12,2000/12/26,1981/05/13
(주)기가레인,49080,2013/12,2013/12/19,2000/01/31
(주)기산텔레콤,35460,2011/12,1999/11/18,1994/09/06
(주)까뮤이앤씨,13700,2011/12,1989/11/30,1978/12/22
(주)까스텔바작,308100,2019/12,2019/06/10,2016/08/01
(주)나노,187790,2014/12,2014/05/08,2013/10/18
(주)나노브릭,286750,2019/12,2019/08/19,2007/05/15
(주)나노신소재,121600,2011/12,2011/02/09,2000/03/15
(주)나노엔텍,39860,2011/12,2000/08/16,1987/11/18
(주)나무가,190510,2015/12,2015/11/12,2004/10/14
(주)나스미디어,89600,2013/12,2013/07/17,2000/03/13
(주)나이벡,138610,2011/12,2011/07/13,2004/02/20
(주)나이스디앤비,130580,2011/12,2011/12/22,2002/11/01
(주)나이스홀딩스,34310,2011/12,2004/02/04,1986/09/11
(주)나인테크,267320,2017/12,2017/06/22,2017/03/22
