회사명,거래소코드,회계년도,상장일,설립일
(주)CMG제약,058820,2011/12,2001/08/31,2001/08/01
(주)CMG제약,058820,2012/12,2001/08/31,2001/08/01
(주)CMG제약,058820,2013/12,2001/08/31,2001/08/01
(주)CMG제약,058820,2014/12,2001/08/31,2001/08/01
(주)CMG제약,058820,2015/12,2001/08/31,2001/08/01
(주)CMG제약,058820,2016/12,2001/08/31,2001/08/01
(주)CMG제약,058820,2017/12,2001/08/31,2001/08/01
(주)CMG제약,058820,2018/12,2001/08/31,2001/08/01
(주)CMG제약,058820,2019/12,2001/08/31,2001/08/01
(주)DB하이텍,000990,2011/12,1975/12/12,1953/04/28
(주)DB하이텍,000990,2012/12,1975/12/12,1953/04/28
(주)DB하이텍,000990,2013/12,1975/12/12,1953/04/28
(주)DB하이텍,000990,2014/12,1975/12/12,1953/04/28
(주)DB하이텍,000990,2015/12,1975/12/12,1953/04/28
(주)DB하이텍,000990,2016/12,1975/12/12,1953/04/28
(주)DB하이텍,000990,2017/12,1975/12/12,1953/04/28
(주)DB하이텍,000990,2018/12,1975/12/12,1953/04/28
(주)DB하이텍,000990,2019/12,1975/12/12,1953/04/28
(주)ES큐브,050120,2011/12,2002/04/25,1977/06/20
(주)ES큐브,050120,2012/12,2002/04/25,1977/06/20
(주)ES큐브,050120,2013/12,2002/04/25,1977/06/20
(주)ES큐브,050120,2014/12,2002/04/25,1977/06/20
(주)ES큐브,050120,2015/12,2002/04/25,1977/06/20
(주)ES큐브,050120,2016/12,2002/04/25,1977/06/20
(주)ES큐브,050120,2017/12,2002/04/25,1977/06/20
(주)ES큐브,050120,2018/12,2002/04/25,1977/06/20
(주)ES큐브,050120,2019/12,2002/04/25,1977/06/20
(주)HJ중공업,097230,2011/12,2007/08/31,2007/08/03
(주)HJ중공업,097230,2012/12,2007/08/31,2007/08/03
(주)HJ중공업,097230,2013/12,2007/08/31,2007/08/03
(주)HJ중공업,097230,2014/12,2007/08/31,2007/08/03
(주)HJ중공업,097230,2015/12,2007/08/31,2007/08/03
(주)HJ중공업,097230,2016/12,2007/08/31,2007/08/03
(주)HJ중공업,097230,2017/12,2007/08/31,2007/08/03
(주)HJ중공업,097230,2018/12,2007/08/31,2007/08/03
(주)HJ중공업,097230,2019/12,2007/08/31,2007/08/03
(주)MH에탄올,023150,2011/12,1996/12/24,1978/07/04
(주)MH에탄올,023150,2012/12,1996/12/24,1978/07/04
(주)MH에탄올,023150,2013/12,1996/12/24,1978/07/04
(주)MH에탄올,023150,2014/12,1996/12/24,1978/07/04
(주)MH에탄올,023150,2015/12,1996/12/24,1978/07/04
(주)MH에탄올,023150,2016/12,1996/12/24,1978/07/04
(주)MH에탄올,023150,2017/12,1996/12/24,1978/07/04
(주)MH에탄올,023150,2018/12,1996/12/24,1978/07/04
(주)MH에탄올,023150,2019/12,1996/12/24,1978/07/04
(주)SH에너지화학,002360,2011/12,1985/12/23,1958/05/09
(주)SH에너지화학,002360,2012/12,1985/12/23,1958/05/09
(주)SH에너지화학,002360,2013/12,1985/12/23,1958/05/09
(주)SH에너지화학,002360,2014/12,1985/12/23,1958/05/09
(주)SH에너지화학,002360,2015/12,1985/12/23,1958/05/09
(주)SH에너지화학,002360,2016/12,1985/12/23,1958/05/09
(주)SH에너지화학,002360,2017/12,1985/12/23,1958/05/09
(주)SH에너지화학,002360,2018/12,1985/12/23,1958/05/09
(주)SH에너지화학,002360,2019/12,1985/12/23,1958/05/09
(주)SIMPAC,009160,2011/12,1989/07/29,1973/08/09
(주)SIMPAC,009160,2012/12,1989/07/29,1973/08/09
(주)SIMPAC,009160,2013/12,1989/07/29,1973/08/09
(주)SIMPAC,009160,2014/12,1989/07/29,1973/08/09
(주)SIMPAC,009160,2015/12,1989/07/29,1973/08/09
(주)SIMPAC,009160,2016/12,1989/07/29,1973/08/09
(주)SIMPAC,009160,2017/12,1989/07/29,1973/08/09
(주)SIMPAC,009160,2018/12,1989/07/29,1973/08/09
(주)SIMPAC,009160,2019/12,1989/07/29,1973/08/09
(주)SNT에너지,100840,2011/12,2008/02/22,2008/02/05
(주)SNT에너지,100840,2012/12,2008/02/22,2008/02/05
(주)SNT에너지,100840,2013/12,2008/02/22,2008/02/05
(주)SNT에너지,100840,2014/12,2008/02/22,2008/02/05
(주)SNT에너지,100840,2015/12,2008/02/22,2008/02/05
(주)SNT에너지,100840,2016/12,2008/02/22,2008/02/05
(주)SNT에너지,100840,2017/12,2008/02/22,2008/02/05
(주)SNT에너지,100840,2018/12,2008/02/22,2008/02/05
(주)SNT에너지,100840,2019/12,2008/02/22,2008/02/05
(주)SNT홀딩스,036530,2011/12,2002/10/22,1982/09/27
(주)SNT홀딩스,036530,2012/12,2002/10/22,1982/09/27
(주)SNT홀딩스,036530,2013/12,2002/10/22,1982/09/27
(주)SNT홀딩스,036530,2014/12,2002/10/22,1982/09/27
(주)SNT홀딩스,036530,2015/12,2002/10/22,1982/09/27
(주)SNT홀딩스,036530,2016/12,2002/10/22,1982/09/27
(주)SNT홀딩스,036530,2017/12,2002/10/22,1982/09/27
(주)SNT홀딩스,036530,2018/12,2002/10/22,1982/09/27
(주)SNT홀딩스,036530,2019/12,2002/10/22,1982/09/27
(주)STX,011810,2011/12,1990/09/12,1976/12/24
(주)STX,011810,2012/12,1990/09/12,1976/12/24
(주)STX,011810,2013/12,1990/09/12,1976/12/24
(주)STX,011810,2014/12,1990/09/12,1976/12/24
(주)STX,011810,2015/12,1990/09/12,1976/12/24
(주)STX,011810,2016/12,1990/09/12,1976/12/24
(주)STX,011810,2017/12,1990/09/12,1976/12/24
(주)STX,011810,2018/12,1990/09/12,1976/12/24
(주)STX,011810,2019/12,1990/09/12,1976/12/24
(주)TCC스틸,002710,2011/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2012/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2013/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2014/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2015/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2016/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2017/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2018/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2019/12,1984/12/21,1959/07/16
(주)가비아,079940,2011/12,2005/10/19,1999/09/21
(주)가비아,079940,2012/12,2005/10/19,1999/09/21
(주)가비아,079940,2013/12,2005/10/19,1999/09/21
(주)가비아,079940,2014/12,2005/10/19,1999/09/21
(주)가비아,079940,2015/12,2005/10/19,1999/09/21
(주)가비아,079940,2016/12,2005/10/19,1999/09/21
(주)가비아,079940,2017/12,2005/10/19,1999/09/21
(주)가비아,079940,2018/12,2005/10/19,1999/09/21
(주)가비아,079940,2019/12,2005/10/19,1999/09/21
(주)강스템바이오텍,217730,2015/12,2015/12/21,2010/10/29
(주)강스템바이오텍,217730,2016/12,2015/12/21,2010/10/29
(주)강스템바이오텍,217730,2017/12,2015/12/21,2010/10/29
(주)강스템바이오텍,217730,2018/12,2015/12/21,2010/10/29
(주)강스템바이오텍,217730,2019/12,2015/12/21,2010/10/29
(주)강원랜드,035250,2011/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2012/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2013/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2014/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2015/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2016/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2017/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2018/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2019/12,2003/09/04,1998/06/29
(주)강원에너지,114190,2011/11,2009/11/20,1976/02/06
(주)강원에너지,114190,2012/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2013/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2014/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2015/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2016/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2017/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2018/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2019/12,2009/11/20,1976/02/06
(주)갤럭시아에스엠,011420,2011/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2012/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2013/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2014/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2015/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2016/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2017/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2018/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2019/12,1989/11/14,1975/05/06
(주)경농,002100,2011/12,1977/06/30,1957/07/12
(주)경농,002100,2012/12,1977/06/30,1957/07/12
(주)경농,002100,2013/12,1977/06/30,1957/07/12
(주)경농,002100,2014/12,1977/06/30,1957/07/12
(주)경농,002100,2015/12,1977/06/30,1957/07/12
(주)경농,002100,2016/12,1977/06/30,1957/07/12
(주)경농,002100,2017/12,1977/06/30,1957/07/12
(주)경농,002100,2018/12,1977/06/30,1957/07/12
(주)경농,002100,2019/12,1977/06/30,1957/07/12
(주)경동나비엔,009450,2011/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2012/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2013/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2014/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2015/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2016/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2017/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2018/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2019/12,1993/08/31,1978/11/03
(주)경동도시가스,267290,2017/12,2017/05/12,2017/04/01
(주)경동도시가스,267290,2018/12,2017/05/12,2017/04/01
(주)경동도시가스,267290,2019/12,2017/05/12,2017/04/01
(주)경동인베스트,012320,2011/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2012/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2013/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2014/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2015/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2016/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2017/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2018/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2019/12,1997/03/07,1977/06/15
(주)경방,000050,2011/12,1956/03/03,1919/10/05
(주)경방,000050,2012/12,1956/03/03,1919/10/05
(주)경방,000050,2013/12,1956/03/03,1919/10/05
(주)경방,000050,2014/12,1956/03/03,1919/10/05
(주)경방,000050,2015/12,1956/03/03,1919/10/05
(주)경방,000050,2016/12,1956/03/03,1919/10/05
(주)경방,000050,2017/12,1956/03/03,1919/10/05
(주)경방,000050,2018/12,1956/03/03,1919/10/05
(주)경방,000050,2019/12,1956/03/03,1919/10/05
(주)경보제약,214390,2015/12,2015/06/29,1987/03/31
(주)경보제약,214390,2016/12,2015/06/29,1987/03/31
(주)경보제약,214390,2017/12,2015/06/29,1987/03/31
(주)경보제약,214390,2018/12,2015/06/29,1987/03/31
(주)경보제약,214390,2019/12,2015/06/29,1987/03/31
(주)경인양행,012610,2011/12,1995/10/05,1977/10/14
(주)경인양행,012610,2012/12,1995/10/05,1977/10/14
(주)경인양행,012610,2013/12,1995/10/05,1977/10/14
(주)경인양행,012610,2014/12,1995/10/05,1977/10/14
(주)경인양행,012610,2015/12,1995/10/05,1977/10/14
(주)경인양행,012610,2016/12,1995/10/05,1977/10/14
(주)경인양행,012610,2017/12,1995/10/05,1977/10/14
(주)경인양행,012610,2018/12,1995/10/05,1977/10/14
(주)경인양행,012610,2019/12,1995/10/05,1977/10/14
(주)고려시멘트,198440,2014/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2015/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2016/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2017/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2018/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2019/12,2014/08/13,2014/04/28
(주)고영테크놀러지,098460,2011/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2012/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2013/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2014/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2015/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2016/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2017/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2018/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2019/12,2008/06/03,2002/04/25
(주)골드앤에스,035290,2011/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2012/12,1999/12/07,1994/11/14
